глагол,частота
biti,197647
moći,17474
hteti,16096
imati,11859
trebati,4501
raditi,4006
koristiti,3830
nalaziti,3614
morati,3426
postojati,3021
reći,2888
želeti,2772
predstavljati,2752
dobiti,2399
doći,2359
kazati,2111
nemati,1936
postati,1821
činiti,1800
učestvovati,1655
istaći,1613
znati,1611
govoriti,1597
pružati,1554
voditi,1512
videti,1494
dati,1407
baviti,1403
smatrati,1369
početi,1360
organizovati,1310
nastaviti,1268
nuditi,1255
živeti,1247
pomoći,1245
omogućavati,1203
tražiti,1200
pokazati,1100
odnositi,1091
značiti,1071
omogućiti,1057
podneti,1057
pronaći,1037
očekivati,1036
obezbediti,1017
pogledati,1012
pratiti,1011
predstaviti,1006
dolaziti,999
otvoriti,982
održati,958
prisustvovati,956
misliti,944
sadržati,923
učiniti,894
uticati,884
dodati,877
pomagati,871
napraviti,856
navoditi,851
naći,848
doneti,844
pružiti,822
upoznati,802
razgovarati,802
ostati,793
ostvariti,768
odaberiti,767
navesti,764
vršiti,763
davati,755
sprovoditi,752
dobijati,746
naglasiti,744
završiti,736
odlučiti,731
pokazivati,716
zahtevati,710
posedovati,708
doprineti,697
izjaviti,685
postaviti,671
uraditi,669
vratiti,665
trajati,665
obuhvatati,650
prihvatiti,649
verovati,648
objaviti,644
dovesti,643
usvojiti,634
podržavati,633
posetiti,633
uključivati,625
iznositi,620
podrazumevati,610
nastati,609
uživati,606
ići,599
održavati,597
prijaviti,591
nositi,591
dodirniti,586
razvijati,582
donositi,582
pozivati,580
podržati,576
sastojati,574
igrati,573
obavljati,573
uspeti,572
obratiti,569
realizovati,565
obezbeđivati,553
ući,547
promeniti,542
uputiti,539
video,538
pokrenuti,537
preuzeti,536
uključiti,536
ukazati,532
stvarati,529
doprinositi,525
saznati,522
iskoristiti,521
povećati,517
izraziti,509
primenjivati,505
izvršiti,502
ostajati,501
počinjati,493
otkriti,490
odgovarati,489
ticati,486
čuti,484
osećati,481
voleti,480
prikazivati,479
proći,475
pisati,475
menjati,467
ukazivati,466
smanjiti,464
stajati,462
klikniti,460
služiti,460
započeti,460
razumeti,460
razmotriti,458
ponuditi,455
postajati,455
utvrditi,450
primiti,441
upravljati,440
računati,440
stvoriti,440
stići,437
kupiti,434
postići,431
gledati,424
planirati,420
zaključiti,419
potpisati,419
prepoznati,419
zavisiti,417
steći,414
unaprediti,413
osvojiti,412
naučiti,411
pripadati,406
obaviti,404
isticati,403
razviti,403
pričati,399
potvrditi,398
kreirati,392
poslati,390
čuvati,388
postavljati,386
ostaviti,384
suočavati,380
dešavati,375
sprovesti,374
smeti,373
desiti,371
spavati,370
preporučivati,369
oceniti,368
pojaviti,367
finansirati,367
nastavljati,367
delovati,365
ispuniti,365
boriti,363
razmatrati,363
nadati,363
dostaviti,362
kretati,362
tvrditi,358
čekati,357
saopštiti,354
boraviti,348
predložiti,347
izgubiti,344
pripremiti,344
sastati,343
zatražiti,342
proizvoditi,340
staviti,339
pokušavati,339
bistiti,336
koštati,336
sarađivati,336
poručiti,335
smanjivati,335
graditi,334
