глагол,общая_частота
upotrebljavati,1177
odigrati,1173
podnositi,1173
nastupati,1171
otkrivati,1164
nedostajati,1162
predlagati,1157
olakšati,1157
napredovati,1155
potražiti,1154
zamisliti,1153
regulisati,1152
prodati,1147
ponoviti,1140
pripremati,1132
izazivati,1132
predvoditi,1131
ostavljati,1131
ležati,1126
pohađati,1123
rezultirati,1112
podesiti,1111
obuhvatiti,1108
dokazati,1104
upućivati,1101
preživeti,1101
stati,1097
primeniti,1097
zaštititi,1093
odobriti,1092
privući,1092
napomenuti,1086
kupovati,1086
gubiti,1073
zadovoljiti,1064
donirati,1062
unapređivati,1061
hvati,1060
zalagati,1059
poslužiti,1058
čitati,1039
preuzimati,1036
zameniti,1036
izrađivati,1034
buditi,1034
obrazložiti,1033
posvetiti,1033
pretvoriti,1031
pobediti,1030
složiti,1029
porasti,1021
izdavati,1018
opisati,1018
zadržavati,1018
širiti,1007
informisati,1001
umreti,1001
dodeljivati,996
dostići,992
zatvoriti,989
ojačati,986
unesiti,978
uvoditi,969
povesti,968
pritisniti,967
voziti,966
povući,959
plaći,958
primetiti,954
označiti,952
opisivati,950
meriti,949
dozvoljavati,949
negovati,948
poboljšavati,947
poznavati,944
savladati,942
urediti,934
povezati,933
procenjivati,925
sustavati,923
registrovati,921
zadovoljavati,918
tretirati,918
prikupiti,917
priprema,916
trošiti,915
glasati,914
privlačiti,911
suočiti,906
karakterisati,903
pristup,901
postignuti,896
oslanjati,892
emitovati,888
vjerovati,883
osiguravati,881
implementirati,881
ažurirati,880
slati,877
dominirati,873
pregledati,872
uručiti,870
pomenuti,870
beležiti,869
pominjati,868
proceniti,868
komunicirati,866
nastupiti,862
sazvati,850
proglasiti,850
nabaviti,848
susretati,845
snimati,843
doživljavati,841
slaviti,839
propustiti,839
izražavati,834
aktivirati,834
položiti,831
označavati,830
dogovoriti,827
nameravati,827
pasti,826
proizvesti,825
dostavljati,822
snimiti,820
izbeći,814
utvrđivati,813
ubiti,809
studirati,808
odražavati,805
prepoznavati,800
priključiti,796
investirati,795
sagledati,793
zabeležiti,790
osloboditi,790
spajati,788
čestitati,785
slagati,783
približiti,782
ubrzati,780
probati,779
popuniti,779
uspevati,779
insistirati,778
braniti,778
upozoravati,776
padati,775
pustiti,769
uzrokovati,766
zastupati,764
istraživati,762
zasluživati,761
osmisliti,759
ponašati,755
savetovati,753
plasirati,751
saati,751
proteći,749
prevazići,749
prezentovati,748
nazvati,747
unositi,741
predavati,740
dodeliti,732
prekinuti,729
posjetiti,728
zauzeti,728
oblikovati,726
pohvaliti,725
diti,725
kombinovati,722
podizati,721
izveštavati,720
poželeti,719
izlagati,712
spremati,710
zahvaljivati,710
diskutovati,709
uveriti,703
dodavtiti,696
započinjati,692
prilagođavati,690
umeti,689
držiti,686
izbegavati,685
slijediti,684
upozoriti,683
posećivati,678
radovati,678
ocenjivati,678
preduzimati,677
ugrožavati,677
obuhvaćati,676
odustati,675
kriti,668
događati,665
sećati,664
stradati,664
popraviti,663
spremiti,662
shvatati,662
ispitati,661
propisivati,659
proizvod,655
glasiti,653
pomisliti,652
raspisati,651
poseta,650
povuciti,650
pravi,650
pretvarati,650
angaživati,646
hoći,642
svirati,640
testirati,639
isporučivati,637
pogoditi,636
ustanoviti,636
naići,632
imenovati,630
oglasiti,630
nestati,628
integrisati,628
posvećivati,628
iskazati,627
ugostiti,626
uskladiti,622
izmeniti,620
nametati,618
obavezovati,618
preporučiti,618
odvesti,617
razmisliti,616
saglasiti,616
vezovati,615
obraćati,615
naplaćivati,613
kolačići,612
uhvatiti,609
dokazivati,609
nemottiti,606
izboriti,605
pozoviti,605
voliti,603
prostiriti,602
uneti,602
pridržavati,602
obećati,601
uzmiti,601
isporučiti,600
postupati,600
ispričati,598
snositi,598
usmeriti,597
odbijati,593
otkloniti,593
pokriti,590
pretiti,590
zaključivati,590
osjećati,589
odati,588
upotrijebiti,587
trpeti,587
pretpostavljati,582
ograničiti,581
zapošljavati,581
produžiti,581
obnoviti,580
očuvati,578
odgovor,578
iditi,577
okrenuti,576
pronalaziti,576
raspravljati,575
kršiti,574
vladati,572
ugroziti,571
razvivati,571
inicirati,570
prebaciti,568
isplatiti,565
uporediti,565
skrenuti,565
nanositi,563
bazirati,563
uklanjati,559
inspirisati,558
blokirati,557
proslaviti,557
motivisati,556
sugerisati,555
odbaciti,549
susreti,549
pamtiti,546
upasti,545
plašiti,540
obavezati,540
odbraniti,539
preminuti,536
generisati,536
počiniti,534
pristupati,533
poneti,532
takmičiti,529
dobrobiti,528
prepustiti,527
rukovoditi,526
okrugati,526
navestiti,523
osvrnuti,522
priznavati,522
upotrebiti,522
tumačiti,522
izvršavati,521
jesti,518
pokloniti,518
ukinuti,518
jačati,517
plažiti,516
zahtijevati,515
odvojiti,513
otpočeti,512
osnažiti,512
roditi,511
pošlajiti,509
teći,507
brojati,503
potrošiti,502
štediti,501
spojiti,501
zaposliti,500
napasti,500
varirati,499
uspostavljati,497
pojačati,495
proveravati,495
pretrpeti,491
napominjati,491
dostignuti,491
piti,490
uplatiti,490
protiviti,489
iznajmljivati,488
opustiti,487
prevazilaziti,485
kritikovati,485
sretati,484
eliminisati,483
prodaja,481
ploviti,478
ograničavati,476
izbrisati,474
počivati,471
probuditi,470
predvideti,470
iskusiti,469
želiti,468
istražovati,467
dočekati,467
bivati,466
stimulisati,465
ispraviti,464
zahvatiti,463
napuštati,462
usavršavati,461
vrediti,460
osuđivati,459
žaliti,458
prestajati,457
obavesti,457
potruditi,457
stupati,457
usmeravati,456
naznačiti,456
isprobati,456
kiša,454
nailaziti,454
zadržiti,454
uništiti,454
obrazovati,454
dizajnirati,452
uklapati,449
prirediti,449
ponavljati,448
angažovati,448
parkirati,448
ispostaviti,447
napuniti,447
umanjiti,446
usvajati,446
polagati,445
opredeliti,444
povlačiti,443
projektovati,443
najavljivati,440
reproducirati,439
god,439
svoditi,438
uočiti,437
razmenjivati,436
okončati,435
interesovati,434
razmeniti,434
izložiti,433
očistiti,433
sumnjati,433
poginuti,431
pristati,431
isključivati,430
prethoditi,429
transformisati,426
osvajati,425
družiti,421
datirati,421
zamoliti,419
zaštita,419
pripasti,418
opstati,417
izabereti,416
započniti,415
brisati,415
poručivati,414
djelovati,413
distribuirati,413
okretati,413
korist,412
prerasti,411
nadgledati,411
dopustiti,411
potpisivati,410
pohvati,410
zatvarati,406
podijeliti,406
naneti,406
odobravati,405
posjedovati,404
prouzrokovati,404
elektromaterajati,404
iznajmiti,403
izbegnuti,402
naručiti,400
organizirati,399
pošlajeti,398
prijavljivati,398
upoznavati,398
primećivati,398
uvrstiti,397
zaraditi,397
proizilaziti,397
navići,396
naterati,395
ohrabriti,395
setiti,395
onemogućiti,394
lečiti,394
pevati,393
nemotiti,392
ohrabrovati,390
dostizati,390
preuzmiti,389
povratiti,389
baciti,389
smestiti,388
okrugiti,388
poći,387
ispratiti,386
osuditi,386
preseliti,385
sastaviti,384
postupiti,383
ubaciti,381
spasiti,381
konkurisati,378
opravdati,378
gostovati,377
krasiti,377
odložiti,377
sedeti,376
ličiti,375
bojati,375
snabdevati,373
pogađati,373
mešati,373
pati,371
pozdravljati,371
obraditi,371
iznenaditi,370
obećavati,369
poništiti,369
isteći,368
osnivati,368
upisivati,368
izvaditi,367
proširivati,367
zakazati,366
protezati,366
ugraditi,365
spominjati,364
pomerati,364
približavati,363
oduzeti,362
ušteti,362
prevesti,362
aplicirati,359
otežavati,359
živiti,358
kopirati,357
izdržati,357
onemogućavati,356
pronađiti,356
dospeti,355
prevoditi,355
zeleniti,354
magistrirati,351
sanjati,351
omogutiti,350
