base_verb,prefixed_verb,prefix,freq_base,freq_base,freq_prefixed,freq_prefixed
družiti,pridružiti,pri,194,455,510,813
baciti,prebaciti,pre,2546,20423,507,591
javiti,izjaviti,iz,1382,8457,504,1128
znati,doznati,do,29986,91605,504,518
visiti,zavisiti,za,1019,3061,496,916
kazati,dokazati,do,16617,101685,495,642
baciti,izbaciti,iz,2546,20423,488,519
gutati,progutati,pro,368,738,488,501
staviti,sastaviti,sa,2536,15573,484,543
dirnuti,dodirnuti,do,234,241,477,501
baciti,odbaciti,od,2546,20423,477,555
kidati,prekidati,pre,250,752,477,501
puniti,napuniti,na,347,1415,474,525
ustati,odustati,od,2402,4839,473,582
tisnuti,pritisnuti,pri,7,14,472,500
mahnuti,odmahnuti,od,289,869,469,469
pustiti,propustiti,pro,2341,16513,466,591
vladati,savladati,sa,920,3747,465,581
kazivati,ukazivati,u,567,2838,465,955
voditi,navoditi,na,5046,56924,456,1342
dati,izdati,iz,5896,54495,448,660
živeti,doživeti,do,2266,17078,447,650
štititi,zaštititi,za,335,585,447,606
vrediti,uvrediti,u,558,623,444,449
uzeti,preuzeti,pre,4077,24680,443,959
slutiti,naslutiti,na,528,536,442,446
hvatati,prihvatati,pri,984,3948,438,630
pasti,napasti,na,3900,19608,438,517
nositi,prenositi,pre,4409,57916,436,716
igrati,odigrati,od,2814,20305,436,580
putiti,zaputiti,za,40,80,435,446
poznavati,prepoznavati,pre,2760,5674,435,549
tonuti,utonuti,u,318,319,435,438
vesti,prevesti,pre,48,539,434,486
taknuti,dotaknuti,do,65,195,434,436
pasti,upasti,u,3900,19608,432,511
paziti,zapaziti,za,1113,2254,430,442
krasti,ukrasti,u,330,330,429,429
uzeti,oduzeti,od,4077,24680,426,496
gledati,pregledati,pre,11256,135464,425,563
govoriti,dogovoriti,do,13834,139978,407,521
reći,odreći,od,32340,196862,406,440
viti,razviti,raz,221,2431,405,767
ići,obići,ob,9434,57248,405,980
vijati,odvijati,od,60,722,404,710
hraniti,sahraniti,sa,406,1653,393,399
setiti,podsetiti,pod,1605,4866,385,675
dizati,uzdizati,uz,958,3840,385,406
vajati,odvajati,od,15,45,382,415
kočiti,ukočiti,u,95,200,382,383
stojati,sastojati,sa,36,140,379,996
stajati,pristajati,pri,6069,48949,374,392
vući,navući,na,1348,14834,373,375
kloniti,ukloniti,u,68,344,370,589
braniti,zabraniti,za,1090,2279,369,404
vući,zavući,za,1348,14834,368,368
risati,obrisati,ob,6,6,366,409
puštati,prepuštati,pre,786,4759,364,376
rediti,urediti,u,20,200,364,852
nositi,iznositi,iz,4409,57916,363,1056
buditi,uzbuditi,uz,475,1579,360,360
hvaliti,zahvaliti,za,365,741,359,659
nositi,unositi,u,4409,57916,356,456
siliti,prisiliti,pri,32,40,355,365
ostati,preostati,pre,11461,35199,354,357
baciti,ubaciti,u,2546,20423,353,397
ložiti,odložiti,od,97,874,348,397
kazati,prikazati,pri,16617,101685,348,642
uzimati,obuzimati,ob,1280,9133,348,350
maknuti,odmaknuti,od,233,1864,347,348
viknuti,doviknuti,do,897,5382,345,346
voditi,izvoditi,iz,5046,56924,344,949
držati,uzdržati,uz,5942,30029,340,358
pisati,upisati,u,3704,26386,340,483
očarati,razočarati,raz,116,130,339,348
dirati,prodirati,pro,285,1149,337,343
baviti,nabaviti,na,1006,7505,329,445
javiti,prijaviti,pri,1382,8457,329,947
stajati,zastajati,za,6069,48949,328,333
reći,izreći,iz,32340,196862,328,363
davati,izdavati,iz,2395,22346,327,477
plakati,zaplakati,za,1782,3579,323,323
biti,probiti,pro,187140,2256517,317,341
kazivati,prikazivati,pri,567,2838,316,776
slušati,saslušati,sa,4092,16590,315,347
stajati,nastajati,na,6069,48949,314,520
setiti,prisetiti,pri,1605,4866,311,321
nuditi,prinuditi,pri,712,2716,308,310
vući,odvući,od,1348,14834,307,310
seći,preseći,pre,246,1970,307,310
morati,primorati,pri,15467,18889,306,320
gurnuti,odgurnuti,od,589,598,303,306
moriti,odmoriti,od,149,747,302,325
maknuti,primaknuti,pri,233,1864,301,301
mrštiti,namrštiti,na,147,147,300,300
baciti,dobaciti,do,2546,20423,299,301
laziti,zalaziti,za,11,111,297,308
uzimati,zauzimati,za,1280,9133,295,456
vijati,razvijati,raz,60,722,292,922
kupiti,sakupiti,sa,1575,6695,291,332
živeti,preživeti,pre,2266,17078,289,443
pamtiti,zapamtiti,za,745,1573,289,326
seliti,preseliti,pre,108,550,288,342
disati,uzdisati,uz,784,3167,288,288
kazivati,dokazivati,do,567,2838,284,354
maknuti,izmaknuti,iz,233,1864,283,284
ćutati,ućutati,u,1851,5553,281,282
vršiti,dovršiti,do,552,3530,281,332
hapsiti,uhapsiti,u,55,64,279,302
krstiti,prekrstiti,pre,233,472,279,281
lagati,izlagati,iz,732,5866,278,392
glasiti,proglasiti,pro,290,1250,277,389
držati,sadržati,sa,5942,30029,276,1207
micati,odmicati,od,387,3097,275,284
