base_verb,prefixed_verb,prefix,freq_base,freq_base,freq_prefixed,freq_prefixed
govoriti,prigovoriti,pri,13834,139978,83,85
likovati,dolikovati,do,133,665,82,88
svirati,zasvirati,za,863,2679,82,83
družiti,udružiti,u,194,455,82,130
liti,proliti,pro,96,961,82,83
mamiti,izmamiti,iz,215,1076,82,88
sušiti,sasušiti,sa,166,521,82,82
brojati,izbrojati,iz,302,1276,81,86
tišati,utišati,u,8,8,81,86
hvatati,zahvatati,za,984,3948,81,95
vedriti,razvedriti,raz,44,89,81,82
liti,izliti,iz,96,961,81,84
njušiti,nanjušiti,na,88,88,80,80
likovati,odlikovati,od,133,665,80,234
otkriti,razotkriti,raz,2330,2893,80,89
dahnuti,predahnuti,pre,22,88,80,80
viriti,izviriti,iz,362,1811,79,96
mjeriti,namjeriti,na,36,79,79,79
miriti,primiriti,pri,265,1330,79,80
trnuti,pretrnuti,pre,52,156,78,78
menjati,izmenjati,iz,1201,1641,78,78
derati,proderati,pro,245,735,78,78
motriti,razmotriti,raz,169,339,78,513
vršiti,navršiti,na,552,3530,77,92
jariti,razjariti,raz,16,32,77,77
vijati,privijati,pri,60,722,77,77
nositi,nadnositi,nad,4409,57916,77,77
rušiti,obrušiti,ob,322,1627,77,80
metati,nadmetati,nad,125,1376,77,91
seliti,doseliti,do,108,550,77,85
obilaziti,zaobilaziti,za,511,539,77,90
šiti,sašiti,sa,120,481,76,76
viti,odviti,od,221,2431,76,78
upirati,podupirati,pod,174,351,76,78
piti,pripiti,pri,1844,7435,76,78
kloniti,prikloniti,pri,68,344,76,83
ložiti,založiti,za,97,874,75,94
lepiti,prilepiti,pri,125,884,75,75
klanjati,uklanjati,u,215,649,75,154
letati,preletati,pre,5,60,75,76
nositi,raznositi,raz,4409,57916,75,76
besneti,razbesneti,raz,82,83,75,76
jaditi,dojaditi,do,8,8,75,75
skočiti,uskočiti,u,982,6922,75,80
niknuti,proniknuti,pro,116,116,75,76
režati,zarežati,za,50,52,74,74
lomiti,prelomiti,pre,281,1693,74,80
vladati,nadvladati,nad,920,3747,74,82
uzdavati,obuzdavati,ob,26,78,74,76
sijati,zasijati,za,308,628,74,84
stupati,ustupati,u,213,1113,74,81
vapiti,zavapiti,za,49,53,74,75
voleti,privoleti,pri,2369,7590,74,75
viknuti,podviknuti,pod,897,5382,73,73
slagati,naslagati,na,1007,1126,73,73
mutiti,zamutiti,za,115,236,73,73
moliti,promoliti,pro,2871,14368,73,73
drmati,uzdrmati,uz,45,138,73,79
buditi,razbuditi,raz,475,1579,72,74
letiti,naletiti,na,598,4208,71,73
štedeti,uštedeti,u,54,110,71,111
čistiti,pročistiti,pro,284,590,71,76
tresti,protresti,pro,499,499,71,72
liti,preliti,pre,96,961,71,81
svirati,odsvirati,od,863,2679,71,79
grabiti,dograbiti,do,199,998,71,71
trčati,pretrčati,pre,1327,7978,70,72
maknuti,zamaknuti,za,233,1864,70,70
krotiti,ukrotiti,u,26,28,70,72
rešiti,razrešiti,raz,1365,2989,70,96
tvoriti,pritvoriti,pri,46,140,70,70
izlaziti,proizlaziti,pro,2166,4542,70,107
turiti,proturiti,pro,62,372,70,71
ljutiti,razljutiti,raz,529,1076,70,72
voliti,zavoliti,za,2997,3062,69,76
vitlati,zavitlati,za,121,242,69,69
pipati,napipati,na,140,140,68,71
paziti,pripaziti,pri,1113,2254,68,70
vrteti,uvrteti,u,334,1014,68,68
čuti,načuti,na,10341,62563,68,71
ostajati,zaostajati,za,1983,6402,68,96
liti,naliti,na,96,961,68,69
dremati,zadremati,za,128,128,68,68
leteti,uleteti,u,242,2665,67,69
vezati,zavezati,za,1111,7803,67,68
jahati,projahati,pro,568,3976,67,67
saditi,zasaditi,za,41,214,67,81
ganjati,proganjati,pro,14,15,67,72
biti,sabiti,sa,187140,2256517,67,68
koriti,prekoriti,pre,80,162,67,68
kratiti,prekratiti,pre,23,47,66,69
letiti,uletiti,u,598,4208,66,69
upreti,podupreti,pod,164,328,66,67
saditi,usaditi,u,41,214,66,71
meriti,izmeriti,iz,155,1361,66,87
rugati,narugati,na,155,158,66,66
jačati,nadjačati,nad,214,287,65,69
ljuljati,zaljuljati,za,257,522,65,66
maknuti,uzmaknuti,uz,233,1864,65,65
graditi,ugraditi,u,543,4169,65,118
blistati,zablistati,za,340,341,65,70
trošiti,utrošiti,u,445,547,64,78
hteti,prohteti,pro,59495,75887,64,64
sezati,dosezati,do,66,66,63,67
raditi,obraditi,ob,7532,64503,63,121
legati,podlegati,pod,26,82,63,66
letiti,odletiti,od,598,4208,63,64
letati,izletati,iz,5,60,63,65
lagati,zalagati,za,732,5866,63,209
šarati,prošarati,pro,89,90,62,63
kašljati,zakašljati,za,128,256,62,62
ostaviti,izostaviti,iz,4195,4614,62,72
mučiti,izmučiti,iz,1256,2545,62,62
rušiti,prerušiti,pre,322,1627,62,62
poloviti,prepoloviti,pre,9,9,62,69
juriti,projuriti,pro,730,3664,62,62
siktati,prosiktati,pro,43,43,61,61
spravljati,uspravljati,u,33,35,61,62
kršiti,prekršiti,pre,97,174,61,108
mirisati,namirisati,na,399,811,61,63
čuljiti,načuljiti,na,8,8,60,60
škoditi,naškoditi,na,87,94,60,75
leteti,preleteti,pre,242,2665,60,60
sedeti,presedeti,pre,2479,2537,60,60
turiti,preturiti,pre,62,372,60,60
lomiti,prolomiti,pro,281,1693,60,60
lutati,odlutati,od,583,1175,60,63
deliti,razdeliti,raz,844,3603,60,60
trnuti,utrnuti,u,52,156,60,62
plesti,saplesti,sa,223,223,60,60
vrtiti,zavrtiti,za,279,303,60,60
grebati,izgrebati,iz,113,227,59,60
spavati,odspavati,od,3002,15366,59,60
pajati,napajati,na,7,14,59,71
bežati,razbežati,raz,973,1013,59,60
oružati,razoružati,raz,11,33,59,65
denuti,zadenuti,za,24,48,59,59
šaptati,prošaptati,pro,79,79,59,59
piti,upiti,u,1844,7435,59,82
stradati,nastradati,na,187,293,58,71
brazdati,izbrazdati,iz,30,30,58,58
kupiti,nakupiti,na,1575,6695,58,63
verati,uzverati,uz,104,105,58,59
gaziti,zagaziti,za,358,1793,58,60
prinositi,doprinositi,do,177,362,58,592
uveriti,razuveriti,raz,1450,3013,58,59
vijati,nadvijati,nad,60,722,58,63
saviti,presaviti,pre,242,487,57,57
pričati,prepričati,pre,5314,11015,57,66
bušiti,probušiti,pro,31,63,57,63
udati,preudati,pre,739,1505,57,57
grliti,prigrliti,pri,360,1082,57,71
grejati,ugrejati,u,183,747,56,62
bivati,prebivati,pre,1203,3674,56,60
viđati,priviđati,pri,680,2756,56,56
dizati,izdizati,iz,958,3840,56,68
šiti,ušiti,u,120,481,56,70
žariti,zažariti,za,54,108,56,56
pratiti,dopratiti,do,2628,6306,56,57
vezati,razvezati,raz,1111,7803,56,56
mrljati,umrljati,u,16,32,56,56
nakaziti,unakaziti,u,8,16,56,56
voditi,zavoditi,za,5046,56924,56,66
misliti,umisliti,u,11168,79097,56,57
žaliti,zažaliti,za,956,2923,56,60
grabiti,ugrabiti,u,199,998,56,58
samariti,nasamariti,na,5,10,56,56
birati,sabirati,sa,474,3615,55,64
meriti,nameriti,na,155,1361,55,59
lajati,zalajati,za,209,209,55,55
noćiti,zanoćiti,za,33,66,55,55
pomagati,zapomagati,za,890,1742,55,55
mamiti,namamiti,na,215,1076,55,55
želeti,zaželeti,za,3165,9208,55,55
zvučati,zazvučati,za,496,515,54,57
žeti,sažeti,sa,1995,5985,54,59
očit,naočit,na,50,50,54,54
okrenuti,preokrenuti,pre,3751,11333,54,67
ložiti,obložiti,ob,97,874,54,66
vaditi,zavaditi,za,419,855,53,54
dobiti,pridobiti,pri,3333,12439,53,59
letati,obletati,ob,5,60,53,53
žad,užad,u,19,19,53,53
važiti,uvažiti,u,103,438,53,67
kočiti,zakočiti,za,95,200,53,54
lizati,izlizati,iz,155,466,53,53
planuti,preplanuti,pre,235,239,53,57
goreti,sagoreti,sa,551,4409,53,55
djelovati,sudjelovati,su,5,53,53,75
mašiti,nadmašiti,nad,215,861,53,70
minuti,uminuti,u,95,95,53,54
razumiti,urazumiti,u,6,14,53,55
goditi,ugoditi,u,115,464,53,59
skočiti,priskočiti,pri,982,6922,52,55
stupiti,odstupiti,od,452,2866,52,66
hoditi,nahoditi,na,164,328,52,52
zbiti,suzbiti,su,389,394,52,62
prečiti,preprečiti,pre,22,44,52,52
veriti,zaveriti,za,100,401,52,52
stezati,ustezati,u,506,507,52,52
letati,saletati,sa,5,60,52,53
sesti,zasesti,za,2497,4995,52,52
grnuti,nagrnuti,na,8,40,51,51
viti,previti,pre,221,2431,51,51
cerekati,zacerekati,za,125,125,51,51
udarati,podudarati,pod,1023,4106,51,80
prositi,zaprositi,za,131,265,51,51
trčati,protrčati,pro,1327,7978,51,53
značiti,naznačiti,na,3748,4781,51,116
okupljati,zaokupljati,za,196,386,51,58
valiti,odvaliti,od,29,261,51,51
leteti,proleteti,pro,242,2665,51,52
obući,preobući,pre,546,1100,51,51
mračiti,zamračiti,za,29,58,50,50
gaziti,nagaziti,na,358,1793,50,51
metati,podmetati,pod,125,1376,50,50
viti,nadviti,nad,221,2431,50,57
leteti,uzleteti,uz,242,2665,50,52
pominjati,napominjati,na,706,836,50,114
gostiti,ugostiti,u,233,234,50,124
vladati,prevladati,pre,920,3747,50,62
patiti,propatiti,pro,692,2781,50,56
nositi,pronositi,pro,4409,57916,49,52
dešavati,udešavati,u,1463,1819,49,49
voziti,prevoziti,pre,857,4422,49,87
komentarisati,prokomentarisati,pro,103,151,49,65
grditi,izgrditi,iz,204,409,49,52
glasiti,saglasiti,sa,290,1250,49,188
juriti,izjuriti,iz,730,3664,49,50
gneviti,razgneviti,raz,9,9,49,49
učiti,izučiti,iz,1173,8449,49,51
hladiti,prehladiti,pre,110,230,48,48
micati,zamicati,za,387,3097,48,48
veo,uveo,u,300,300,48,48
plivati,zaplivati,za,393,1200,48,51
trpati,pretrpati,pre,76,305,48,50
gledati,progledati,pro,11256,135464,48,50
pleniti,zapleniti,za,22,30,48,50
krčiti,zakrčiti,za,63,129,48,49
bistriti,razbistriti,raz,50,50,47,51
pretiti,pripretiti,pri,644,2022,47,47
lepiti,odlepiti,od,125,884,47,54
brojiti,izbrojiti,iz,230,960,47,47
valiti,razvaliti,raz,29,261,47,49
hodati,uhodati,u,1676,3394,47,49
činiti,začiniti,za,8487,44291,47,67
ležati,odležati,od,2671,5517,47,48
škripati,zaškripati,za,145,146,47,47
treperiti,zatreperiti,za,291,300,47,47
govoriti,razgovoriti,raz,13834,139978,47,47
duvati,izduvati,iz,387,1174,47,49
skakati,odskakati,od,509,2042,46,46
rediti,prorediti,pro,20,200,46,46
letiti,preletiti,pre,598,4208,46,48
kostrešiti,nakostrešiti,na,10,10,46,46
močiti,umočiti,u,20,60,46,47
cvetati,procvetati,pro,82,93,46,51
crtati,ucrtati,u,103,433,46,48
paliti,pripaliti,pri,335,1055,46,47
boriti,izboriti,iz,1007,1362,45,131
lomiti,izlomiti,iz,281,1693,45,47
gladiti,ugladiti,u,112,336,45,45
mrtviti,umrtviti,u,143,143,45,45
vijati,navijati,na,60,722,45,56
biti,pribiti,pri,187140,2256517,45,46
ići,podići,pod,9434,57248,45,335
živeti,nadživeti,nad,2266,17078,44,46
turiti,zaturiti,za,62,372,44,45
vući,prevući,pre,1348,14834,44,46
letati,proletati,pro,5,60,44,45
ustaviti,obustaviti,ob,40,120,44,78
meriti,umeriti,u,155,1361,44,44
uzdati,zauzdati,za,142,571,44,45
sukati,nasukati,na,57,171,44,44
tkati,satkati,sa,47,236,43,44
kobiti,sukobiti,su,39,39,43,49
lučiti,razlučiti,raz,38,120,43,47
okružiti,zaokružiti,za,382,383,43,72
krpiti,zakrpiti,za,44,46,43,43
gurati,izgurati,iz,620,4365,43,48
brojati,nabrojati,na,302,1276,43,53
šminkati,našminkati,na,17,18,43,45
stizati,sustizati,su,791,3348,43,44
hvat,dohvat,do,20,20,43,43
vejati,razvejati,raz,46,92,42,42
obliti,zaobliti,za,102,204,42,42
igrati,izigrati,iz,2814,20305,42,43
kačiti,prikačiti,pri,46,139,42,43
miriti,namiriti,na,265,1330,42,44
grnuti,razgrnuti,raz,8,40,42,43
seći,useći,u,246,1970,41,44
oštriti,izoštriti,iz,28,84,41,42
zdraviti,nazdraviti,na,136,272,41,41
dodati,pridodati,pri,2330,5553,41,54
letiti,proletiti,pro,598,4208,41,42
raditi,razraditi,raz,7532,64503,41,51
rediti,podrediti,pod,20,200,41,44
terati,saterati,sa,632,4451,41,41
ogrnuti,zaogrnuti,za,109,109,41,41
dosetiti,predosetiti,pre,133,271,40,42
stupati,odstupati,od,213,1113,40,63
koriti,ukoriti,u,80,162,40,42
reći,zareći,za,32340,196862,40,41
motati,obmotati,ob,185,1111,40,41
staviti,ustaviti,u,2536,15573,40,120
lediti,zalediti,za,96,101,40,40
bacati,nabacati,na,1156,2352,40,40
diktirati,izdiktirati,iz,62,97,40,40
moliti,izmoliti,iz,2871,14368,40,40
raditi,proraditi,pro,7532,64503,40,47
češljati,začešljati,za,133,266,40,40
mileti,razmileti,raz,13,26,40,40
rezati,prerezati,pre,79,791,40,42
petljati,upetljati,u,78,156,40,41
pecati,upecati,u,46,47,40,40
strašiti,zastrašiti,za,48,145,40,47
boleti,preboleti,pre,630,1895,40,40
magliti,odmagliti,od,124,248,40,41
zvati,sazvati,sa,3963,24025,40,180
iskati,zaiskati,za,152,152,39,39
šunjati,ušunjati,u,50,150,39,39
dubiti,produbiti,pro,31,126,39,58
suditi,presuditi,pre,750,3050,39,63
strujati,prostrujati,pro,53,93,39,42
vezati,odvezati,od,1111,7803,39,43
tajiti,zatajiti,za,28,57,39,41
leteti,razleteti,raz,242,2665,39,39
žariti,užariti,u,54,108,39,39
trčati,utrčati,u,1327,7978,39,39
gubiti,zagubiti,za,1750,3665,39,40
disati,izdisati,iz,784,3167,38,39
motati,zamotati,za,185,1111,38,40
voditi,privoditi,pri,5046,56924,38,46
pisati,propisati,pro,3704,26386,38,61
petljati,zapetljati,za,78,156,38,38
deliti,udeliti,u,844,3603,38,39
tući,dotući,do,538,2183,38,38
baviti,dobaviti,do,1006,7505,37,38
ložiti,priložiti,pri,97,874,37,86
brijati,izbrijati,iz,115,115,37,37
žmiriti,zažmiriti,za,21,21,37,37
gaziti,izgaziti,iz,358,1793,37,37
zidati,zazidati,za,305,1223,37,38
svlačiti,presvlačiti,pre,165,165,37,38
tući,natući,na,538,2183,37,37
golicati,zagolicati,za,73,74,37,40
pojiti,napojiti,na,48,96,37,38
crveniti,zacrveniti,za,248,271,36,36
vršiti,prevršiti,pre,552,3530,36,37
birati,pribirati,pri,474,3615,36,36
skraćivati,uskraćivati,u,38,56,36,48
sijati,usijati,u,308,628,36,36
mirisati,zamirisati,za,399,811,36,37
stavljati,dostavljati,do,934,5825,36,146
ljubiti,izljubiti,iz,1005,5033,36,37
metati,primetati,pri,125,1376,36,36
oći,nadoći,nad,5,6,36,37
letati,naletati,na,5,60,36,36
šuškati,ušuškati,u,68,136,36,40
pućiti,napućiti,na,11,11,36,36
dubiti,zadubiti,za,31,126,35,37
ćuliti,naćuliti,na,13,13,35,35
trpati,natrpati,na,76,305,35,36
živeti,saživeti,sa,2266,17078,35,36
brojiti,prebrojiti,pre,230,960,35,36
broditi,prebroditi,pre,35,35,35,46
smejati,zasmejati,za,1791,3584,35,36
dejstvovati,izdejstvovati,iz,45,52,35,44
gajiti,odgajiti,od,277,292,35,39
vajati,izvajati,iz,15,45,35,38
rvati,obrvati,ob,48,96,35,40
migoljiti,izmigoljiti,iz,12,12,35,35
puniti,dopuniti,do,347,1415,35,79
viti,naviti,na,221,2431,35,36
mazati,premazati,pre,66,397,35,44
dobijati,zadobijati,za,755,2248,34,34
piljiti,upiljiti,u,205,410,34,34
micati,razmicati,raz,387,3097,34,34
kaljati,ukaljati,u,25,26,34,34
derati,razderati,raz,245,735,34,34
rešiti,odrešiti,od,1365,2989,34,34
praviti,prepraviti,pre,1783,7387,34,38
računati,proračunati,pro,456,2707,34,37
crveneti,zacrveneti,za,39,39,34,35
udarati,izudarati,iz,1023,4106,34,34
baciti,nabaciti,na,2546,20423,34,39
rvati,survati,su,48,96,34,35
putovati,proputovati,pro,1115,3580,34,41
točiti,pretočiti,pre,52,157,33,52
viknuti,odviknuti,od,897,5382,33,33
moći,uzmoći,uz,46606,110401,33,33
rubiti,odrubiti,od,5,10,33,34
rezati,odrezati,od,79,791,33,34
vozati,provozati,pro,96,96,33,38
brojati,prebrojati,pre,302,1276,33,38
množiti,umnožiti,u,59,123,33,36
traćiti,protraćiti,pro,34,34,33,33
glačati,uglačati,u,17,35,33,34
urediti,preurediti,pre,364,852,33,42
teturati,zateturati,za,121,123,33,33
mrsiti,razmrsiti,raz,65,197,33,34
smetati,zasmetati,za,780,800,33,35
vežbati,uvežbati,u,117,278,33,33
minirati,dominirati,do,22,25,33,158
goreti,dogoreti,do,551,4409,33,33
birati,nabirati,na,474,3615,33,33
borati,naborati,na,71,142,33,33
bujati,nabujati,na,78,86,33,36
gušiti,zagušiti,za,409,1239,33,33
parati,zaparati,za,55,57,33,33
ploviti,uploviti,u,308,994,33,39
glumiti,odglumiti,od,210,229,32,32
liti,saliti,sa,96,961,32,32
mititi,podmititi,pod,7,7,32,34
trovati,zatrovati,za,91,92,32,33
učiti,podučiti,pod,1173,8449,32,35
roditi,uroditi,u,1917,5817,32,36
rastati,narastati,na,373,2258,32,33
odati,nadodati,nad,374,474,32,32
ličiti,naličiti,na,2067,6252,32,32
jahati,dojahati,do,568,3976,32,32
kititi,nakititi,na,69,139,32,32
zepsti,prozepsti,pro,24,24,32,32
isticati,proisticati,pro,516,998,32,74
sušiti,presušiti,pre,166,521,32,34
terati,priterati,pri,632,4451,32,33
čuditi,načuditi,na,622,1275,31,31
letati,uletati,u,5,60,31,31
okrenuti,zaokrenuti,za,3751,11333,31,31
hodati,prohodati,pro,1676,3394,31,34
umreti,izumreti,iz,2737,2869,31,33
javiti,dojaviti,do,1382,8457,31,31
maziti,razmaziti,raz,94,100,31,31
kvasiti,nakvasiti,na,62,124,31,31
plivati,preplivati,pre,393,1200,31,32
hvatati,nahvatati,na,984,3948,31,31
bečiti,izbečiti,iz,20,20,31,31
strašiti,ustrašiti,u,48,145,31,31
moriti,izmoriti,iz,149,747,31,31
videti,izvideti,iz,10954,78196,31,31
stizati,dostizati,do,791,3348,31,86
goditi,odgoditi,od,115,464,31,35
stupati,pristupati,pri,213,1113,31,89
leteti,zaleteti,za,242,2665,30,31
gnezditi,ugnezditi,u,26,29,30,32
služiti,uslužiti,u,1740,5663,30,43
skakati,uskakati,u,509,2042,30,31
točiti,natočiti,na,52,157,30,33
nuditi,iznuditi,iz,712,2716,30,37
sretati,presretati,pre,362,778,30,30
suditi,prosuditi,pro,750,3050,30,34
sjetiti,podsjetiti,pod,26,44,30,44
suziti,zasuziti,za,67,79,30,30
sloviti,nasloviti,na,15,47,30,31
roditi,naroditi,na,1917,5817,30,30
kipiti,ukipiti,u,10,10,29,29
zbijati,suzbijati,su,89,91,29,34
pljeskati,zapljeskati,za,106,106,29,29
goditi,nagoditi,na,115,464,29,29
pakostiti,napakostiti,na,28,28,29,29
terati,uterati,u,632,4451,29,30
bušiti,izbušiti,iz,31,63,29,30
nišaniti,nanišaniti,na,52,53,29,30
stenjati,zastenjati,za,111,222,29,29
šiti,prišiti,pri,120,481,29,29
lupati,zalupati,za,397,795,29,29
sukati,usukati,u,57,171,29,29
računati,obračunati,ob,456,2707,29,44
kupiti,zakupiti,za,1575,6695,29,46
krvaviti,zakrvaviti,za,80,80,29,29
hrupiti,nahrupiti,na,11,11,29,29
otkrivati,razotkrivati,raz,824,993,29,42
dizati,pridizati,pri,958,3840,29,29
letati,uzletati,uz,5,60,28,28
obraćati,preobraćati,pre,1173,2440,28,28
puniti,prepuniti,pre,347,1415,28,32
klanjati,priklanjati,pri,215,649,28,31
besniti,razbesniti,raz,114,120,28,29
seći,zaseći,za,246,1970,28,28
viriti,naviriti,na,362,1811,28,28
mazati,umazati,u,66,397,28,28
gospodariti,zagospodariti,za,78,82,28,32
sedati,odsedati,od,224,1346,28,32
razložiti,obrazložiti,ob,8,20,28,180
zviždati,zazviždati,za,120,122,28,28
trubiti,zatrubiti,za,56,56,28,28
viti,podviti,pod,221,2431,28,30
motati,razmotati,raz,185,1111,28,28
skočiti,zaskočiti,za,982,6922,28,29
rezati,izrezati,iz,79,791,27,30
tvor,pritvor,pri,25,25,27,27
beležiti,pribeležiti,pri,288,988,27,28
žaliti,prežaliti,pre,956,2923,27,27
poroditi,preporoditi,pre,55,64,27,30
kidati,ukidati,u,250,752,27,62
nizati,nanizati,na,169,173,27,30
gladiti,zagladiti,za,112,336,27,27
gaziti,ugaziti,u,358,1793,27,27
glasiti,razglasiti,raz,290,1250,27,27
ćelav,proćelav,pro,131,131,27,27
motriti,promotriti,pro,169,339,27,28
krčiti,prokrčiti,pro,63,129,27,29
gaditi,zagaditi,za,158,159,27,33
jahati,izjahati,iz,568,3976,27,27
vojevati,izvojevati,iz,11,12,27,34
stajati,odstajati,od,6069,48949,27,28
jadati,izjadati,iz,82,83,27,27
gladneti,izgladneti,iz,76,76,27,29
kazivati,zakazivati,za,567,2838,27,43
titrati,zatitrati,za,66,66,27,27
mesiti,zamesiti,za,73,151,27,31
gurati,dogurati,do,620,4365,27,30
venuti,uvenuti,u,38,76,27,27
lepiti,ulepiti,u,125,884,27,27
valiti,podvaliti,pod,29,261,26,26
gibati,sagibati,sa,20,40,26,26
rastati,prerastati,pre,373,2258,26,26
gladiti,izgladiti,iz,112,336,26,28
rastati,odrastati,od,373,2258,26,37
reći,proreći,pro,32340,196862,26,27
deklamovati,izdeklamovati,iz,54,54,26,26
dubiti,izdubiti,iz,31,126,26,27
talasati,zatalasati,za,45,48,26,26
ploviti,zaploviti,za,308,994,26,26
kititi,zakititi,za,69,139,26,26
priličiti,upriličiti,u,126,258,26,34
davati,uzdavati,uz,2395,22346,26,78
grajati,zagrajati,za,57,57,26,26
ujedati,izujedati,iz,118,118,25,25
bdeti,probdeti,pro,199,199,25,25
seći,saseći,sa,246,1970,25,27
goniti,razgoniti,raz,484,3398,25,25
ticati,preticati,pre,1501,10978,25,26
šišati,podšišati,pod,39,83,25,25
razlagati,obrazlagati,ob,14,30,25,34
raditi,odraditi,od,7532,64503,25,56
turiti,doturiti,do,62,372,25,26
lanuti,izlanuti,iz,16,16,25,25
leteti,doleteti,do,242,2665,25,25
dizati,zadizati,za,958,3840,25,25
beležiti,ubeležiti,u,288,988,25,28
nositi,uznositi,uz,4409,57916,25,25
ječati,zaječati,za,111,111,25,25
strčati,ustrčati,u,74,74,25,26
vjeriti,uvjeriti,u,30,60,25,37
bludeti,zabludeti,za,23,23,25,27
tući,pretući,pre,538,2183,25,34
crtati,precrtati,pre,103,433,25,26
viriti,priviriti,pri,362,1811,25,25
mlatiti,premlatiti,pre,60,241,25,25
staviti,pristaviti,pri,2536,15573,25,26
grditi,nagrditi,na,204,409,24,24
spaliti,uspaliti,u,192,201,24,24
kikotati,zakikotati,za,80,80,24,24
tuliti,utuliti,u,17,17,24,24
trajati,dotrajati,do,1257,1957,24,27
rezati,obrezati,ob,79,791,24,24
brojiti,nabrojiti,na,230,960,24,26
čkiljiti,začkiljiti,za,24,24,24,24
buktati,razbuktati,raz,13,13,24,25
vetriti,provetriti,pro,26,53,24,25
goreti,razgoreti,raz,551,4409,24,24
jahati,zajahati,za,568,3976,24,24
vezati,uvezati,u,1111,7803,24,29
pucati,upucati,u,884,2680,24,24
ticati,priticati,pri,1501,10978,24,24
dati,pridati,pri,5896,54495,24,33
topiti,pretopiti,pre,216,663,24,24
uzeti,poduzeti,pod,4077,24680,24,51
slediti,proslediti,pro,771,2533,24,66
krenuti,zakrenuti,za,3412,3729,24,24
gađati,odgađati,od,236,954,24,28
ostajati,izostajati,iz,1983,6402,24,44
gledati,odgledati,od,11256,135464,23,30
miriti,podmiriti,pod,265,1330,23,31
skočiti,doskočiti,do,982,6922,23,23
joguniti,uzjoguniti,uz,14,14,23,24
pisati,dopisati,do,3704,26386,23,27
spavati,naspavati,na,3002,15366,23,26
mesiti,umesiti,u,73,151,23,29
krštavati,ukrštavati,u,5,5,23,23
rumeniti,zarumeniti,za,99,200,23,23
gibati,ugibati,u,20,40,23,24
pucati,pripucati,pri,884,2680,23,23
videti,prevideti,pre,10954,78196,23,27
prodavati,preprodavati,pre,557,1373,23,23
nalaziti,iznalaziti,iz,4753,17813,23,23
gluv,nagluv,na,205,205,23,23
sukati,zasukati,za,57,171,23,23
denuti,udenuti,u,24,48,23,23
rediti,nadrediti,nad,20,200,23,23
letati,nadletati,nad,5,60,23,24
kukati,zakukati,za,73,76,23,23
kovati,zakovati,za,114,344,23,23
vijati,dovijati,do,60,722,22,24
žeći,užeći,u,36,108,22,22
rediti,obrediti,ob,20,200,22,22
grebati,zagrebati,za,113,227,22,22
sedati,zasedati,za,224,1346,22,26
izići,proizići,pro,1736,3478,22,25
recitovati,izrecitovati,iz,87,180,22,23
uzdati,razuzdati,raz,142,571,22,22
čuvati,pričuvati,pri,1335,3053,22,22
vezivati,odvezivati,od,423,856,22,22
naduti,podnaduti,pod,143,143,22,22
saditi,nasaditi,na,41,214,22,22
vikati,zavikati,za,2049,8201,22,22
voditi,razvoditi,raz,5046,56924,22,23
misliti,namisliti,na,11168,79097,22,22
vezivati,razvezivati,raz,423,856,22,22
pričati,napričati,na,5314,11015,22,22
inatiti,zainatiti,za,21,21,22,22
sisati,usisati,u,126,127,22,24
pucati,zapucati,za,884,2680,21,22
stupiti,zastupiti,za,452,2866,21,22
brbljati,izbrbljati,iz,193,193,21,21
šiljiti,zašiljiti,za,9,9,21,21
služiti,odslužiti,od,1740,5663,21,26
ispitati,preispitati,pre,227,319,21,71
ubijati,izubijati,iz,501,552,21,21
čistiti,prečistiti,pre,284,590,21,22
izaći,proizaći,pro,3254,3588,21,47
svetliti,prosvetliti,pro,160,320,21,21
grabiti,zagrabiti,za,199,998,21,21
celiti,zaceliti,za,40,40,21,21
zvati,zazvati,za,3963,24025,21,22
hladneti,zahladneti,za,55,55,21,22
ceniti,zaceniti,za,235,967,21,21
slušati,naslušati,na,4092,16590,21,22
plesati,zaplesati,za,222,234,21,22
pakovati,upakovati,u,56,145,21,25
zidati,sazidati,sa,305,1223,21,23
roniti,odroniti,od,41,169,21,21
rušiti,razrušiti,raz,322,1627,21,23
obraćati,saobraćati,sa,1173,2440,21,46
lepršati,zalepršati,za,121,243,21,21
motati,odmotati,od,185,1111,21,21
imenovati,naimenovati,na,116,334,20,20
rogušiti,narogušiti,na,5,5,20,20
bivati,izbivati,iz,1203,3674,20,21
bljuvati,izbljuvati,iz,34,34,20,20
vejati,zavejati,za,46,92,20,20
pojiti,pripojiti,pri,48,96,20,24
bledeti,ubledeti,u,153,459,20,20
ređati,naređati,na,155,315,20,20
secati,odsecati,od,6,37,20,25
zvoniti,odzvoniti,od,370,745,20,20
mazati,razmazati,raz,66,397,20,21
letati,zaletati,za,5,60,20,20
mazati,zamazati,za,66,397,20,20
treptati,zatreptati,za,188,190,20,20
kuvati,zakuvati,za,221,249,20,20
sedati,nasedati,na,224,1346,20,21
mešati,promešati,pro,717,2200,20,27
gurati,progurati,pro,620,4365,20,24
viditi,providiti,pro,12663,25581,20,21
piti,propiti,pro,1844,7435,20,20
vrpoljiti,uzvrpoljiti,uz,60,60,20,20
naći,iznaći,iz,6553,13922,20,28
voziti,dovoziti,do,857,4422,20,27
saditi,presaditi,pre,41,214,20,22
hraniti,prehraniti,pre,406,1653,20,23
ispitivati,preispitivati,pre,507,518,20,38
videti,privideti,pri,10954,78196,20,20
