word,frequency
опазити,54
редовно,53
изазвати,53
оженити,53
сићи,53
додуше,53
куповати,53
хранити,53
објашњавати,53
повести,53
odavde,53
dole,53
однекуд,52
узвратити,52
сахранити,52
судити,52
оштро,52
лечити,52
lagano,52
odista,52
покушати,51
неочекивано,51
напред,51
поновити,51
борити,51
заузети,51
угасити,51
будити,51
уверавати,51
odlično,51
дигнути,50
отпочети,50
погодити,50
ходати,50
шетати,50
побећи,50
назвати,50
упознати,50
наилазити,50
избегавати,50
изненада,50
дању,50
gore,50
посве,50
усправно,50
познати,50
ујутру,49
издржати,49
близу,49
одакле,49
продужити,49
допирати,49
утврдити,49
одбијати,49
записати,48
живо,48
набавити,48
примећивати,48
скинути,48
успевати,48
гласити,48
изнети,48
корачати,48
силазити,48
откако,48
вероватно,48
попити,47
издати,47
повремено,47
високо,47
умирити,47
објавити,47
стога,47
обилазити,47
pomalo,47
однети,46
зачути,46
заспати,46
махати,46
проводити,46
дрхтати,46
заустављати,46
beh,46
гасити,45
јурити,45
замишљати,45
сложити,45
направити,45
пружати,45
прилазити,45
обећати,45
урадити,45
возити,45
затећи,45
потражити,45
трошити,45
испитивати,45
nekada,45
осудити,45
ишчезнути,44
тицати,44
сакрити,44
плаћати,44
покрити,44
продавати,44
бележити,44
страшно,44
стављати,44
преводити,44
ukratko,44
извршити,44
слагати,44
ретко,43
понудити,43
тући,43
икад,43
малочас,43
виђати,43
предавати,43
затварати,43
покушавати,43
чудити,43
рушити,43
kud,43
neočekivano,43
polako,43
слутити,43
besno,43
рађати,42
поклонити,42
зачудити,42
испуњавати,42
слабо,42
слободно,42
разбити,42
пуцати,42
проговорити,42
нестајати,42
преносити,42
natrag,42
prvo,42
ujutru,42
ljutito,42
седати,41
дружити,41
почивати,41
скочити,41
насмејати,41
одржавати,41
схватати,41
мирисати,41
verovatno,41
glasno,41
blizu,41
кратко,40
висити,40
препознати,40
положити,40
избацити,40
одбити,40
доживети,40
свакако,40
бројати,40
уживати,40
пољубити,40
поделити,40
veselo,40
прилично,39
лупати,39
зависити,39
изразити,39
поменути,39
збунити,39
ступити,39
једноставно,39
завршавати,39
саградити,39
указати,39
сместити,39
svuda,39
спремити,38
размишљати,38
наступити,38
збиља,38
пећи,38
насликати,38
одјекивати,38
ломити,38
сачекати,38
решавати,38
разликовати,38
укратко,38
veli,38
istovremeno,38
uzgred,38
обавити,37
приближавати,37
ускоро,37
опрезно,37
затражити,37
гурати,37
одлучно,37
исписати,37
скренути,37
газити,37
отимати,37
naročito,37
pre,37
stvarno,37
sutradan,37
бринути,36
распитивати,36
избити,36
испасти,36
указивати,36
изволети,36
бирати,36
послужити,36
изабрати,36
обући,36
сликати,36
докле,35
отпутовати,35
наједном,35
двапут,35
пристати,35
осветлити,35
стезати,35
летјети,35
поднети,35
уредити,35
сећи,35
žao,35
retko,35
ćutke,35
доказивати,35
строго,34
повезати,34
скидати,34
запалити,34
замолити,34
лећи,34
упадати,34
боловати,34
tužno,34
prilično,34
nazad,34
описати,33
унети,33
поверити,33
чистити,33
варати,33
повлачити,33
остварити,33
уверити,33
пловити,33
одавде,33
горети,33
вечерас,33
otkud,33
смјети,33
полагано,33
убијати,33
доиста,33
дознати,33
пљунути,32
јутрос,32
ћутке,32
изложити,32
саопштити,32
лебдети,32
пренети,32
ниско,32
весело,32
дозволити,32
савијати,32
занимати,32
управљати,32
болити,32
одредити,32
пребацити,32
уносити,32
suviše,32
jedino,32
strašno,32
нагонити,32
упамтити,32
плести,31
привући,31
попустити,31
поздравити,31
позивати,31
напамет,31
вешто,31
slučajno,31
досада,31
сакупити,31
другачије,31
дрекнути,30
спадати,30
мерити,30
разабрати,30
журити,30
смирити,30
проверити,30
шалити,30
посветити,30
ћутјети,30
избијати,30
назирати,30
употребити,30
hajdemo,30
konačno,30
zauvek,30
неприметно,30
забележити,30
ljubazno,30
nedavno,30
umalo,30
допустити,29
гурнути,29
важити,29
раширити,29
тренутно,29
предложити,29
увредити,29
захтевати,29
грдити,29
упорно,29
захваљивати,29
напола,29
изводити,29
попети,29
љубити,29
понашати,29
хвалити,29
трептати,29
искрено,29
збуњивати,29
додавати,29
štaviše,29
прекрстити,28
свечано,28
љутито,28
непосредно,28
разићи,28
дохватити,28
обесити,28
доказати,28
пропасти,28
увести,28
саветовати,28
искористити,28
умешати,28
боравити,28
наређивати,28
преклињати,28
измислити,28
поигравати,28
послушати,28
издвојити,28
napolje,28
odlučno,28
radosno,28
свршавати,28
синоћ,28
привлачити,28
наслућивати,28
сјати,28
уништити,28
отада,28
rado,28
озбиљно,27
подсећати,27
истицати,27
отети,27
лутати,27
тргнути,27
постављати,27
разгледати,27
напоље,27
утонути,27
вадити,27
дозивати,27
огласити,27
задржавати,27
сумњати,27
чврсто,27
тонути,27
svejedno,27
valjda,27
naglo,27
развити,27
подносити,27
праштати,27
kratko,27
превести,26
испоставити,26
уписати,26
запевати,26
недавно,26
брисати,26
вирити,26
ловити,26
становати,26
одмицати,26
пунити,26
нестрпљиво,26
склонити,26
патити,26
хладно,26
кружити,26
претити,26
порасти,26
oprezno,26
сједити,26
умиривати,26
следити,26
uistinu,26
nigde,26
zdravo,26
упасти,25
трпети,25
помолити,25
пресећи,25
осмехнути,25
изражавати,25
износити,25
пењати,25
радосно,25
легнути,25
навалити,25
грчевито,25
шкрипати,25
престајати,25
селити,25
мало-помало,25
срећно,25
жао,25
обарати,25
додиривати,25
спречити,25
пливати,25
мицати,25
савршено,25
означавати,25
otvoreno,25
споља,25
заповедити,25
смењивати,25
природно,25
стицати,25
odnosno,25
drago,25
izuzetno,25
подрхтавати,24
осванути,24
приказати,24
пробити,24
доводити,24
маштати,24
задовољити,24
допрети,24
покренути,24
завладати,24
обузети,24
углавном,24
узнемирити,24
лагати,24
трагати,24
задрхтати,24
утолико,24
пробијати,24
украсти,24
одмахивати,24
недостајати,24
радо,24
топити,24
удаљити,24
сванути,24
прати,24
заменити,24
зими,24
поштовати,24
савладати,24
desno,24
unapred,24
неговати,24
увиђати,24
казнити,24
dovoljno,24
nimalo,24
нимало,23
наслонити,23
одазвати,23
померити,23
предвидети,23
грејати,23
донекле,23
женити,23
допутовати,23
прогутати,23
пуно,23
поразговарати,23
вртети,23
отприлике,23
полетети,23
посетити,23
пристајати,23
благо,23
досад,23
запитати,23
дирати,23
допуштати,23
мировати,23
јавно,23
ратовати,23
присилити,23
сахрањивати,23
обећавати,23
померати,23
нешто,23
levo,23
uzalud,23
prosto,23
iskreno,23
dvaput,23
davno,23
nervozno,23
izjutra,23
занети,23
оживети,23
дочекивати,23
овдје,23
напасти,23
гдје,23
малко,23
понајвише,23
искупити,23
отуда,23
наводити,23
oštro,23
uporno,23
učtivo,23
лизати,22
пропустити,22
клањати,22
покривати,22
марити,22
свиђати,22
запрепастити,22
наумити,22
изнутра,22
узвикнути,22
скакати,22
повратити,22
красти,22
предузети,22
прегледати,22
ослушкивати,22
чудно,22
сретати,22
препустити,22
излагати,22
