infinitive_latin,frequency,infinitive_latin_norm
strogo,19,strogo
paliti,19,paliti
loše,19,loše
poslužiti,19,poslužiti
mrziti,19,mrziti
večito,19,večito
privlačiti,19,privlačiti
neobično,19,neobično
apsolutno,19,apsolutno
nežno,19,nežno
otprilike,19,otprilike
zaključati,19,zaključati
gušiti,19,gušiti
napuštati,19,napuštati
napolju,19,napolju
ručati,19,ručati
лагано,19,lagano
довикивати,19,dovikivati
заносити,19,zanositi
сагледати,19,sagledati
нападати,19,napadati
огорчити,19,ogorčiti
постепено,19,postepeno
заштитити,19,zaštititi
blistati,19,blistati
prestajati,19,prestajati
letiti,19,letiti
mrštiti,19,mrštiti
navući,19,navući
poveriti,19,poveriti
namignuti,19,namignuti
pop,19,pop
uglavnom,19,uglavnom
začuđeno,19,začuđeno
zakačiti,19,zakačiti
posebno,19,posebno
obavestiti,19,obavestiti
nagnuti,19,nagnuti
dovući,19,dovući
rastati,19,rastati
ushititi,19,ushititi
придржавати,18,pridržavati
укочити,18,ukočiti
узбуђивати,18,uzbuđivati
попреко,18,popreko
преселити,18,preseliti
потрести,18,potresti
прекрити,18,prekriti
закључати,18,zaključati
певушити,18,pevušiti
увлачити,18,uvlačiti
свега,18,svega
освртати,18,osvrtati
запети,18,zapeti
бунити,18,buniti
убацити,18,ubaciti
расправљати,18,raspravljati
преживети,18,preživeti
издавати,18,izdavati
пронети,18,proneti
упоредити,18,uporediti
размислити,18,razmisliti
припремити,18,pripremiti
настајати,18,nastajati
скупљати,18,skupljati
гутати,18,gutati
залутати,18,zalutati
пар,18,par
искрснути,18,iskrsnuti
гристи,18,gristi
наизменично,18,naizmenično
наменити,18,nameniti
разболети,18,razboleti
подсетити,18,podsetiti
утицати,18,uticati
испратити,18,ispratiti
усуђивати,18,usuđivati
допасти,18,dopasti
пренути,18,prenuti
goniti,18,goniti
bivati,18,bivati
izneti,18,izneti
zaćutati,18,zaćutati
ispratiti,18,ispratiti
utonuti,18,utonuti
poverovati,18,poverovati
sahraniti,18,sahraniti
podsećati,18,podsećati
nisko,18,nisko
vređati,18,vređati
neprimetno,18,neprimetno
rđavo,18,rđavo
колебати,18,kolebati
obići,18,obići
обићи,18,obići
несумњиво,18,nesumnjivo
претурати,18,preturati
заћи,18,zaći
застајати,18,zastajati
распоређивати,18,raspoređivati
кажњавати,18,kažnjavati
унатраг,18,unatrag
покретати,18,pokretati
вечерати,18,večerati
устајати,18,ustajati
одбранити,18,odbraniti
ujutro,18,ujutro
odvući,18,odvući
vezati,18,vezati
zabraniti,18,zabraniti
sastaviti,18,sastaviti
uvesti,18,uvesti
značajno,18,značajno
svečano,18,svečano
namerno,18,namerno
otvorisati,18,otvorisati
jahati,18,jahati
letelo,18,letelo
osmehivati,18,osmehivati
iskriviti,18,iskriviti
zalupiti,18,zalupiti
uvis,18,uvis
otuda,18,otuda
natovariti,18,natovariti
odjeći,18,odjeći
upaliti,18,upaliti
meširiti,18,meširiti
украсити,17,ukrasiti
опрати,17,oprati
основати,17,osnovati
бојажљиво,17,bojažljivo
звонити,17,zvoniti
промицати,17,promicati
навратити,17,navratiti
одвући,17,odvući
промрмљати,17,promrmljati
залазити,17,zalaziti
окупити,17,okupiti
силно,17,silno
откад,17,otkad
пожурити,17,požuriti
савити,17,saviti
олакшати,17,olakšati
страдати,17,stradati
копати,17,kopati
обнављати,17,obnavljati
одбацити,17,odbaciti
рђаво,17,rđavo
напредовати,17,napredovati
задесити,17,zadesiti
подржати,17,podržati
присуствовати,17,prisustvovati
оштетити,17,oštetiti
звучити,17,zvučiti
блештати,17,bleštati
потрчати,17,potrčati
уклонити,17,ukloniti
пребацивати,17,prebacivati
препричавати,17,prepričavati
признавати,17,priznavati
затезати,17,zatezati
полазити,17,polaziti
вешати,17,vešati
преписивати,17,prepisivati
вежбати,17,vežbati
посадити,17,posaditi
понешто,17,ponešto
pecati,17,pecati
posetiti,17,posetiti
pomeriti,17,pomeriti
zaplakati,17,zaplakati
obavezno,17,obavezno
čudnovato,17,čudnovato
uvideti,17,uvideti
skideti,17,skideti
skidjeti,17,skidjeti
opaliti,17,opaliti
jutros,17,jutros
prijatno,17,prijatno
pobediti,17,pobediti
dočno,17,dočno
zatvarati,17,zatvarati
odnositi,17,odnositi
klanjati,17,klanjati
maločas,17,maločas
spomenuti,17,spomenuti
poštovati,17,poštovati
poludeti,17,poludeti
bolovati,17,bolovati
izvoditi,17,izvoditi
peći,17,peći
visoko,17,visoko
osvetljavati,17,osvetljavati
предвече,17,predveče
уједно,17,ujedno
ницати,17,nicati
сносити,17,snositi
мрзети,17,mrzeti
излечити,17,izlečiti
jurnuti,17,jurnuti
посебно,17,posebno
окачити,17,okačiti
otrčati,17,otrčati
upisati,17,upisati
seliti,17,seliti
probati,17,probati
slabo,17,slabo
zvoniti,17,zvoniti
dostojanstveno,17,dostojanstveno
uzdržati,17,uzdržati
vatreno,17,vatreno
ustuknuti,17,ustuknuti
učestvovati,17,učestvovati
streljati,17,streljati
pokrenuti,17,pokrenuti
slediti,17,slediti
nemirno,17,nemirno
zavaliti,17,zavaliti
ispružiti,17,ispružiti
večeras,17,večeras
začusiti,17,začusiti
lupkati,17,lupkati
опасати,16,opasati
прозвати,16,prozvati
обасјати,16,obasjati
изустити,16,izustiti
окружити,16,okružiti
ручати,16,ručati
хитро,16,hitro
привести,16,privesti
предузимати,16,preduzimati
помешати,16,pomešati
слично,16,slično
препоручити,16,preporučiti
удаљивати,16,udaljivati
одушевити,16,oduševiti
одабрати,16,odabrati
радовати,16,radovati
претходно,16,prethodno
хајдемо,16,hajdemo
покаткад,16,pokatkad
приказивати,16,prikazivati
звиждати,16,zviždati
одупрети,16,odupreti
штитити,16,štititi
наслутити,16,naslutiti
убедити,16,ubediti
грубо,16,grubo
притрчати,16,pritrčati
лишити,16,lišiti
сручити,16,sručiti
прескакати,16,preskakati
изрећи,16,izreći
побити,16,pobiti
дунути,16,dunuti
вечно,16,večno
поклањати,16,poklanjati
продрети,16,prodreti
micati,16,micati
oblačiti,16,oblačiti
rađati,16,rađati
graditi,16,graditi
izložiti,16,izložiti
jecati,16,jecati
trpeti,16,trpeti
napasti,16,napasti
kupati,16,kupati
zadržavati,16,zadržavati
dignuti,16,dignuti
dosaditi,16,dosaditi
odbijati,16,odbijati
zgrabiti,16,zgrabiti
okupiti,16,okupiti
pozdravljati,16,pozdravljati
dovršiti,16,dovršiti
večerati,16,večerati
kucati,16,kucati
potpisati,16,potpisati
почесити,16,počesiti
пјевати,16,pjevati
заноћити,16,zanoćiti
мирити,16,miriti
опомињати,16,opominjati
потећи,16,poteći
опремити,16,opremiti
уједати,16,ujedati
dodirnuti,16,dodirnuti
обухватати,16,obuhvatati
razjasniti,16,razjasniti
skrivati,16,skrivati
napuniti,16,napuniti
povremeno,16,povremeno
zahvaliti,16,zahvaliti
prijateljski,16,prijateljski
ispisati,16,ispisati
iskoristiti,16,iskoristiti
surovo,16,surovo
prisustvovati,16,prisustvovati
oduzeti,16,oduzeti
zaviriti,16,zaviriti
prati,16,prati
smakati,16,smakati
свакодневно,15,svakodnevno
ноћас,15,noćas
спречавати,15,sprečavati
учтиво,15,učtivo
уздахнути,15,uzdahnuti
наместити,15,namestiti
осврнути,15,osvrnuti
намрштити,15,namrštiti
навирати,15,navirati
превалити,15,prevaliti
скупо,15,skupo
стењати,15,stenjati
придружити,15,pridružiti
прихватати,15,prihvatati
летити,15,letiti
некуд,15,nekud
преноћити,15,prenoćiti
збацити,15,zbaciti
смишљати,15,smišljati
наглас,15,naglas
потицати,15,poticati
скакутати,15,skakutati
несвесно,15,nesvesno
клечати,15,klečati
садржати,15,sadržati
потајно,15,potajno
откуда,15,otkuda
поправљати,15,popravljati
преливати,15,prelivati
савлађивати,15,savlađivati
удахнути,15,udahnuti
саздати,15,sazdati
смешкати,15,smeškati
објављивати,15,objavljivati
превртати,15,prevrtati
потврдити,15,potvrditi
одузети,15,oduzeti
свући,15,svući
летети,15,leteti
измирити,15,izmiriti
посећивати,15,posećivati
итд.,15,itd.
видно,15,vidno
нипошто,15,nipošto
поштено,15,pošteno
потрошити,15,potrošiti
презриво,15,prezrivo
испуштати,15,ispuštati
освајати,15,osvajati
наиме,15,naime
љуљати,15,ljuljati
поразити,15,poraziti
заузимати,15,zauzimati
нагнути,15,nagnuti
одрастати,15,odrastati
нечујно,15,nečujno
разлити,15,razliti
приклонити,15,prikloniti
достојанствено,15,dostojanstveno
нанети,15,naneti
посећи,15,poseći
дрско,15,drsko
намеравати,15,nameravati
замуцкивати,15,zamuckivati
жвакати,15,žvakati
деловати,15,delovati
osvojiti,15,osvojiti
postepeno,15,postepeno
pokretati,15,pokretati
uzdizati,15,uzdizati
poslušati,15,poslušati
poginuti,15,poginuti
prikazivati,15,prikazivati
vešati,15,vešati
slegati,15,slegati
dosadno,15,dosadno
živo,15,živo
lečiti,15,lečiti
grditi,15,grditi
naići,15,naići
rastajati,15,rastajati
vaditi,15,vaditi
premestiti,15,premestiti
izmučiti,15,izmučiti
клати,15,klati
гађати,15,gađati
дирнути,15,dirnuti
потврђивати,15,potvrđivati
остваривати,15,ostvarivati
смиривати,15,smirivati
замрсити,15,zamrsiti
изостати,15,izostati
одрећи,15,odreći
наоко,15,naoko
протумачити,15,protumačiti
растајати,15,rastajati
заточити,15,zatočiti
навести,15,navesti
установити,15,ustanoviti
оплодити,15,oploditi
уплести,15,uplesti
скоро,15,skoro
ubaciti,15,ubaciti
uticati,15,uticati
dotle,15,dotle
zapažati,15,zapažati
isterati,15,isterati
ispitivati,15,ispitivati
popričati,15,popričati
odjuriti,15,odjuriti
uzdrhtati,15,uzdrhtati
srediti,15,srediti
navodno,15,navodno
pritrčati,15,pritrčati
osloniti,15,osloniti
sastojati,15,sastojati
okačiti,15,okačiti
skakati,15,skakati
slomiti,15,slomiti
pridržavati,15,pridržavati
dreknuti,15,dreknuti
promicati,15,promicati
uspevati,15,uspevati
ukrasti,15,ukrasti
izgraditi,15,izgraditi
zabiti,15,zabiti
pričiniti,15,pričiniti
zakucati,15,zakucati
progutati,15,progutati
бријати,14,brijati
одмахнути,14,odmahnuti
искрсавати,14,iskrsavati
притискивати,14,pritiskivati
равнодушно,14,ravnodušno
похитати,14,pohitati
кувати,14,kuvati
утешити,14,utešiti
отрчати,14,otrčati
исећи,14,iseći
тврдо,14,tvrdo
обрети,14,obreti
урлати,14,urlati
мрштити,14,mrštiti
пријатно,14,prijatno
састојати,14,sastojati
погубити,14,pogubiti
захвалити,14,zahvaliti
гунђати,14,gunđati
непрекидно,14,neprekidno
истрчати,14,istrčati
опалити,14,opaliti
муцати,14,mucati
раставити,14,rastaviti
хладити,14,hladiti
изградити,14,izgraditi
запутити,14,zaputiti
помаљати,14,pomaljati
горко,14,gorko
настанити,14,nastaniti
мотати,14,motati
покварити,14,pokvariti
дозвољавати,14,dozvoljavati
здраво,14,zdravo
клети,14,kleti
однијети,14,odnijeti
жмиркати,14,žmirkati
пући,14,pući
повредити,14,povrediti
одатле,14,odatle
тровати,14,trovati
запањити,14,zapanjiti
погрешно,14,pogrešno
обновити,14,obnoviti
пробати,14,probati
договорити,14,dogovoriti
уловити,14,uloviti
поправити,14,popraviti
усудити,14,usuditi
хитати,14,hitati
средити,14,srediti
одозго,14,odozgo
ослобађати,14,oslobađati
поседовати,14,posedovati
доспети,14,dospeti
исцедити,14,iscediti
истаћи,14,istaći
удесити,14,udesiti
шибати,14,šibati
узалудно,14,uzaludno
јечати,14,ječati
избацивати,14,izbacivati
заклонити,14,zakloniti
потегнути,14,potegnuti
онолико,14,onoliko
растерати,14,rasterati
неповратно,14,nepovratno
испитати,14,ispitati
обухватити,14,obuhvatiti
издалека,14,izdaleka
zapamtiti,14,zapamtiti
sporo,14,sporo
ukrasiti,14,ukrasiti
osvestiti,14,osvestiti
kidati,14,kidati
povlačiti,14,povlačiti
zavisiti,14,zavisiti
udarati,14,udarati
beležiti,14,beležiti
ceniti,14,ceniti
dunuti,14,dunuti
izvinjavati,14,izvinjavati
zaustavljati,14,zaustavljati
naprotiv,14,naprotiv
побијати,14,pobijati
куцати,14,kucati
примицати,14,primicati
poterati,14,poterati
трајно,14,trajno
препирати,14,prepirati
кочити,14,kočiti
низати,14,nizati
једанпут,14,jedanput
осветљавати,14,osvetljavati
зачудо,14,začudo
склањати,14,sklanjati
месити,14,mesiti
одсећи,14,odseći
подражавати,14,podražavati
студирати,14,studirati
обележити,14,obeležiti
односно,14,odnosno
zamišljati,14,zamišljati
doživeti,14,doživeti
opustiti,14,opustiti
položiti,14,položiti
удети,14,udeti
odigrati,14,odigrati
hitno,14,hitno
stišati,14,stišati
uperiti,14,uperiti
ionako,14,ionako
sumnjati,14,sumnjati
razlegati,14,razlegati
предвиђати,14,predviđati
usput,14,usput
raspitivati,14,raspitivati
povezati,14,povezati
usprotiviti,14,usprotiviti
organizovati,14,organizovati
spolja,14,spolja
procediti,14,procediti
skakutati,14,skakutati
prineti,14,prineti
iščeznuti,14,iščeznuti
napipati,14,napipati
prezrivo,14,prezrivo
prozboriti,14,prozboriti
udesiti,14,udesiti
hitati,14,hitati
onamo,14,onamo
zbiti,14,zbiti
jeknuti,14,jeknuti
свидети,13,svideti
спопасти,13,spopasti
оклевати,13,oklevati
намах,13,namah
неуморно,13,neumorno
потонути,13,potonuti
обезбедити,13,obezbediti
трипут,13,triput
позајмити,13,pozajmiti
стрпати,13,strpati
устукнути,13,ustuknuti
пљувати,13,pljuvati
извињавати,13,izvinjavati
дома,13,doma
стрчати,13,strčati
поздрављати,13,pozdravljati
пожалити,13,požaliti
тад,13,tad
изнијети,13,iznijeti
навући,13,navući
онде,13,onde
подстицати,13,podsticati
проучавати,13,proučavati
знојити,13,znojiti
пропуштати,13,propuštati
опити,13,opiti
обазирати,13,obazirati
свратити,13,svratiti
претходити,13,prethoditi
догађати,13,događati
осмотрити,13,osmotriti
заслуживати,13,zasluživati
уздржати,13,uzdržati
шапнути,13,šapnuti
зграбити,13,zgrabiti
заклањати,13,zaklanjati
слатко,13,slatko
подсмевати,13,podsmevati
покупити,13,pokupiti
прогласити,13,proglasiti
гајити,13,gajiti
уступити,13,ustupiti
стрпљиво,13,strpljivo
притиснути,13,pritisnuti
захватити,13,zahvatiti
избећи,13,izbeći
преврнути,13,prevrnuti
дремати,13,dremati
вребати,13,vrebati
прикрити,13,prikriti
лепити,13,lepiti
укрцати,13,ukrcati
подржавати,13,podržavati
блистати,13,blistati
откинути,13,otkinuti
завести,13,zavesti
драго,13,drago
lomiti,13,lomiti
isticati,13,isticati
puno,13,puno
neprestano,13,neprestano
izustiti,13,izustiti
trošiti,13,trošiti
blago,13,blago
sprečiti,13,sprečiti
zaći,13,zaći
poželeti,13,poželeti
otkinuti,13,otkinuti
odgurnuti,13,odgurnuti
pripremiti,13,pripremiti
iznositi,13,iznositi
dirati,13,dirati
uzvratiti,13,uzvratiti
usniti,13,usniti
prikazati,13,prikazati
potražiti,13,potražiti
viđati,13,viđati
trgnuti,13,trgnuti
drukčije,13,drukčije
bojiti,13,bojiti
izazivati,13,izazivati
pomiriti,13,pomiriti
upasti,13,upasti
namestiti,13,namestiti
починити,13,počiniti
старити,13,stariti
нигдје,13,nigdje
истерати,13,isterati
миловати,13,milovati
okružiti,13,okružiti
prisetiti,13,prisetiti
делимично,13,delimično
привидно,13,prividno
протезати,13,protezati
састајати,13,sastajati
поуздано,13,pouzdano
неумољиво,13,neumoljivo
горјети,13,gorjeti
болно,13,bolno
загрејати,13,zagrejati
приковати,13,prikovati
додадити,13,dodaditi
пробости,13,probosti
ступати,13,stupati
невидљиво,13,nevidljivo
изневерити,13,izneveriti
обазрети,13,obazreti
пројахати,13,projahati
спашавати,13,spašavati
поступати,13,postupati
узајамно,13,uzajamno
уздисати,13,uzdisati
наследити,13,naslediti
опадати,13,opadati
обратно,13,obratno
бех,13,beh
zasada,13,zasada
snaći,13,snaći
odmarati,13,odmarati
zaraditi,13,zaraditi
nikuda,13,nikuda
gunđati,13,gunđati
požaliti,13,požaliti
izvestiti,13,izvestiti
prevesti,13,prevesti
komandovati,13,komandovati
izmisliti,13,izmisliti
prijaviti,13,prijaviti
utvrditi,13,utvrditi
preleteti,13,preleteti
potrajati,13,potrajati
poznaditi,13,poznaditi
odmeriti,13,odmeriti
razići,13,razići
doviknuti,13,doviknuti
dovoditi,13,dovoditi
užasno,13,užasno
unutra,13,unutra
ponešto,13,ponešto
plaćati,13,plaćati
maštati,13,maštati
ponositi,13,ponositi
pobuniti,13,pobuniti
zanimati,13,zanimati
prezivati,13,prezivati
proučavati,13,proučavati
nešto,13,nešto
zakoračiti,13,zakoračiti
prodorno,13,prodorno
prenijeti,13,prenijeti
obuhvatiti,13,obuhvatiti
propuštati,13,propuštati
podrhtavati,13,podrhtavati
molećivo,13,molećivo
preblediti,13,preblediti
zasjati,13,zasjati
сазнавати,13,saznavati
олизати,13,olizati
водоравно,13,vodoravno
прислонити,12,prisloniti
тужно,12,tužno
коштати,12,koštati
покорити,12,pokoriti
ућутати,12,ućutati
искати,12,iskati
избројати,12,izbrojati
обављати,12,obavljati
годишње,12,godišnje
немогуће,12,nemoguće
широко,12,široko
дуговати,12,dugovati
умивати,12,umivati
прошапутати,12,prošaputati
глатко,12,glatko
разлегати,12,razlegati
смешно,12,smešno
муњевито,12,munjevito
допријети,12,doprijeti
гребати,12,grebati
безбрижно,12,bezbrižno
Немо,12,nemo
састати,12,sastati
пријавити,12,prijaviti
ликовати,12,likovati
изути,12,izuti
измењивати,12,izmenjivati
развезати,12,razvezati
закуцати,12,zakucati
дејствовати,12,dejstvovati
упуштати,12,upuštati
икада,12,ikada
пожелети,12,poželeti
трепнути,12,trepnuti
залепити,12,zalepiti
севати,12,sevati
навраћати,12,navraćati
јецати,12,jecati
наговорити,12,nagovoriti
задавати,12,zadavati
дотерати,12,doterati
наопако,12,naopako
претио,12,pretio
милити,12,militi
докопати,12,dokopati
осигурати,12,osigurati
заморити,12,zamoriti
повећавати,12,povećavati
оградити,12,ograditi
улетети,12,uleteti
поломити,12,polomiti
исписивати,12,ispisivati
смањивати,12,smanjivati
тапшати,12,tapšati
пропадати,12,propadati
досетити,12,dosetiti
претурити,12,preturiti
срушити,12,srušiti
додирнути,12,dodirnuti
избезумити,12,izbezumiti
nadolje,12,nadolje
stvarati,12,stvarati
zavoleti,12,zavoleti
naređivati,12,naređivati
udati,12,udati
nehotice,12,nehotice
preklinjati,12,preklinjati
pevušiti,12,pevušiti
uzdisati,12,uzdisati
odati,12,odati
izbegavati,12,izbegavati
praštati,12,praštati
raspoložiti,12,raspoložiti
neodlučno,12,neodlučno
ironično,12,ironično
brisati,12,brisati
poćutati,12,poćutati
puniti,12,puniti
zahvatiti,12,zahvatiti
помести,12,pomesti
запасти,12,zapasti
очистити,12,očistiti
умакати,12,umakati
наступати,12,nastupati
стрепети,12,strepeti
одводити,12,odvoditi
сударати,12,sudarati
противно,12,protivno
издахнути,12,izdahnuti
опширно,12,opširno
испразнити,12,isprazniti
обрнуто,12,obrnuto
разочарати,12,razočarati
садити,12,saditi
безобзирно,12,bezobzirno
истински,12,istinski
исповедати,12,ispovedati
непомично,12,nepomično
сложно,12,složno
вајкати,12,vajkati
ухапсити,12,uhapsiti
оздравити,12,ozdraviti
zapravo,12,zapravo
листати,12,listati
накнадно,12,naknadno
оптужити,12,optužiti
zainteresovati,12,zainteresovati
razdvojiti,12,razdvojiti
razviti,12,razviti
kupovati,12,kupovati
započeti,12,započeti
doznati,12,doznati
buniti,12,buniti
priljubiti,12,priljubiti
oteti,12,oteti
dokazati,12,dokazati
ošinuti,12,ošinuti
okupljati,12,okupljati
mariti,12,mariti
opkoliti,12,opkoliti
usuditi,12,usuditi
mračno,12,mračno
povratiti,12,povratiti
navaliti,12,navaliti
набављати,12,nabavljati
žurno,12,žurno
zaigrati,12,zaigrati
penjati,12,penjati
dremati,12,dremati
otpratiti,12,otpratiti
široko,12,široko
pokvariti,12,pokvariti
zapisivati,12,zapisivati
crveneti,12,crveneti
podeliti,12,podeliti
rukovoditi,12,rukovoditi
opasati,12,opasati
odzvanjati,12,odzvanjati
njihati,12,njihati
pojavisati,12,pojavisati
preskočiti,12,preskočiti
pomišljati,12,pomišljati
pričinjavati,12,pričinjavati
čistiti,12,čistiti
smeniti,12,smeniti
protestovati,12,protestovati
udaljavati,12,udaljavati
provući,12,provući
zaželjeti,12,zaželjeti
unaokolo,12,unaokolo
naime,12,naime
nadmeno,12,nadmeno
odozdo,12,odozdo
слегати,11,slegati
одахнути,11,odahnuti
отиснути,11,otisnuti
венчати,11,venčati
пословати,11,poslovati
бесно,11,besno
одазивати,11,odazivati
посртати,11,posrtati
разговетно,11,razgovetno
блеснути,11,blesnuti
наљутити,11,naljutiti
забацити,11,zabaciti
завући,11,zavući
дотрчати,11,dotrčati
искакати,11,iskakati
разабирати,11,razabirati
штампати,11,štampati
узвикивати,11,uzvikivati
пренијети,11,prenijeti
отресати,11,otresati
окусити,11,okusiti
срочити,11,sročiti
трљати,11,trljati
улево,11,ulevo
успоставити,11,uspostaviti
обрисати,11,obrisati
одјекнути,11,odjeknuti
лоше,11,loše
зачас,11,začas
проценити,11,proceniti
натакнути,11,nataknuti
урезати,11,urezati
свести,11,svesti
чешати,11,češati
зовнути,11,zovnuti
представити,11,predstaviti
отерати,11,oterati
жртвовати,11,žrtvovati
увећати,11,uvećati
избледети,11,izbledeti
вриснути,11,vrisnuti
обрукати,11,obrukati
наградити,11,nagraditi
попуштати,11,popuštati
зажелети,11,zaželeti
присетити,11,prisetiti
упропастити,11,upropastiti
стругати,11,strugati
просипати,11,prosipati
опљачкати,11,opljačkati
значајно,11,značajno
залити,11,zaliti
пуцкетати,11,pucketati
раздвојити,11,razdvojiti
шаптати,11,šaptati
свађати,11,svađati
пристизати,11,pristizati
зевати,11,zevati
нагледати,11,nagledati
брати,11,brati
опколити,11,opkoliti
опраштати,11,opraštati
осипати,11,osipati
жватати,11,žvatati
увијати,11,uvijati
постигнути,11,postignuti
посаветовати,11,posavetovati
скаменити,11,skameniti
stradati,11,stradati
kliziti,11,kliziti
iskočiti,11,iskočiti
prošetati,11,prošetati
pogrešiti,11,pogrešiti
sretati,11,sretati
zlobno,11,zlobno
uskliknuti,11,uskliknuti
spaliti,11,spaliti
izdaleka,11,izdaleka
dotaći,11,dotaći
najpre,11,najpre
pobiti,11,pobiti
lutati,11,lutati
uzbuđivati,11,uzbuđivati
zbilja,11,zbilja
lebdeti,11,lebdeti
odmahnuti,11,odmahnuti
prirediti,11,prirediti
ostvariti,11,ostvariti
upropastiti,11,upropastiti
par,11,par
zviždati,11,zviždati
zanositi,11,zanositi
predosećati,11,predosećati
odsesti,11,odsesti
zavijati,11,zavijati
topiti,11,topiti
slobodno,11,slobodno
srećno,11,srećno
grejati,11,grejati
prodavati,11,prodavati
напити,11,napiti
одузимати,11,oduzimati
zujati,11,zujati
простирати,11,prostirati
нагнати,11,nagnati
преморити,11,premoriti
бдети,11,bdeti
дозвати,11,dozvati
већином,11,većinom
добивати,11,dobivati
прочути,11,pročuti
испољавати,11,ispoljavati
дражити,11,dražiti
отуд,11,otud
укрштати,11,ukrštati
тржати,11,tržati
сачињавати,11,sačinjavati
храбрити,11,hrabriti
олакшавати,11,olakšavati
запустити,11,zapustiti
обележавати,11,obeležavati
дотада,11,dotada
младо,11,mlado
уистину,11,uistinu
измењати,11,izmenjati
напунити,11,napuniti
остарети,11,ostareti
даривати,11,darivati
стидити,11,stiditi
просити,11,prositi
окупати,11,okupati
кушати,11,kušati
odvijati,11,odvijati
tešiti,11,tešiti
razlikovati,11,razlikovati
razbijati,11,razbijati
zažmuriti,11,zažmuriti
odazvati,11,odazvati
dojaditi,11,dojaditi
stenjati,11,stenjati
poraziti,11,poraziti
protiviti,11,protiviti
zakleti,11,zakleti
prepustiti,11,prepustiti
pljesnuti,11,pljesnuti
lupetati,11,lupetati
postrojiti,11,postrojiti
pocrveneti,11,pocrveneti
nameravati,11,nameravati
razboleti,11,razboleti
potruditi,11,potruditi
računati,11,računati
otpustiti,11,otpustiti
preteći,11,preteći
zaječati,11,zaječati
raspravljati,11,raspravljati
dopreti,11,dopreti
istupiti,11,istupiti
dotrčati,11,dotrčati
potresti,11,potresti
naglas,11,naglas
opisivati,11,opisivati
popreko,11,popreko
oslobađati,11,oslobađati
obeležiti,11,obeležiti
ispadati,11,ispadati
upamtiti,11,upamtiti
posvetiti,11,posvetiti
čestitati,11,čestitati
nedostajati,11,nedostajati
čujno,11,čujno
spajati,11,spajati
nipošto,11,nipošto
usporiti,11,usporiti
našaliti,11,našaliti
zatezati,11,zatezati
zaklanjati,11,zaklanjati
unositi,11,unositi
zabaciti,11,zabaciti
izbacivati,11,izbacivati
malopre,11,malopre
razbesneti,11,razbesneti
slivati,11,slivati
doslovno,11,doslovno
зазирати,11,zazirati
гојити,11,gojiti
светлуцати,10,svetlucati
снити,10,sniti
кад,10,kad
употребљавати,10,upotrebljavati
узнемиравати,10,uznemiravati
причекати,10,pričekati
претресати,10,pretresati
сијати,10,sijati
убрзати,10,ubrzati
тркнути,10,trknuti
стиснути,10,stisnuti
чучати,10,čučati
усправити,10,uspraviti
отпремити,10,otpremiti
угушити,10,ugušiti
јекнути,10,jeknuti
ошамутити,10,ošamutiti
започети,10,započeti
претпоставити,10,pretpostaviti
велити,10,veliti
израчунати,10,izračunati
преузети,10,preuzeti
препоручивати,10,preporučivati
чисто,10,čisto
ватрено,10,vatreno
принудити,10,prinuditi
нежно,10,nežno
испречити,10,isprečiti
обасјавати,10,obasjavati
котрљати,10,kotrljati
завирити,10,zaviriti
сушити,10,sušiti
кладити,10,kladiti
сменити,10,smeniti
одмерити,10,odmeriti
славити,10,slaviti
потиснути,10,potisnuti
брижљиво,10,brižljivo
поскакивати,10,poskakivati
дотакати,10,dotakati
заливати,10,zalivati
набити,10,nabiti
забрањивати,10,zabranjivati
отицати,10,oticati
звучати,10,zvučati
поводити,10,povoditi
сливати,10,slivati
проверавати,10,proveravati
прснути,10,prsnuti
обилно,10,obilno
допадати,10,dopadati
спојити,10,spojiti
треперити,10,treperiti
ограничити,10,ograničiti
махнути,10,mahnuti
дивити,10,diviti
поступити,10,postupiti
слећи,10,sleći
гладити,10,gladiti
насртати,10,nasrtati
савесно,10,savesno
оптеретити,10,opteretiti
сјајно,10,sjajno
уперити,10,uperiti
покрасти,10,pokrasti
надимати,10,nadimati
натоварити,10,natovariti
завијати,10,zavijati
вређати,10,vređati
претпостављати,10,pretpostavljati
добацивати,10,dobacivati
вазда,10,vazda
одјурити,10,odjuriti
скувати,10,skuvati
нагињати,10,naginjati
наручити,10,naručiti
болети,10,boleti
пријатељски,10,prijateljski
полудети,10,poludeti
широм,10,širom
опасти,10,opasti
ућуткати,10,ućutkati
купати,10,kupati
усећи,10,useći
макар,10,makar
вести,10,vesti
захватати,10,zahvatati
ионако,10,ionako
одбацивати,10,odbacivati
спасити,10,spasiti
удрити,10,udriti
одоздо,10,odozdo
поштедети,10,poštedeti
тобоже,10,tobože
zalutati,10,zalutati
gristi,10,gristi
nakašljati,10,nakašljati
nalik,10,nalik
susresti,10,susresti
iščekivati,10,iščekivati
zaljuljati,10,zaljuljati
kažnjavati,10,kažnjavati
sklopiti,10,sklopiti
događati,10,događati
popravljati,10,popravljati
napamet,10,napamet
hvaliti,10,hvaliti
zakasniti,10,zakasniti
proleteti,10,proleteti
nuditi,10,nuditi
nabaviti,10,nabaviti
neverovatno,10,neverovatno
makar,10,makar
nervirati,10,nervirati
neprijateljski,10,neprijateljski
nasmešiti,10,nasmešiti
pristojno,10,pristojno
badava,10,badava
drhteti,10,drhteti
grubo,10,grubo
prisećati,10,prisećati
širom,10,širom
