word,frequency,comment
ubrzo,182,не похоже на глагол
нарочито,181,не похоже на глагол
никада,180,не похоже на глагол
dole,178,не похоже на глагол
овако,177,не похоже на глагол
јести,177,не похоже на глагол
вољети,177,не похоже на глагол
napred,177,не похоже на глагол
nekad,177,не похоже на глагол
skoro,177,не похоже на глагол
gore,177,не похоже на глагол
zauvek,176,не похоже на глагол
одавно,174,не похоже на глагол
lično,174,не похоже на глагол
готово,173,не похоже на глагол
svuda,173,не похоже на глагол
викати,172,не похоже на глагол
заборавити,172,не похоже на глагол
помислити,171,не похоже на глагол
стално,171,не похоже на глагол
уопште,170,не похоже на глагол
бивати,169,не похоже на глагол
glasno,169,не похоже на глагол
odakle,169,не похоже на глагол
схватити,166,не похоже на глагол
губити,166,не похоже на глагол
uzvikan,166,не похоже на глагол
управо,165,не похоже на глагол
десити,165,не похоже на глагол
заиста,165,не похоже на глагол
čvrsto,165,не похоже на глагол
пратити,164,не похоже на глагол
suviše,162,не похоже на глагол
пити,161,не похоже на глагол
окренути,161,не похоже на глагол
лепо,160,не похоже на глагол
остајати,159,не похоже на глагол
играти,158,не похоже на глагол
поћи,158,не похоже на глагол
одговарати,158,не похоже на глагол
донети,158,не похоже на глагол
спавати,157,не похоже на глагол
prvo,156,не похоже на глагол
sutradan,156,не похоже на глагол
kud,155,не похоже на глагол
служити,154,не похоже на глагол
jednostavno,153,не похоже на глагол
natrag,152,не похоже на глагол
naglo,152,не похоже на глагол
разумети,151,не похоже на глагол
послати,151,не похоже на глагол
pomalo,151,не похоже на глагол
pre,151,не похоже на глагол
svakako,150,не похоже на глагол
певати,149,не похоже на глагол
nekada,149,не похоже на глагол
разговарати,147,не похоже на глагол
uskoro,147,не похоже на глагол
међутим,146,не похоже на глагол
наставити,146,не похоже на глагол
одлазити,146,не похоже на глагол
посматрати,146,не похоже на глагол
најзад,146,не похоже на глагол
бацити,145,не похоже на глагол
uzalud,145,не похоже на глагол
иначе,144,не похоже на глагол
пустити,144,не похоже на глагол
мењати,144,не похоже на глагол
stvarno,144,не похоже на глагол
изићи,143,не похоже на глагол
приметити,143,не похоже на глагол
veli,143,не похоже на глагол
дизати,142,не похоже на глагол
веровати,141,не похоже на глагол
почињати,140,не похоже на глагол
купити,139,не похоже на глагол
odavde,139,не похоже на глагол
некад,137,не похоже на глагол
напустити,137,не похоже на глагол
