base_verb,prefixed_verb,prefix,freq_base,freq_prefixed,,prefix,base_verb
pratiti,propratiti,pro,3869,578,,,bdeti
grliti,obgrliti,ob,3869,103,,,šišati
računati,izračunati,iz,3869,29,,,razlagati
bivati,dobivati,do,3869,25,,,lanuti
prtiti,uprtiti,u,3796,294,,,ječati
stupati,zastupati,za,3757,252,,,strčati
rušiti,narušiti,na,3757,90,,,vjeriti
valiti,uvaliti,u,3757,68,,,bludeti
baviti,pribaviti,pri,3757,51,,,mlatiti
maknuti,razmaknuti,raz,3757,7,,,spaliti
spavati,prespavati,pre,3738,67,,,kikotati
plašiti,zaplašiti,za,3685,51,,,tuliti
platiti,naplatiti,na,3685,55,,,trajati
krutiti,ukrutiti,u,3640,1289,,,čkiljiti
daviti,zadaviti,za,3640,40,,,buktati
sipati,zasipati,za,3617,339,,,vetriti
vijati,previjati,pre,3617,10,,,pucati
viknuti,priviknuti,pri,3603,75,,,krenuti
staviti,dostaviti,do,3600,106,,,joguniti
šaliti,našaliti,na,3572,650,,,krštavati
cediti,procediti,pro,3518,56,,,rumeniti
mazati,namazati,na,3494,8,,,prodavati
dužiti,izdužiti,iz,3489,20,,,gluv
vraćati,navraćati,na,3489,16,,,kukati
gunđati,progunđati,pro,3467,276,,,žeći
miriti,izmiriti,iz,3467,223,,,izići
roniti,zaroniti,za,3467,29,,,recitovati
poznavati,upoznavati,u,3467,12,,,vezivati
obratiti,preobratiti,pre,3467,9,,,naduti
gledati,nagledati,na,3467,8,,,vikati
moriti,premoriti,pre,3467,7,,,inatiti
uditi,nauditi,na,3326,103,,,sisati
slepiti,zaslepiti,za,3326,78,,,brbljati
trpeti,pretrpeti,pre,3326,31,,,šiljiti
biti,prebiti,pre,3324,290,,,ispitati
vrteti,zavrteti,za,3324,302,,,ubijati
lagati,ulagati,u,3324,54,,,izaći
juriti,dojuriti,do,3324,9,,,svetliti
užiti,odužiti,od,3299,44,,,celiti
vući,podvući,pod,3288,750,,,hladneti
pečatiti,zapečatiti,za,3288,162,,,plesati
dirati,razdirati,raz,3288,42,,,pakovati
legati,razlegati,raz,3288,39,,,lepršati
želiti,zaželiti,za,3229,89,,,imenovati
terati,proterati,pro,3229,119,,,rogušiti
mučiti,namučiti,na,3229,18,,,bljuvati
gurati,ugurati,u,3140,4430,,,ređati
općiti,uopćiti,u,3140,13,,,treptati
jahati,odjahati,od,3106,321,,,kuvati
jecati,zajecati,za,3106,313,,,vrpoljiti
taknuti,nataknuti,na,3106,282,,,ispitivati
metati,premetati,pre,3106,218,,,šuštati
snivati,zasnivati,za,3106,118,,,postaviti
listati,prelistati,pre,3106,48,,,klesati
veseliti,razveseliti,raz,3106,36,,,umirati
roditi,izroditi,iz,3106,9,,,tanjiti
manjiti,umanjiti,u,3099,3500,,,pucketati
leteti,odleteti,od,3099,104,,,mreškati
točiti,zatočiti,za,3099,24,,,krkljati
buniti,uzbuniti,uz,2985,31,,,klimati
topiti,natopiti,na,2961,33,,,ostavljati
teći,priteći,pri,2961,198,,,veličati
likovati,nalikovati,na,2958,650,,,gnječiti
kriviti,nakriviti,na,2958,655,,,usmeriti
dragati,razdragati,raz,2952,376,,,okretati
govoriti,ugovoriti,u,2952,56,,,temeljiti
dosećati,predosećati,pre,2952,43,,,tutnjati
govoriti,prigovoriti,pri,2952,9,,,tucati
likovati,dolikovati,do,2913,937,,,kupovati
svirati,zasvirati,za,2895,93,,,svetiti
družiti,udružiti,u,2868,86,,,testirati
liti,proliti,pro,2868,21,,,ovladavati
mamiti,izmamiti,iz,2868,18,,,uživati
sušiti,sasušiti,sa,2868,18,,,taložiti
brojati,izbrojati,iz,2863,184,,,jebati
tišati,utišati,u,2863,17,,,upitati
hvatati,zahvatati,za,2855,60,,,peniti
vedriti,razvedriti,raz,2844,3841,,,tabati
liti,izliti,iz,2844,3611,,,blagodariti
njušiti,nanjušiti,na,2844,893,,,postavljati
likovati,odlikovati,od,2844,142,,,peći
otkriti,razotkriti,raz,2844,12,,,stideti
dahnuti,predahnuti,pre,2841,45,,,luditi
viriti,izviriti,iz,2841,23,,,blenuti
mjeriti,namjeriti,na,2841,23,,,gasnuti
miriti,primiriti,pri,2829,99,,,uveličati
trnuti,pretrnuti,pre,2829,62,,,huškati
menjati,izmenjati,iz,2790,27,,,magarčiti
derati,proderati,pro,2740,44,,,krstariti
motriti,razmotriti,raz,2687,502,,,iskriti
vršiti,navršiti,na,2687,36,,,mahati
jariti,razjariti,raz,2687,19,,,ćaskati
vijati,privijati,pri,2680,192,,,dvoriti
nositi,nadnositi,nad,2680,101,,,faliti
rušiti,obrušiti,ob,2680,124,,,pasati
metati,nadmetati,nad,2680,95,,,dojiti
seliti,doseliti,do,2680,73,,,ridati
obilaziti,zaobilaziti,za,2680,58,,,jaloviti
šiti,sašiti,sa,2680,62,,,vibrirati
viti,odviti,od,2680,39,,,ovladati
upirati,podupirati,pod,2680,32,,,nagliti
piti,pripiti,pri,2680,40,,,mrcvariti
kloniti,prikloniti,pri,2680,18,,,kockati
ložiti,založiti,za,2624,114,,,parirati
lepiti,prilepiti,pri,2624,40,,,trpiti
klanjati,uklanjati,u,2612,2837,,,drešiti
letati,preletati,pre,2591,224,,,žderati
nositi,raznositi,raz,2524,646,,,meškoljiti
besneti,razbesneti,raz,2524,222,,,curiti
jaditi,dojaditi,do,2524,78,,,škiljiti
skočiti,uskočiti,u,2522,181,,,bolovati
niknuti,proniknuti,pro,2522,51,,,negovati
režati,zarežati,za,2460,498,,,kipeti
lomiti,prelomiti,pre,2460,106,,,kapirati
vladati,nadvladati,nad,2459,2181,,,piškiti
uzdavati,obuzdavati,ob,2459,370,,,kaniti
sijati,zasijati,za,2459,84,,,lickati
stupati,ustupati,u,2450,789,,,popiti
vapiti,zavapiti,za,2437,3073,,,strujiti
voleti,privoleti,pri,2437,500,,,mekšati
viknuti,podviknuti,pod,2437,207,,,brundati
slagati,naslagati,na,2437,157,,,kretati
mutiti,zamutiti,za,2437,111,,,sejati
moliti,promoliti,pro,2437,109,,,laknuti
drmati,uzdrmati,uz,2437,99,,,uveličavati
buditi,razbuditi,raz,2437,61,,,gruvati
letiti,naletiti,na,2437,67,,,tjerati
štedeti,uštedeti,u,2437,37,,,odenuti
čistiti,pročistiti,pro,2437,46,,,vrebati
tresti,protresti,pro,2372,33,,,rešavati
liti,preliti,pre,2372,41,,,mrskati
svirati,odsvirati,od,2372,136,,,levati
grabiti,dograbiti,do,2372,16,,,ukrštati
trčati,pretrčati,pre,2372,16,,,živjeti
maknuti,zamaknuti,za,2372,8,,,znojiti
krotiti,ukrotiti,u,2351,17,,,učestvovati
rešiti,razrešiti,raz,2337,97,,,vrstati
tvoriti,pritvoriti,pri,2337,40,,,udariti
izlaziti,proizlaziti,pro,2337,37,,,tješiti
turiti,proturiti,pro,2337,94,,,treskati
ljutiti,razljutiti,raz,2292,1237,,,huktati
voliti,zavoliti,za,2292,15,,,sladiti
vitlati,zavitlati,za,2244,359,,,cakliti
pipati,napipati,na,2189,359,,,valjati
paziti,pripaziti,pri,2189,163,,,škrabati
vrteti,uvrteti,u,2189,241,,,ciljati
čuti,načuti,na,2189,81,,,ceriti
ostajati,zaostajati,za,2189,44,,,ružiti
liti,naliti,na,2189,23,,,pomoći
dremati,zadremati,za,2189,18,,,računiti
leteti,uleteti,u,2189,18,,,crniti
vezati,zavezati,za,2175,1965,,,puderisati
jahati,projahati,pro,2089,12,,,delovati
saditi,zasaditi,za,2048,173,,,prsnuti
ganjati,proganjati,pro,2048,48,,,cvrkutati
biti,sabiti,sa,2048,30,,,pešačiti
koriti,prekoriti,pre,2048,5,,,naglasiti
kratiti,prekratiti,pre,2036,528,,,maštati
letiti,uletiti,u,2036,263,,,ranjaviti
upreti,podupreti,pod,2007,354,,,zvečati
saditi,usaditi,u,2007,204,,,vrištati
meriti,izmeriti,iz,2007,55,,,svetlucati
rugati,narugati,na,2007,32,,,stiditi
jačati,nadjačati,nad,2007,34,,,mrziti
ljuljati,zaljuljati,za,2007,14,,,gegati
maknuti,uzmaknuti,uz,2007,15,,,škripiti
graditi,ugraditi,u,2007,12,,,pržiti
blistati,zablistati,za,1988,126,,,komplikovati
trošiti,utrošiti,u,1973,244,,,ribati
hteti,prohteti,pro,1973,121,,,lokati
sezati,dosezati,do,1934,139,,,osećati
raditi,obraditi,ob,1934,190,,,krijumčariti
legati,podlegati,pod,1929,219,,,sediti
letiti,odletiti,od,1929,154,,,rotiti
letati,izletati,iz,1929,46,,,glancati
lagati,zalagati,za,1911,1540,,,kalemiti
šarati,prošarati,pro,1891,737,,,hrkati
kašljati,zakašljati,za,1891,16,,,prostiti
ostaviti,izostaviti,iz,1891,26,,,vrdati
mučiti,izmučiti,iz,1871,453,,,rešetati
rušiti,prerušiti,pre,1871,171,,,tužiti
poloviti,prepoloviti,pre,1871,58,,,batinati
juriti,projuriti,pro,1871,14,,,tamniti
siktati,prosiktati,pro,1865,348,,,skičati
spravljati,uspravljati,u,1865,302,,,ogrtati
kršiti,prekršiti,pre,1865,295,,,odevati
mirisati,namirisati,na,1865,176,,,strugati
čuljiti,načuljiti,na,1865,159,,,uveravati
škoditi,naškoditi,na,1865,98,,,očaravati
leteti,preleteti,pre,1865,70,,,beleti
sedeti,presedeti,pre,1865,65,,,domišljati
turiti,preturiti,pre,1861,71,,,cvokotati
lomiti,prolomiti,pro,1824,160,,,glasati
lutati,odlutati,od,1824,70,,,vrbovati
deliti,razdeliti,raz,1824,58,,,ganuti
trnuti,utrnuti,u,1824,37,,,mastiti
plesti,saplesti,sa,1824,33,,,prazniti
vrtiti,zavrtiti,za,1816,199,,,kolutati
grebati,izgrebati,iz,1816,213,,,kotrljati
spavati,odspavati,od,1816,172,,,kreštati
pajati,napajati,na,1816,28,,,krojiti
bežati,razbežati,raz,1816,26,,,krvariti
oružati,razoružati,raz,1813,1127,,,kisnuti
denuti,zadenuti,za,1813,5687,,,venčati
šaptati,prošaptati,pro,1813,714,,,žvrljati
piti,upiti,u,1813,34,,,napredovati
stradati,nastradati,na,1808,274,,,dimiti
brazdati,izbrazdati,iz,1808,92,,,škrgutati
kupiti,nakupiti,na,1808,63,,,resiti
verati,uzverati,uz,1808,28,,,okruživati
gaziti,zagaziti,za,1808,70,,,koričiti
prinositi,doprinositi,do,1790,79,,,oblačiti
uveriti,razuveriti,raz,1769,126,,,beliti
vijati,nadvijati,nad,1769,63,,,skakutati
saviti,presaviti,pre,1769,54,,,sanjati
pričati,prepričati,pre,1769,17,,,mrdati
bušiti,probušiti,pro,1769,9,,,žvakati
udati,preudati,pre,1769,6,,,vređati
grliti,prigrliti,pri,1733,1026,,,napiti
grejati,ugrejati,u,1733,31,,,mrviti
bivati,prebivati,pre,1733,42,,,čeprkati
viđati,priviđati,pri,1711,106,,,cijeniti
dizati,izdizati,iz,1711,82,,,studirati
šiti,ušiti,u,1711,65,,,prodati
žariti,zažariti,za,1711,21,,,vidati
pratiti,dopratiti,do,1662,78,,,svetleti
vezati,razvezati,raz,1653,58,,,pištati
mrljati,umrljati,u,1609,29,,,njištati
nakaziti,unakaziti,u,1600,104,,,kovitlati
voditi,zavoditi,za,1574,541,,,jaukati
misliti,umisliti,u,1568,183,,,bleštiti
žaliti,zažaliti,za,1568,142,,,šivati
grabiti,ugrabiti,u,1568,137,,,komandovati
samariti,nasamariti,na,1568,15,,,šmrknuti
birati,sabirati,sa,1568,16,,,rovati
meriti,nameriti,na,1568,12,,,masirati
lajati,zalajati,za,1560,921,,,žmirkati
noćiti,zanoćiti,za,1560,357,,,vredeti
pomagati,zapomagati,za,1560,70,,,šeprtljati
mamiti,namamiti,na,1560,9,,,vlažiti
želeti,zaželeti,za,1556,18,,,đubriti
zvučati,zazvučati,za,1522,1315,,,siriti
žeti,sažeti,sa,1522,859,,,raniti
očit,naočit,na,1522,135,,,militi
okrenuti,preokrenuti,pre,1522,168,,,kreveljiti
ložiti,obložiti,ob,1522,564,,,marširati
vaditi,zavaditi,za,1522,17,,,buljiti
dobiti,pridobiti,pri,1522,52,,,prijeti
letati,obletati,ob,1522,11,,,kvariti
žad,užad,u,1522,7,,,sapunjati
važiti,uvažiti,u,1497,80,,,prskati
kočiti,zakočiti,za,1489,373,,,sitniti
lizati,izlizati,iz,1468,51,,,smrdeti
planuti,preplanuti,pre,1467,664,,,žuljati
goreti,sagoreti,sa,1467,35,,,vinuti
djelovati,sudjelovati,su,1427,1744,,,cvrčati
mašiti,nadmašiti,nad,1402,69,,,jemčiti
minuti,uminuti,u,1402,46,,,kukurikati
razumiti,urazumiti,u,1402,22,,,lelujati
goditi,ugoditi,u,1396,187,,,penušati
skočiti,priskočiti,pri,1396,80,,,pevušiti
stupiti,odstupiti,od,1396,9,,,senčiti
hoditi,nahoditi,na,1396,5,,,kljukati
zbiti,suzbiti,su,1381,28,,,debljati
prečiti,preprečiti,pre,1380,823,,,šištati
veriti,zaveriti,za,1380,127,,,tutnjiti
stezati,ustezati,u,1380,85,,,njuškati
letati,saletati,sa,1380,187,,,nicati
sesti,zasesti,za,1380,54,,,mašati
grnuti,nagrnuti,na,1380,37,,,diskutovati
viti,previti,pre,1380,21,,,doći
cerekati,zacerekati,za,1380,19,,,dodavati
udarati,podudarati,pod,1380,12,,,otimati
prositi,zaprositi,za,1380,7,,,uvijati
trčati,protrčati,pro,1380,23,,,gnjiti
značiti,naznačiti,na,1375,2261,,,graničiti
okupljati,zaokupljati,za,1370,12,,,masakrirati
valiti,odvaliti,od,1370,113,,,momčiti
leteti,proleteti,pro,1363,948,,,maskirati
obući,preobući,pre,1363,186,,,brujati
mračiti,zamračiti,za,1363,90,,,brazditi
gaziti,nagaziti,na,1363,60,,,kričati
metati,podmetati,pod,1363,50,,,jamčiti
viti,nadviti,nad,1360,130,,,groktati
leteti,uzleteti,uz,1359,54,,,graktati
pominjati,napominjati,na,1359,50,,,slijediti
gostiti,ugostiti,u,1359,38,,,kovrdžati
vladati,prevladati,pre,1359,12,,,kiseliti
patiti,propatiti,pro,1359,10,,,razgovarati
nositi,pronositi,pro,1359,14,,,pjev
dešavati,udešavati,u,1349,738,,,buđati
voziti,prevoziti,pre,1349,692,,,štaviti
komentarisati,prokomentarisati,pro,1349,48,,,tovar
grditi,izgrditi,iz,1348,61,,,tapkati
glasiti,saglasiti,sa,1348,45,,,saglasiti
juriti,izjuriti,iz,1348,33,,,predati
gneviti,razgneviti,raz,1306,287,,,posedati
učiti,izučiti,iz,1306,201,,,prašiti
hladiti,prehladiti,pre,1306,36,,,redati
micati,zamicati,za,1300,14,,,svrbeti
veo,uveo,u,1297,26,,,veslati
plivati,zaplivati,za,1297,19,,,puzati
trpati,pretrpati,pre,1266,52,,,vijoriti
gledati,progledati,pro,1266,11,,,zveckati
pleniti,zapleniti,za,1266,5,,,bičevati
krčiti,zakrčiti,za,1262,176,,,drkati
bistriti,razbistriti,raz,1262,77,,,gnjaviti
pretiti,pripretiti,pri,1259,44,,,reagovati
lepiti,odlepiti,od,1259,39,,,opijati
brojiti,izbrojiti,iz,1259,7,,,kaliti
valiti,razvaliti,raz,1259,7,,,oblikovati
hodati,uhodati,u,1231,762,,,savijati
činiti,začiniti,za,1225,69,,,testerisati
ležati,odležati,od,1220,400,,,uraniti
škripati,zaškripati,za,1220,90,,,uređivati
treperiti,zatreperiti,za,1220,21,,,dolaziti
govoriti,razgovoriti,raz,1220,78,,,vodati
duvati,izduvati,iz,1208,1087,,,skladištiti
skakati,odskakati,od,1208,33,,,soliti
rediti,prorediti,pro,1176,24,,,batrgati
letiti,preletiti,pre,1165,292,,,belasati
kostrešiti,nakostrešiti,na,1165,75,,,mariti
močiti,umočiti,u,1157,51,,,vonjati
cvetati,procvetati,pro,1129,58,,,zvrjati
crtati,ucrtati,u,1129,40,,,zoriti
paliti,pripaliti,pri,1129,38,,,krpati
boriti,izboriti,iz,1129,15,,,klatiti
lomiti,izlomiti,iz,1115,744,,,drobiti
gladiti,ugladiti,u,1115,96,,,defilovati
mrtviti,umrtviti,u,1115,112,,,drmusati
vijati,navijati,na,1114,199,,,fućkati
biti,pribiti,pri,1114,47,,,toptati
ići,podići,pod,1114,48,,,svoditi
živeti,nadživeti,nad,1114,31,,,mrzeti
turiti,zaturiti,za,1114,27,,,pljuštati
vući,prevući,pre,1114,20,,,tegliti
letati,proletati,pro,1112,16,,,knjižiti
ustaviti,obustaviti,ob,1112,14,,,farbati
meriti,umeriti,u,1111,469,,,kapati
uzdati,zauzdati,za,1109,1059,,,spojiti
sukati,nasukati,na,1109,21,,,udesiti
tkati,satkati,sa,1109,17,,,vaspitati
kobiti,sukobiti,su,1109,20,,,običavati
lučiti,razlučiti,raz,1094,144,,,obručiti
okružiti,zaokružiti,za,1094,15,,,pišati
krpiti,zakrpiti,za,1094,5,,,pljuvati
gurati,izgurati,iz,1088,125,,,bubriti
brojati,nabrojati,na,1088,67,,,fitiljiti
šminkati,našminkati,na,1088,16,,,kalupiti
stizati,sustizati,su,1088,11,,,kresati
hvat,dohvat,do,1088,5,,,miješati
vejati,razvejati,raz,1066,97,,,smijati
obliti,zaobliti,za,1066,68,,,
igrati,izigrati,iz,1066,8,,,
kačiti,prikačiti,pri,1047,4711,,,
miriti,namiriti,na,1047,575,,,
grnuti,razgrnuti,raz,1047,7,,,
seći,useći,u,1036,128,,,
oštriti,izoštriti,iz,1031,1755,,,
zdraviti,nazdraviti,na,1031,140,,,
dodati,pridodati,pri,1031,39,,,
letiti,proletiti,pro,1031,22,,,
raditi,razraditi,raz,1027,13,,,
rediti,podrediti,pod,1018,498,,,
terati,saterati,sa,1013,75,,,
ogrnuti,zaogrnuti,za,1013,74,,,
dosetiti,predosetiti,pre,1013,22,,,
stupati,odstupati,od,1013,28,,,
koriti,ukoriti,u,1013,10,,,
reći,zareći,za,974,207,,,
motati,obmotati,ob,974,167,,,
staviti,ustaviti,u,974,119,,,
lediti,zalediti,za,974,95,,,
bacati,nabacati,na,974,93,,,
diktirati,izdiktirati,iz,974,112,,,
moliti,izmoliti,iz,974,148,,,
raditi,proraditi,pro,974,76,,,
češljati,začešljati,za,974,32,,,
mileti,razmileti,raz,974,28,,,
rezati,prerezati,pre,974,18,,,
petljati,upetljati,u,974,11,,,
pecati,upecati,u,974,7,,,
strašiti,zastrašiti,za,967,1247,,,
boleti,preboleti,pre,967,59,,,
magliti,odmagliti,od,965,120,,,
zvati,sazvati,sa,965,100,,,
iskati,zaiskati,za,965,14,,,
šunjati,ušunjati,u,962,32,,,
dubiti,produbiti,pro,950,265,,,
suditi,presuditi,pre,950,41,,,
strujati,prostrujati,pro,947,6,,,
vezati,odvezati,od,946,84,,,
tajiti,zatajiti,za,931,794,,,
leteti,razleteti,raz,931,16,,,
žariti,užariti,u,930,68,,,
trčati,utrčati,u,930,45,,,
gubiti,zagubiti,za,927,190,,,
disati,izdisati,iz,927,79,,,
motati,zamotati,za,927,88,,,
voditi,privoditi,pri,927,28,,,
pisati,propisati,pro,927,14,,,
petljati,zapetljati,za,927,14,,,
deliti,udeliti,u,927,32,,,
tući,dotući,do,926,169,,,
baviti,dobaviti,do,926,94,,,
ložiti,priložiti,pri,926,9,,,
brijati,izbrijati,iz,918,53,,,
žmiriti,zažmiriti,za,906,22,,,
gaziti,izgaziti,iz,906,22,,,
zidati,zazidati,za,888,347,,,
svlačiti,presvlačiti,pre,883,1015,,,
tući,natući,na,883,725,,,
golicati,zagolicati,za,883,294,,,
pojiti,napojiti,na,883,1676,,,
crveniti,zacrveniti,za,883,410,,,
vršiti,prevršiti,pre,883,229,,,
birati,pribirati,pri,883,84,,,
skraćivati,uskraćivati,u,883,106,,,
sijati,usijati,u,883,352,,,
mirisati,zamirisati,za,883,28,,,
stavljati,dostavljati,do,883,37,,,
ljubiti,izljubiti,iz,883,6,,,
metati,primetati,pri,883,9,,,
oći,nadoći,nad,872,482,,,
letati,naletati,na,872,18,,,
šuškati,ušuškati,u,872,11,,,
pućiti,napućiti,na,870,214,,,
dubiti,zadubiti,za,870,200,,,
ćuliti,naćuliti,na,870,14,,,
trpati,natrpati,na,870,240,,,
živeti,saživeti,sa,862,21,,,
brojiti,prebrojiti,pre,862,65,,,
broditi,prebroditi,pre,861,381,,,
smejati,zasmejati,za,851,134,,,
dejstvovati,izdejstvovati,iz,833,7,,,
gajiti,odgajiti,od,833,8,,,
vajati,izvajati,iz,832,246,,,
rvati,obrvati,ob,832,32,,,
migoljiti,izmigoljiti,iz,832,11,,,
puniti,dopuniti,do,829,2489,,,
viti,naviti,na,829,13,,,
mazati,premazati,pre,818,87,,,
dobijati,zadobijati,za,818,15,,,
piljiti,upiljiti,u,812,33,,,
micati,razmicati,raz,812,12,,,
kaljati,ukaljati,u,809,2532,,,
derati,razderati,raz,809,374,,,
rešiti,odrešiti,od,806,23,,,
praviti,prepraviti,pre,800,224,,,
računati,proračunati,pro,800,45,,,
crveneti,zacrveneti,za,800,39,,,
udarati,izudarati,iz,800,40,,,
baciti,nabaciti,na,800,30,,,
rvati,survati,su,800,18,,,
putovati,proputovati,pro,800,13,,,
točiti,pretočiti,pre,800,8,,,
viknuti,odviknuti,od,800,7,,,
moći,uzmoći,uz,800,6,,,
rubiti,odrubiti,od,797,157,,,
rezati,odrezati,od,793,270,,,
vozati,provozati,pro,793,21,,,
brojati,prebrojati,pre,789,504,,,
množiti,umnožiti,u,785,9,,,
traćiti,protraćiti,pro,785,8,,,
glačati,uglačati,u,774,141,,,
urediti,preurediti,pre,773,580,,,
teturati,zateturati,za,766,482,,,
mrsiti,razmrsiti,raz,766,261,,,
smetati,zasmetati,za,766,101,,,
vežbati,uvežbati,u,766,90,,,
minirati,dominirati,do,766,38,,,
goreti,dogoreti,do,764,708,,,
birati,nabirati,na,764,191,,,
borati,naborati,na,764,13,,,
bujati,nabujati,na,757,568,,,
gušiti,zagušiti,za,757,12,,,
parati,zaparati,za,744,47,,,
ploviti,uploviti,u,740,5,,,
glumiti,odglumiti,od,738,78,,,
liti,saliti,sa,738,96,,,
mititi,podmititi,pod,738,35,,,
trovati,zatrovati,za,738,32,,,
učiti,podučiti,pod,738,14,,,
roditi,uroditi,u,731,92,,,
rastati,narastati,na,728,273,,,
odati,nadodati,nad,721,2557,,,
ličiti,naličiti,na,721,4604,,,
jahati,dojahati,do,721,488,,,
kititi,nakititi,na,721,341,,,
zepsti,prozepsti,pro,721,148,,,
isticati,proisticati,pro,721,148,,,
sušiti,presušiti,pre,721,101,,,
terati,priterati,pri,721,81,,,
čuditi,načuditi,na,721,80,,,
letati,uletati,u,721,143,,,
okrenuti,zaokrenuti,za,721,30,,,
hodati,prohodati,pro,721,9,,,
umreti,izumreti,iz,714,168,,,
javiti,dojaviti,do,714,106,,,
maziti,razmaziti,raz,714,111,,,
kvasiti,nakvasiti,na,714,37,,,
plivati,preplivati,pre,714,32,,,
hvatati,nahvatati,na,714,268,,,
bečiti,izbečiti,iz,707,23,,,
strašiti,ustrašiti,u,671,2577,,,
moriti,izmoriti,iz,671,946,,,
videti,izvideti,iz,671,133,,,
stizati,dostizati,do,671,121,,,
goditi,odgoditi,od,671,1289,,,
stupati,pristupati,pri,671,407,,,
leteti,zaleteti,za,668,189,,,
gnezditi,ugnezditi,u,668,84,,,
služiti,uslužiti,u,668,634,,,
skakati,uskakati,u,668,55,,,
točiti,natočiti,na,668,38,,,
nuditi,iznuditi,iz,666,673,,,
sretati,presretati,pre,666,270,,,
suditi,prosuditi,pro,666,162,,,
sjetiti,podsjetiti,pod,666,130,,,
suziti,zasuziti,za,666,154,,,
sloviti,nasloviti,na,650,314,,,
roditi,naroditi,na,646,145,,,
kipiti,ukipiti,u,644,22,,,
zbijati,suzbijati,su,639,296,,,
pljeskati,zapljeskati,za,633,111,,,
goditi,nagoditi,na,621,178,,,
pakostiti,napakostiti,na,621,142,,,
terati,uterati,u,621,29,,,
bušiti,izbušiti,iz,617,17,,,
nišaniti,nanišaniti,na,617,18,,,
stenjati,zastenjati,za,616,57,,,
šiti,prišiti,pri,607,5,,,
lupati,zalupati,za,606,3618,,,
sukati,usukati,u,606,6039,,,
računati,obračunati,ob,606,2081,,,
kupiti,zakupiti,za,606,2913,,,
krvaviti,zakrvaviti,za,606,6169,,,
hrupiti,nahrupiti,na,606,2442,,,
otkrivati,razotkrivati,raz,606,796,,,
dizati,pridizati,pri,606,247,,,
letati,uzletati,uz,606,311,,,
obraćati,preobraćati,pre,606,159,,,
puniti,prepuniti,pre,606,49,,,
klanjati,priklanjati,pri,597,224,,,
besniti,razbesniti,raz,597,56,,,
seći,zaseći,za,597,22,,,
viriti,naviriti,na,578,108,,,
mazati,umazati,u,577,496,,,
gospodariti,zagospodariti,za,575,230,,,
sedati,odsedati,od,575,25,,,
razložiti,obrazložiti,ob,558,228,,,
zviždati,zazviždati,za,558,55,,,
trubiti,zatrubiti,za,558,35,,,
viti,podviti,pod,558,57,,,
motati,razmotati,raz,542,20,,,
skočiti,zaskočiti,za,542,16,,,
rezati,izrezati,iz,534,2645,,,
tvor,pritvor,pri,530,71,,,
beležiti,pribeležiti,pri,530,5,,,
žaliti,prežaliti,pre,525,102,,,
poroditi,preporoditi,pre,525,8,,,
kidati,ukidati,u,514,58,,,
nizati,nanizati,na,514,14,,,
gladiti,zagladiti,za,510,60,,,
gaziti,ugaziti,u,508,77,,,
glasiti,razglasiti,raz,502,668,,,
ćelav,proćelav,pro,502,86,,,
motriti,promotriti,pro,502,123,,,
krčiti,prokrčiti,pro,502,31,,,
gaditi,zagaditi,za,500,61,,,
jahati,izjahati,iz,498,181,,,
vojevati,izvojevati,iz,496,288,,,
stajati,odstajati,od,496,155,,,
jadati,izjadati,iz,494,753,,,
gladneti,izgladneti,iz,490,27,,,
kazivati,zakazivati,za,488,10,,,
titrati,zatitrati,za,487,143,,,
mesiti,zamesiti,za,487,11,,,
gurati,dogurati,do,484,11,,,
venuti,uvenuti,u,478,4271,,,
lepiti,ulepiti,u,478,85,,,
valiti,podvaliti,pod,478,70,,,
gibati,sagibati,sa,478,37,,,
rastati,prerastati,pre,476,10,,,
gladiti,izgladiti,iz,471,55,,,
rastati,odrastati,od,471,14,,,
reći,proreći,pro,471,13,,,
deklamovati,izdeklamovati,iz,468,598,,,
dubiti,izdubiti,iz,463,197,,,
talasati,zatalasati,za,463,168,,,
ploviti,zaploviti,za,463,20,,,
kititi,zakititi,za,462,14,,,
priličiti,upriličiti,u,462,11,,,
davati,uzdavati,uz,455,299,,,
grajati,zagrajati,za,441,18,,,
ujedati,izujedati,iz,435,5,,,
bdeti,probdeti,pro,427,140,,,
seći,saseći,sa,427,187,,,
goniti,razgoniti,raz,421,68,,,
ticati,preticati,pre,418,264,,,
šišati,podšišati,pod,418,52,,,
razlagati,obrazlagati,ob,418,26,,,
raditi,odraditi,od,416,7,,,
turiti,doturiti,do,412,34,,,
lanuti,izlanuti,iz,412,8,,,
leteti,doleteti,do,412,7,,,
dizati,zadizati,za,412,7,,,
beležiti,ubeležiti,u,411,3603,,,
nositi,uznositi,uz,411,1841,,,
ječati,zaječati,za,411,52,,,
strčati,ustrčati,u,411,10,,,
vjeriti,uvjeriti,u,408,112,,,
bludeti,zabludeti,za,408,107,,,
tući,pretući,pre,408,29,,,
crtati,precrtati,pre,408,22,,,
viriti,priviriti,pri,408,21,,,
mlatiti,premlatiti,pre,408,16,,,
staviti,pristaviti,pri,407,3700,,,
grditi,nagrditi,na,401,44,,,
spaliti,uspaliti,u,393,36,,,
kikotati,zakikotati,za,387,44,,,
tuliti,utuliti,u,379,9,,,
trajati,dotrajati,do,377,218,,,
rezati,obrezati,ob,377,166,,,
brojiti,nabrojiti,na,377,17,,,
čkiljiti,začkiljiti,za,375,72,,,
buktati,razbuktati,raz,375,62,,,
vetriti,provetriti,pro,375,47,,,
