base_verb,prefixed_verb,prefix,freq_base,freq_prefixed,,prefix,base_verb
davati,prodavati,pro,51798,32,,,seći
nositi,podnositi,pod,51798,10,,,morati
ući,obući,ob,45821,261,,,gurnuti
voditi,dovoditi,do,40226,360,,,moriti
vući,uvući,u,40226,166,,,mrštiti
vesti,uvesti,u,40226,346,,,kupiti
mešati,umešati,u,40078,844,,,pamtiti
puštati,dopuštati,do,40078,45,,,seliti
davati,predavati,pre,39853,440,,,disati
biti,razbiti,raz,32053,3284,,,ćutati
družiti,pridružiti,pri,32053,1058,,,hapsiti
baciti,prebaciti,pre,32053,425,,,krstiti
javiti,izjaviti,iz,32053,6948,,,lagati
znati,doznati,do,32053,112,,,glasiti
visiti,zavisiti,za,29483,3575,,,micati
kazati,dokazati,do,29483,1558,,,ključati
baciti,izbaciti,iz,29483,415,,,viđati
gutati,progutati,pro,29483,201,,,šaputati
staviti,sastaviti,sa,29483,285,,,ticati
dirnuti,dodirnuti,do,29483,248,,,nalaziti
baciti,odbaciti,od,29483,35,,,širiti
kidati,prekidati,pre,27907,7,,,sticati
puniti,napuniti,na,27878,1788,,,tumačiti
ustati,odustati,od,27878,799,,,meriti
tisnuti,pritisnuti,pri,27878,120,,,radovati
mahnuti,odmahnuti,od,27424,273,,,brisati
pustiti,propustiti,pro,27424,122,,,graditi
vladati,savladati,sa,27134,331,,,šetati
kazivati,ukazivati,u,27134,20,,,ljutiti
voditi,navoditi,na,26960,2790,,,videti
dati,izdati,iz,26960,2985,,,zvoniti
živeti,doživeti,do,26960,1263,,,trčati
štititi,zaštititi,za,26960,1345,,,juriti
vrediti,uvrediti,u,26960,485,,,služiti
uzeti,preuzeti,pre,26960,162,,,slediti
slutiti,naslutiti,na,26960,202,,,spraviti
hvatati,prihvatati,pri,26960,78,,,voleti
pasti,napasti,na,26960,14,,,sretati
nositi,prenositi,pre,26610,60,,,ostajati
igrati,odigrati,od,26610,24,,,tiskati
putiti,zaputiti,za,26042,972,,,drhtati
poznavati,prepoznavati,pre,26042,1470,,,beležiti
tonuti,utonuti,u,26042,4186,,,stupiti
vesti,prevesti,pre,26042,788,,,nuti
taknuti,dotaknuti,do,26042,221,,,uhvatiti
pasti,upasti,u,26042,227,,,tešiti
paziti,zapaziti,za,25883,5030,,,oružati
krasti,ukrasti,u,25883,3401,,,goniti
uzeti,oduzeti,od,25883,1559,,,blažiti
gledati,pregledati,pre,25883,5285,,,izvoditi
govoriti,dogovoriti,do,25883,1073,,,mucati
reći,odreći,od,25883,2470,,,robiti
viti,razviti,raz,25398,1493,,,desiti
ići,obići,ob,25398,167,,,umiti
vijati,odvijati,od,25398,133,,,saditi
hraniti,sahraniti,sa,25398,162,,,počinjati
setiti,podsetiti,pod,25398,890,,,gušiti
dizati,uzdizati,uz,25398,21,,,slaviti
vajati,odvajati,od,24786,1829,,,metati
kočiti,ukočiti,u,24786,1390,,,turati
stojati,sastojati,sa,24786,316,,,razumevati
stajati,pristajati,pri,24786,63,,,roniti
vući,navući,na,24786,39,,,sporiti
kloniti,ukloniti,u,24786,16,,,vraćati
braniti,zabraniti,za,24786,162,,,valiti
vući,zavući,za,23994,1609,,,žmuriti
risati,obrisati,ob,23994,216,,,bledeti
puštati,prepuštati,pre,23994,48,,,motati
rediti,urediti,u,23994,51,,,slikati
nositi,iznositi,iz,23994,39,,,rezati
buditi,uzbuditi,uz,23994,7,,,grejati
hvaliti,zahvaliti,za,23994,7,,,ceniti
nositi,unositi,u,21097,4059,,,okupiti
siliti,prisiliti,pri,20757,1075,,,krasiti
ostati,preostati,pre,20757,775,,,viriti
baciti,ubaciti,u,20757,1026,,,skočiti
ložiti,odložiti,od,20757,734,,,riti
kazati,prikazati,pri,20757,313,,,upreti
uzimati,obuzimati,ob,20757,152,,,piti
maknuti,odmaknuti,od,20757,46,,,plaviti
viknuti,doviknuti,do,20757,19,,,domisliti
voditi,izvoditi,iz,20326,938,,,klanjati
držati,uzdržati,uz,20326,977,,,žeti
pisati,upisati,u,20326,312,,,deliti
očarati,razočarati,raz,20326,583,,,uzdati
dirati,prodirati,pro,20326,149,,,kovati
baviti,nabaviti,na,20063,12125,,,interesovati
javiti,prijaviti,pri,20063,1256,,,poručiti
stajati,zastajati,za,20063,8,,,moći
reći,izreći,iz,19923,3113,,,boleti
davati,izdavati,iz,19923,324,,,brzati
plakati,zaplakati,za,19741,1437,,,šiti
biti,probiti,pro,19741,1371,,,koračiti
kazivati,prikazivati,pri,19741,285,,,skakati
slušati,saslušati,sa,19072,9869,,,pevati
stajati,nastajati,na,19072,89,,,groziti
setiti,prisetiti,pri,18933,4347,,,loviti
nuditi,prinuditi,pri,18933,835,,,kopati
vući,odvući,od,18933,308,,,pomenuti
seći,preseći,pre,18933,420,,,jesti
morati,primorati,pri,18933,306,,,skratiti
gurnuti,odgurnuti,od,18933,124,,,kucati
moriti,odmoriti,od,18933,14,,,kačiti
maknuti,primaknuti,pri,17782,553,,,diviti
mrštiti,namrštiti,na,17782,27,,,krcati
baciti,dobaciti,do,17782,32,,,porediti
laziti,zalaziti,za,17782,43,,,leteti
uzimati,zauzimati,za,17671,12634,,,lupiti
vijati,razvijati,raz,17671,868,,,stupati
kupiti,sakupiti,sa,17671,2733,,,hoditi
živeti,preživeti,pre,17671,124,,,crtati
pamtiti,zapamtiti,za,17671,27,,,spavati
seliti,preseliti,pre,17671,21,,,trebati
disati,uzdisati,uz,17597,168,,,daviti
kazivati,dokazivati,do,17597,160,,,stizati
maknuti,izmaknuti,iz,17597,64,,,lutati
ćutati,ućutati,u,17597,30,,,tovariti
vršiti,dovršiti,do,17597,14,,,ustajati
hapsiti,uhapsiti,u,17156,3327,,,lepiti
krstiti,prekrstiti,pre,17156,1266,,,secati
lagati,izlagati,iz,17156,1199,,,obići
glasiti,proglasiti,pro,17156,1305,,,jahati
držati,sadržati,sa,17156,384,,,svući
micati,odmicati,od,17156,133,,,topiti
vladati,zavladati,za,17156,9,,,udarati
ključati,zaključati,za,16832,7,,,mašiti
viđati,uviđati,u,16250,1177,,,dražiti
šaputati,prošaputati,pro,16250,341,,,živiti
ticati,uticati,u,16250,179,,,siti
ćutati,zaćutati,za,16250,402,,,prineti
micati,izmicati,iz,16250,46,,,dubiti
dahnuti,udahnuti,u,16250,8,,,trljati
nalaziti,pronalaziti,pro,14867,2017,,,gaziti
raditi,zaraditi,za,14867,1678,,,strašiti
širiti,proširiti,pro,14867,553,,,trpati
sticati,podsticati,pod,14867,391,,,lečiti
tumačiti,protumačiti,pro,14867,374,,,stremiti
meriti,odmeriti,od,14867,322,,,dobiti
radovati,obradovati,ob,14867,191,,,zboriti
brisati,izbrisati,iz,14867,165,,,ličiti
graditi,sagraditi,sa,14867,135,,,mrgoditi
pisati,zapisati,za,14867,238,,,mrsiti
graditi,izgraditi,iz,14867,57,,,noćiti
padati,upadati,u,14430,1297,,,pušiti
šetati,prošetati,pro,14430,74,,,poručivati
ljutiti,naljutiti,na,14430,44,,,goreti
videti,uvideti,u,14430,13,,,izvesti
zvoniti,zazvoniti,za,14430,9,,,nervirati
živeti,proživeti,pro,14042,6382,,,kasniti
trčati,dotrčati,do,14042,311,,,bacati
juriti,odjuriti,od,14042,382,,,gomilati
služiti,zaslužiti,za,14042,165,,,snovati
slediti,uslediti,u,14042,35,,,prezati
spraviti,uspraviti,u,14042,30,,,manuti
voleti,izvoleti,iz,14042,18,,,viditi
viti,saviti,sa,13404,80,,,tajiti
sretati,susretati,su,13404,22,,,birati
ostajati,preostajati,pre,12796,30,,,srnuti
tiskati,pritiskati,pri,12543,149,,,sititi
gledati,sagledati,sa,12543,59,,,sipati
drhtati,zadrhtati,za,12125,22,,,letiti
