глагол,частота
upućivati,314
čitati,313
zadovoljiti,313
stati,312
gubiti,312
buditi,311
informisati,310
preuzimati,309
izdavati,307
obrazložiti,306
pretvoriti,305
procenjivati,302
zalagati,300
porasti,299
povesti,298
posvetiti,297
izrađivati,297
zadržavati,296
savladati,296
zadovoljavati,293
dodeljivati,292
opisati,291
voziti,291
pohađati,291
uvoditi,289
negovati,287
dostići,287
umreti,286
registrovati,286
donirati,286
zatvoriti,286
poznavati,284
povezati,282
poboljšavati,281
osiguravati,281
urediti,280
priprema,279
prikupiti,279
unesiti,279
pomenuti,278
dozvoljavati,278
komunicirati,277
sustavati,277
implementirati,276
vjerovati,275
privlačiti,273
ojačati,273
primetiti,272
slaviti,271
emitovati,271
pristup,271
tretirati,271
plaći,271
slati,270
širiti,269
pritisniti,267
povući,266
glasati,265
nastupiti,265
oslanjati,264
suočiti,263
pominjati,262
opisivati,261
označiti,261
pregledati,260
trošiti,260
pasti,258
meriti,257
postignuti,256
sagledati,255
ažurirati,254
nameravati,254
dominirati,253
čestitati,253
beležiti,252
susretati,252
doživljavati,252
propustiti,251
uručiti,250
odražavati,249
spajati,248
unositi,247
popuniti,247
približiti,247
ubiti,246
izbeći,245
karakterisati,245
proglasiti,245
aktivirati,244
dogovoriti,242
snimiti,242
priključiti,241
dostavljati,241
položiti,240
proceniti,240
snimati,240
prepoznavati,239
proizvesti,237
izlagati,236
studirati,235
izražavati,234
pustiti,234
savetovati,233
osmisliti,233
označavati,231
slagati,231
utvrđivati,230
pohvaliti,230
osloboditi,230
braniti,230
prekinuti,226
nabaviti,226
ubrzati,226
istraživati,225
nazvati,225
izveštavati,224
ponašati,223
zabeležiti,223
prezentovati,223
prilagođavati,222
probati,222
uspevati,221
zasluživati,220
posjetiti,220
investirati,220
upozoravati,218
diskutovati,217
plasirati,217
insistirati,217
kombinovati,216
prevazići,215
padati,215
diti,214
proteći,214
sazvati,214
podizati,214
ocenjivati,214
držiti,213
upozoriti,212
nestati,212
saati,211
zauzeti,211
umeti,209
obuhvaćati,208
zastupati,207
slijediti,207
oblikovati,207
ugrožavati,207
pomisliti,205
spremati,205
kriti,204
predavati,204
glasiti,203
radovati,202
raspisati,201
događati,200
uzrokovati,200
pravi,200
imenovati,199
spremiti,199
poželeti,198
zahvaljivati,198
izbegavati,198
posećivati,196
izmeniti,196
započinjati,195
nanositi,194
uneti,193
svirati,193
preduzimati,193
voliti,193
pozoviti,193
ispitati,192
ustanoviti,191
isporučivati,191
shvatati,191
propisivati,190
dodavtiti,190
raspravljati,190
odvesti,189
pretiti,189
razmisliti,188
pretvarati,188
povuciti,188
hoći,187
snositi,187
uveriti,187
preporučiti,187
vezovati,187
očuvati,187
kršiti,186
razvivati,185
produžiti,185
nametati,185
odustati,184
angaživati,184
pridržavati,183
dodeliti,182
oglasiti,182
pretpostavljati,182
stradati,182
iskazati,181
uhvatiti,181
obnoviti,181
trpeti,181
pošlajiti,180
integrisati,179
uskladiti,179
dokazivati,179
poseta,179
zaključivati,178
pronalaziti,178
odgovor,178
pokriti,178
testirati,178
sećati,177
obećati,177
obavezovati,177
pogoditi,176
usmeriti,176
osjećati,176
naići,175
proizvod,174
postupati,174
plažiti,174
popraviti,174
izboriti,173
ograničiti,173
vladati,173
obraćati,173
prostiriti,172
blokirati,171
inicirati,170
generisati,170
posvećivati,170
ugostiti,170
okrenuti,169
nemottiti,169
plašiti,168
naplaćivati,168
kolačići,168
odati,168
ispričati,168
upasti,167
obavezati,167
spojiti,167
odbaciti,167
štediti,166
inspirisati,166
otkloniti,166
isporučiti,166
bazirati,165
uspostavljati,164
skrenuti,164
uklanjati,164
rukovoditi,163
odbijati,163
piti,163
uporediti,163
poneti,163
ugroziti,163
napasti,162
eliminisati,162
žaliti,162
varirati,162
teći,161
zapošljavati,160
iditi,159
saglasiti,159
prepustiti,157
prebaciti,157
uzmiti,157
priznavati,157
pretrpeti,155
takmičiti,155
jesti,154
dobrobiti,154
otpočeti,154
izbrisati,154
počiniti,154
sugerisati,154
izvršavati,154
upotrijebiti,153
odvojiti,153
isplatiti,153
jačati,152
okončati,152
pokloniti,152
ukinuti,151
proveravati,151
susreti,151
kritikovati,151
pamtiti,150
okrugati,150
navestiti,150
preminuti,150
vrediti,149
pojačati,149
proslaviti,149
iznajmljivati,148
pristupati,146
opustiti,146
iskusiti,146
brojati,145
tumačiti,145
zahtijevati,145
uplatiti,145
projektovati,144
razmenjivati,143
prodaja,143
dostignuti,143
obrazovati,143
sretati,142
poginuti,142
naznačiti,142
upotrebiti,142
očistiti,141
ograničavati,140
roditi,140
zaposliti,140
potrošiti,139
pripasti,138
predvideti,138
umanjiti,138
osvrnuti,137
napuštati,137
datirati,136
osnažiti,136
isprobati,135
odbraniti,135
ploviti,135
najavljivati,134
motivisati,134
počivati,134
usmeravati,134
ispratiti,134
reproducirati,133
zahvatiti,133
uočiti,133
opredeliti,133
napominjati,133
istražovati,132
kiša,132
protiviti,132
zamoliti,132
bivati,131
stimulisati,131
gostovati,131
prethoditi,131
navići,131
probuditi,131
razmeniti,131
nailaziti,131
ispraviti,131
izložiti,130
poručivati,130
ohrabrovati,130
uvrstiti,130
dočekati,130
prirediti,130
pristati,130
nametnuti,130
prevazilaziti,129
odobravati,129
prestajati,128
potpisivati,128
osuđivati,128
zaštita,128
ponavljati,128
preuzmiti,128
osvajati,128
ugraditi,127
distribuirati,127
spasiti,127
zadržiti,127
prerasti,127
elektromaterajati,126
konkurisati,126
smestiti,126
uništiti,125
usavršavati,125
naterati,125
angažovati,124
uklapati,124
polagati,124
naneti,123
parkirati,123
stupati,123
isključivati,123
transformisati,123
odložiti,123
opravdati,123
nadgledati,122
korist,122
krasiti,122
ličiti,122
usvajati,122
napuniti,121
interesovati,121
povlačiti,121
pošlajeti,121
sumnjati,121
podijeliti,121
želiti,121
svoditi,120
pohvati,120
zatvarati,120
upoznavati,120
dopustiti,120
baciti,120
ubrzavati,119
lečiti,119
onemogućiti,119
spominjati,119
izvaditi,119
obraditi,119
zaraditi,119
proizilaziti,118
potruditi,118
posjedovati,118
haliti,118
izabereti,117
ispostaviti,117
opstati,117
djelovati,117
obavesti,117
naručiti,117
nemotiti,116
družiti,116
okretati,116
oduzeti,116
iznajmiti,115
organizirati,115
zakazati,115
sedeti,115
god,115
odneti,114
ubaciti,114
živiti,114
dizajnirati,114
kopirati,114
pogađati,113
izbegnuti,113
pozdravljati,112
ispitovati,111
pevati,111
mešati,111
poništiti,111
strujati,111
dijeliti,111
montirati,111
primećivati,111
bojati,111
umanjivati,111
prevoditi,110
protezati,110
dopuniti,110
sanjati,110
okrugiti,110
sagraditi,109
brisati,109
doktorirati,109
povratiti,109
prijavljivati,109
osnivati,109
poći,108
pati,108
započniti,108
spustiti,107
paliti,107
postupiti,107
pomerati,106
ohrabriti,106
oslobađati,106
dospeti,105
izdržati,105
ušteti,104
osuditi,104
prevesti,104
setiti,104
