base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
držati,sadržati,sa,17156,384
micati,odmicati,od,17156,133
viđati,uviđati,u,16250,1177
šaputati,prošaputati,pro,16250,341
ticati,uticati,u,16250,179
ćutati,zaćutati,za,16250,402
nalaziti,pronalaziti,pro,14867,2017
raditi,zaraditi,za,14867,1678
širiti,proširiti,pro,14867,553
sticati,podsticati,pod,14867,391
tumačiti,protumačiti,pro,14867,374
meriti,odmeriti,od,14867,322
radovati,obradovati,ob,14867,191
brisati,izbrisati,iz,14867,165
graditi,sagraditi,sa,14867,135
pisati,zapisati,za,14867,238
padati,upadati,u,14430,1297
živeti,proživeti,pro,14042,6382
trčati,dotrčati,do,14042,311
juriti,odjuriti,od,14042,382
služiti,zaslužiti,za,14042,165
tiskati,pritiskati,pri,12543,149
videti,zavideti,za,11829,165
stupiti,nastupiti,na,11378,507
nuti,prenuti,pre,10720,216
vijati,savijati,sa,10720,188
stati,sastati,sa,10592,244
disati,udisati,u,10592,183
tešiti,utešiti,u,10526,327
goniti,progoniti,pro,10367,365
blažiti,ublažiti,u,10367,1521
voditi,prevoditi,pre,10367,437
izvoditi,proizvoditi,pro,10367,1142
desiti,udesiti,u,9961,3800
stajati,sastajati,sa,9658,4516
sećati,prisećati,pri,9658,861
kloniti,zakloniti,za,9658,286
gušiti,ugušiti,u,9502,5437
rediti,prirediti,pri,9502,5228
slaviti,proslaviti,pro,9502,4630
metati,nametati,na,9502,2242
turati,preturati,pre,9502,188
razumevati,podrazumevati,pod,9449,355
pasti,zapasti,za,9449,285
činiti,sačiniti,sa,9449,165
roniti,izroniti,iz,9145,588
sporiti,usporiti,u,9145,1051
teći,proteći,pro,9145,118
valiti,prevaliti,pre,9020,8539
žmuriti,zažmuriti,za,9020,108
slikati,naslikati,na,8605,385
rezati,urezati,u,8605,156
glasiti,naglasiti,na,8551,490
ceniti,proceniti,pro,8403,1157
viriti,proviriti,pro,8170,7836
skočiti,preskočiti,pre,8170,4079
moriti,umoriti,u,8170,551
miti,umiti,u,8170,177
čekati,pričekati,pri,8089,2491
ložiti,uložiti,u,8089,387
upreti,odupreti,od,8063,256
nositi,zanositi,za,8063,180
domisliti,predomisliti,pre,7962,106
uzdati,obuzdati,ob,7866,379
uzimati,oduzimati,od,7866,175
govoriti,nagovoriti,na,7205,325
kovati,prikovati,pri,7205,137
interesovati,zainteresovati,za,7205,132
valiti,zavaliti,za,7145,435
davati,pridavati,pri,7145,425
boleti,razboleti,raz,7068,4133
brzati,ubrzati,u,7068,361
pustiti,upustiti,u,7068,858
koračiti,zakoračiti,za,6980,148
vraćati,odvraćati,od,6576,293
groziti,ugroziti,u,6464,1235
vijati,uvijati,u,6464,488
viti,izviti,iz,6262,135
dati,zadati,za,6262,102
plašiti,preplašiti,pre,6260,589
voditi,odvoditi,od,6260,2413
vući,provući,pro,6260,323
davati,udavati,u,6260,430
pomenuti,napomenuti,na,6053,145
jesti,ujesti,u,5985,214
puštati,upuštati,u,5962,990
baciti,zabaciti,za,5962,455
skratiti,uskratiti,u,5962,284
kucati,zakucati,za,5962,1607
boleti,zaboleti,za,5962,1122
kačiti,zakačiti,za,5962,129
leteti,naleteti,na,5714,323
pasti,prepasti,pre,5649,193
lupiti,zalupiti,za,5562,285
stupati,nastupati,na,5562,275
vijati,izvijati,iz,5562,144
lagati,nalagati,na,5549,1331
crtati,nacrtati,na,5518,2273
spavati,uspavati,u,5487,340
trebati,zatrebati,za,5487,147
roniti,uroniti,u,5463,1449
igrati,zaigrati,za,5463,948
daviti,udaviti,u,5463,138
stizati,pristizati,pri,5463,114
ustajati,odustajati,od,5396,112
svući,presvući,pre,5393,1314
baviti,izbaviti,iz,5393,1012
topiti,utopiti,u,5393,346
biti,nabiti,na,5376,901
setiti,dosetiti,do,5261,335
mašiti,promašiti,pro,5261,502
kopati,ukopati,u,5251,264
skočiti,odskočiti,od,5251,135
živiti,doživiti,do,5251,269
siti,prositi,pro,5236,909
vući,dovući,do,5210,2683
imati,nadimati,nad,5210,380
prineti,doprineti,do,5210,274
dubiti,udubiti,u,5086,881
trljati,protrljati,pro,5086,165
strašiti,prestrašiti,pre,5077,103
trpati,zatrpati,za,5030,1148
lečiti,izlečiti,iz,5006,1024
stremiti,ustremiti,u,5006,802
kinuti,ukinuti,u,5006,449
dobiti,zadobiti,za,5006,366
nositi,nanositi,na,5006,251
zboriti,prozboriti,pro,5006,212
graditi,nagraditi,na,4902,1169
živiti,preživiti,pre,4902,160
dahnuti,izdahnuti,iz,4902,112
valiti,izvaliti,iz,4710,158
uzeti,izuzeti,iz,4624,205
mrsiti,zamrsiti,za,4595,1061
padati,zapadati,za,4595,183
biti,zabiti,za,4595,139
drhtati,uzdrhtati,uz,4595,145
krstiti,ukrstiti,u,4573,5982
metati,razmetati,raz,4563,3774
pušiti,zapušiti,za,4523,100
gledati,nadgledati,nad,4490,282
vratiti,navratiti,na,4490,421
nervirati,iznervirati,iz,4437,177
prezati,naprezati,na,4328,116
tražiti,pretražiti,pre,4252,1407
uzimati,preuzimati,pre,4252,332
sititi,zasititi,za,4252,119
sipati,prosipati,pro,4252,143
držati,pridržati,pri,4191,137
letiti,izletiti,iz,4191,137
važiti,odvažiti,od,4191,182
praviti,upraviti,u,4075,347
liti,obliti,ob,4029,1622
hraniti,nahraniti,na,4029,206
uzrokovati,prouzrokovati,pro,3993,137
seliti,odseliti,od,3915,1090
moriti,zamoriti,za,3915,2251
tući,utući,u,3915,296
viti,zaviti,za,3915,141
misliti,promisliti,pro,3889,1516
visiti,uzvisiti,uz,3889,375
liti,zaliti,za,3889,271
pratiti,propratiti,pro,3869,578
grliti,obgrliti,ob,3869,103
prtiti,uprtiti,u,3796,294
stupati,zastupati,za,3757,252
krutiti,ukrutiti,u,3640,1289
sipati,zasipati,za,3617,339
staviti,dostaviti,do,3600,106
šaliti,našaliti,na,3572,650
gunđati,progunđati,pro,3467,276
miriti,izmiriti,iz,3467,223
uditi,nauditi,na,3326,103
biti,prebiti,pre,3324,290
