infinitive_latin,frequency
одлетети,7
маштати,7
строго,7
понудити,7
бесно,7
намрштити,7
непрестано,7
пушити,7
допрети,7
погодити,7
склопити,7
обасјати,7
нестати,7
равнодушно,7
искати,7
саопштити,7
тамо-ати,7
прихватити,7
износити,7
свега,7
мењати,7
скидати,7
донекле,7
стрпати,7
тренутно,7
зарадити,7
прошетати,7
дочепати,7
објаснити,7
узвикивати,7
некад,7
красити,7
задрхтати,7
понекад,7
пробијати,7
поручити,7
испустити,7
саветовати,7
нигде,7
стрчати,7
слично,7
муњевито,7
изнети,7
окретати,7
махати,7
тврдити,7
наредити,7
поздравити,7
срести,7
скретати,7
завапити,7
латити,7
понети,7
излагати,7
будити,7
посетити,7
осветлити,7
дозвољавати,7
љубазно,7
занимати,7
подићи,7
делити,7
удаљити,7
завршавати,7
изводити,7
посећивати,7
пробати,7
признати,7
дејствовати,7
указати,7
пожелети,7
уздржати,7
хитати,7
звучити,7
кркати,7
стављати,7
објавити,7
вероватно,7
мицати,7
светлуцати,6
чамити,6
подрхтавати,6
спуштати,6
редовно,6
прекрстити,6
учтиво,6
помолити,6
јутрос,6
клањати,6
скупити,6
коштати,6
укочити,6
одазивати,6
изложити,6
борити,6
важити,6
замишљати,6
оданде,6
крити,6
тргнути,6
секирати,6
обезбедити,6
кувати,6
незнано,6
пећи,6
стењати,6
привући,6
отрчати,6
опружити,6
претварати,6
трајати,6
интересовати,6
ручати,6
запети,6
годишње,6
пропасти,6
немогуће,6
наићи,6
лебдети,6
упола,6
назвати,6
одбити,6
красти,6
стидети,6
палити,6
изговарати,6
здипити,6
некада,6
допријети,6
смести,6
одвојити,6
близу,6
куљати,6
одакле,6
распалити,6
учествовати,6
преклињати,6
заурлати,6
силно,6
потписати,6
пожурити,6
превртати,6
ситно,6
нестрпљиво,6
узимати,6
млатити,6
одскочити,6
изазивати,6
плакати,6
сјајно,6
повести,6
затећи,6
нипошто,6
учити,6
гутати,6
поседовати,6
канда,6
буљити,6
укрцати,6
бријати,5
смерно,5
бојати,5
звецкати,5
подарити,5
истовремено,5
приказати,5
узнемиравати,5
почивати,5
допустити,5
разилазити,5
задовољити,5
побенавити,5
ћутке,5
шмугнути,5
истицати,5
спремно,5
искрсавати,5
разићи,5
устати,5
узбуђивати,5
израдити,5
покривати,5
орити,5
превалити,5
похитати,5
лутати,5
запловити,5
садржавати,5
трипут,5
одмаглити,5
недавно,5
избројати,5
грејати,5
раширити,5
уследити,5
запрепастити,5
заплакати,5
лупетати,5
наумити,5
одскакати,5
звонити,5
мувати,5
искакати,5
обављати,5
располагати,5
одлепити,5
иронично,5
двапут,5
слабо,5
променити,5
наглас,5
нежно,5
напоље,5
однекуд,5
испречити,5
доказати,5
прогутати,5
радосно,5
добијати,5
одсто,5
утолико,5
увредити,5
марљиво,5
слободно,5
кретати,5
ужасно,5
увести,5
поразговарати,5
сумњичаво,5
брижљиво,5
захваљивати,5
смазати,5
пазити,5
увући,5
везати,5
протећи,5
прегледати,5
пословно,5
изградити,5
смешити,5
често,5
надасве,5
окупити,5
повремено,5
ступити,5
савити,5
потврдити,5
џабе,5
замолити,5
летети,5
пући,5
ликовати,5
газити,5
једноставно,5
мало-помало,5
унутра,5
градити,5
створити,5
стезати,5
претходно,5
клизити,5
уверити,5
одморити,5
свратити,5
исправити,5
натерати,5
устрајати,5
испарити,5
умирити,5
позивати,5
користити,5
потражити,5
жао,5
увећати,5
образовати,5
одбијати,5
болити,5
ручавати,5
прислушкивати,5
испуштати,5
ћутјети,5
уживати,5
дирати,5
блештати,5
мировати,5
убедити,5
гласати,5
уделити,5
одавде,5
стварно,5
полудети,5
други,5
лево,5
блејати,5
судити,5
присилити,5
избацивати,5
пливати,5
грмети,5
обући,5
покуљати,5
бесплатно,5
обријати,4
рађати,4
поприлично,4
ометати,4
шепурити,4
ноћас,4
бринути,4
опрати,4
одмаћи,4
кад,4
привиђати,4
придићи,4
заинтересовати,4
наместити,4
зајапурити,4
збуњено,4
саслушати,4
штрцати,4
свечано,4
зрачити,4
спремити,4
померити,4
убрзати,4
застати,4
послушно,4
спасти,4
докле,4
изражавати,4
зурити,4
затреперити,4
забранити,4
мезетити,4
испружити,4
постићи,4
угушити,4
напољу,4
притискивати,4
разговетно,4
смоћи,4
махинално,4
замакнути,4
живо,4
велити,4
обесити,4
нашљемати,4
осмехивати,4
достићи,4
помишљати,4
скупо,4
увлачити,4
искључиво,4
излепити,4
необично,4
утешити,4
обрадовати,4
затражити,4
исећи,4
унети,4
окружити,4
каскати,4
поредати,4
престати,4
предавати,4
егзистирати,4
некуд,4
збацити,4
извлачити,4
женити,4
ватрено,4
принудити,4
нервозно,4
помирити,4
зависити,4
инсистирати,4
случајно,4
цикнути,4
