infinitive_latin,frequency
недостајати,6
поверити,6
вредети,6
ранити,6
препознавати,6
рађати,6
продавати,6
сићи,6
изићи,6
скоро,6
одбити,6
набавити,6
обрнуто,6
трагати,6
послужити,6
оптужити,6
исповедати,5
поклонити,5
сложити,5
полагати,5
спуштати,5
одабрати,5
превалити,5
једновремено,5
навићи,5
исписивати,5
нестајати,5
глумити,5
свуда,5
изнети,5
пренети,5
приказати,5
ћутати,5
напуштати,5
спалити,5
унутра,5
увести,5
отпасти,5
ускоро,5
понудити,5
покренути,5
покретати,5
летети,5
сместити,5
укратко,5
разлетети,5
гутати,5
потећи,5
прикупити,5
унети,5
растргнути,5
замирисати,5
испуштати,5
придружити,5
малочас,5
храмати,5
ударати,5
излагати,5
повести,5
уобличити,5
заточити,5
попити,5
исплатити,5
зграбити,5
вечерати,5
вирити,5
понашати,5
отимати,5
тући,5
додадити,5
прекидати,5
окупати,5
пробијати,5
ходати,5
испасти,5
одазвати,5
утећи,5
кратко,5
прогутати,5
откуда,5
уплашити,5
дисати,5
разговарати,5
улазити,5
надати,5
износити,5
одевати,5
уловити,5
померити,5
преместити,5
лечити,5
ретко,5
зинути,5
заробити,5
угристи,5
изненадити,5
утом,5
одавде,5
додирнути,5
усправно,5
урезивати,5
ратовати,5
пливати,5
избити,5
успевати,5
настанити,5
напротив,5
заправо,5
помало,5
преварити,5
остваривати,5
претходити,5
летити,5
насељавати,4
срушити,4
забрањивати,4
израдити,4
заподенути,4
обновити,4
ишчитати,4
рачунати,4
драго,4
уградити,4
истећи,4
јако,4
проценити,4
потрошити,4
кварити,4
поседовати,4
поуздано,4
листати,4
тренутно,4
спојити,4
залутати,4
хвалити,4
забранити,4
пристајати,4
осванути,4
ишчезавати,4
каснити,4
уклонити,4
усмртити,4
истаћи,4
подизати,4
сведочити,4
кружити,4
осакатити,4
нагнати,4
просипати,4
проверавати,4
прихватати,4
зачудо,4
трудити,4
турити,4
прати,4
сисати,4
гристи,4
опадати,4
лепити,4
чешљати,4
непрекидно,4
допасти,4
поверовати,4
понети,4
посолити,4
посећи,4
крикнути,4
приближити,4
двапут,4
страшно,4
одредити,4
радо,4
пробити,4
куда,4
уазбучити,4
претпостављати,4
излечити,4
горети,4
признати,4
доказати,4
скувати,4
смењивати,4
узлетети,4
улетети,4
продужити,4
запазити,4
доста,4
испоставити,4
заступати,4
пљувати,4
сакупити,4
добровољно,4
одрећи,4
умешати,4
становати,4
изрећи,4
случајно,4
скупити,4
преживети,4
усправити,4
синоћ,4
пљунути,4
јурити,4
лишити,4
увући,4
саградити,4
орати,4
обући,4
срочити,4
корачати,4
победити,4
испунити,4
глазбати,4
приказивати,4
радосно,4
накнадно,4
откуд,4
откако,4
извлачити,4
претпоставити,4
удаљавати,4
повлачити,4
завирити,4
шалити,4
поштедити,4
искористити,4
кући,4
предвече,4
залити,4
одложити,4
приписивати,4
понављати,4
једноставно,4
пристати,4
домашити,4
настављати,4
изговарати,4
лутати,4
страдати,4
допирати,4
изути,4
однети,4
ломити,4
позивати,4
огледати,4
заклонити,4
возити,4
отрчати,4
доживљавати,4
трошити,4
набројати,4
дотакати,4
клети,4
испричати,4
додиривати,4
дохватити,4
уверавати,3
предлагати,3
збити,3
проповедати,3
преобратити,3
уследити,3
надошити,3
засновати,3
тетовирати,3
обухватити,3
усуђивати,3
омогућавати,3
доводити,3
дотле,3
боравити,3
одсањати,3
пружати,3
искључиво,3
улево,3
онолико,3
припасти,3
досезати,3
трести,3
улагивати,3
изостати,3
жмурити,3
расути,3
јутрос,3
потезати,3
захватити,3
лагати,3
даровати,3
вешто,3
одрастати,3
избацити,3
покосити,3
прогласити,3
постављати,3
борити,3
икада,3
захватати,3
ћутјети,3
неговати,3
потегнути,3
осушити,3
патити,3
устајати,3
заноћити,3
зачути,3
лизнути,3
удахнути,3
зазвонити,3
скретати,3
налик,3
стицати,3
напунити,3
обожавати,3
мокрити,3
озбиљно,3
одрасти,3
погађати,3
помолити,3
тад,3
срицати,3
дозивати,3
почесити,3
жвакати,3
застати,3
нанети,3
стезати,3
жудно,3
окончати,3
редовно,3
брати,3
расклопити,3
посматрати,3
нагло,3
заступити,3
шибати,3
обилазити,3
покрстити,3
пронаћи,3
мрзити,3
опасати,3
завршавати,3
умочити,3
непогрешиво,3
разићи,3
неочекивано,3
пишати,3
указати,3
размислити,3
удавити,3
давити,3
