type,verb,frequency,prefix,base_verb,derivatives_count
DERIVATIVE,doseti,2,do,seti,
DERIVATIVE,odseti,1,od,seti,
DERIVATIVE,priseti,1,pri,seti,
BASE,staniti,1,,staniti,7
DERIVATIVE,ostaniti,15,o,staniti,
DERIVATIVE,postaniti,13,po,staniti,
DERIVATIVE,prestaniti,9,pre,staniti,
DERIVATIVE,nastaniti,7,na,staniti,
DERIVATIVE,pristaniti,1,pri,staniti,
DERIVATIVE,sastaniti,1,sa,staniti,
DERIVATIVE,ustaniti,1,u,staniti,
BASE,metati,1,,metati,7
DERIVATIVE,nametati,82,na,metati,
DERIVATIVE,ometati,39,o,metati,
DERIVATIVE,smetati,20,s,metati,
DERIVATIVE,nadmetati,14,nad,metati,
DERIVATIVE,umetati,3,u,metati,
DERIVATIVE,zametati,2,za,metati,
DERIVATIVE,razmetati,1,raz,metati,
BASE,činiti,1856,,činiti,6
DERIVATIVE,učiniti,834,u,činiti,
DERIVATIVE,počiniti,82,po,činiti,
DERIVATIVE,sačiniti,43,sa,činiti,
DERIVATIVE,načiniti,27,na,činiti,
DERIVATIVE,začiniti,20,za,činiti,
DERIVATIVE,pričiniti,8,pri,činiti,
BASE,pratiti,1050,,pratiti,6
DERIVATIVE,propratiti,8,pro,pratiti,
DERIVATIVE,opratiti,5,o,pratiti,
DERIVATIVE,zapratiti,3,za,pratiti,
DERIVATIVE,popratiti,1,po,pratiti,
DERIVATIVE,spratiti,1,s,pratiti,
DERIVATIVE,dopratiti,1,do,pratiti,
BASE,vratiti,691,,vratiti,6
DERIVATIVE,povratiti,56,po,vratiti,
DERIVATIVE,uzvratiti,30,uz,vratiti,
DERIVATIVE,svratiti,26,s,vratiti,
DERIVATIVE,odvratiti,14,od,vratiti,
DERIVATIVE,navratiti,1,na,vratiti,
DERIVATIVE,prevratiti,1,pre,vratiti,
BASE,igrati,607,,igrati,6
DERIVATIVE,odigrati,144,od,igrati,
DERIVATIVE,razigrati,7,raz,igrati,
DERIVATIVE,zaigrati,6,za,igrati,
DERIVATIVE,poigrati,3,po,igrati,
DERIVATIVE,nadigrati,3,nad,igrati,
DERIVATIVE,izigrati,1,iz,igrati,
BASE,stići,448,,stići,6
DERIVATIVE,postići,403,po,stići,
DERIVATIVE,dostići,138,do,stići,
DERIVATIVE,pristići,46,pri,stići,
DERIVATIVE,podstići,13,pod,stići,
DERIVATIVE,sustići,1,su,stići,
DERIVATIVE,prestići,1,pre,stići,
BASE,držati,319,,držati,6
DERIVATIVE,održati,965,o,držati,
DERIVATIVE,sadržati,931,sa,držati,
DERIVATIVE,podržati,620,po,držati,
DERIVATIVE,zadržati,237,za,držati,
DERIVATIVE,izdržati,59,iz,držati,
DERIVATIVE,uzdržati,18,uz,držati,
BASE,javiti,165,,javiti,6
DERIVATIVE,objaviti,680,ob,javiti,
DERIVATIVE,izjaviti,624,iz,javiti,
DERIVATIVE,prijaviti,618,pri,javiti,
DERIVATIVE,pojaviti,356,po,javiti,
DERIVATIVE,najaviti,268,na,javiti,
DERIVATIVE,odjaviti,26,od,javiti,
BASE,stupiti,154,,stupiti,6
DERIVATIVE,pristupiti,317,pri,stupiti,
DERIVATIVE,nastupiti,129,na,stupiti,
DERIVATIVE,postupiti,50,po,stupiti,
DERIVATIVE,ustupiti,36,u,stupiti,
DERIVATIVE,odstupiti,14,od,stupiti,
DERIVATIVE,zastupiti,1,za,stupiti,
BASE,držiti,105,,držiti,6
DERIVATIVE,zadržiti,66,za,držiti,
DERIVATIVE,održiti,18,o,držiti,
DERIVATIVE,podržiti,18,po,držiti,
DERIVATIVE,prodržiti,1,pro,držiti,
DERIVATIVE,izdržiti,1,iz,držiti,
DERIVATIVE,pridržiti,1,pri,držiti,
BASE,kriti,97,,kriti,6
DERIVATIVE,otkriti,563,ot,kriti,
DERIVATIVE,pokriti,86,po,kriti,
DERIVATIVE,sakriti,51,sa,kriti,
DERIVATIVE,prekriti,13,pre,kriti,
DERIVATIVE,prikriti,7,pri,kriti,
DERIVATIVE,skriti,1,s,kriti,
BASE,sećati,80,,sećati,6
DERIVATIVE,osećati,480,o,sećati,
DERIVATIVE,podsećati,232,pod,sećati,
DERIVATIVE,prisećati,29,pri,sećati,
DERIVATIVE,presećati,1,pre,sećati,
DERIVATIVE,posećati,1,po,sećati,
DERIVATIVE,sasećati,1,sa,sećati,
BASE,jesti,72,,jesti,6
DERIVATIVE,pojesti,9,po,jesti,
DERIVATIVE,sjesti,5,s,jesti,
DERIVATIVE,prejesti,2,pre,jesti,
DERIVATIVE,ujesti,1,u,jesti,
DERIVATIVE,objesti,1,ob,jesti,
DERIVATIVE,vjesti,1,v,jesti,
BASE,vladati,67,,vladati,6
DERIVATIVE,savladati,116,sa,vladati,
DERIVATIVE,ovladati,27,o,vladati,
DERIVATIVE,prevladati,12,pre,vladati,
DERIVATIVE,zavladati,8,za,vladati,
DERIVATIVE,nadvladati,8,nad,vladati,
DERIVATIVE,svladati,2,s,vladati,
BASE,bivati,65,,bivati,6
DERIVATIVE,dobivati,35,do,bivati,
DERIVATIVE,probivati,7,pro,bivati,
DERIVATIVE,prebivati,4,pre,bivati,
DERIVATIVE,razbivati,3,raz,bivati,
DERIVATIVE,ubivati,1,u,bivati,
DERIVATIVE,izbivati,1,iz,bivati,
BASE,piti,59,,piti,6
DERIVATIVE,upiti,23,u,piti,
DERIVATIVE,popiti,13,po,piti,
DERIVATIVE,napiti,3,na,piti,
DERIVATIVE,pripiti,2,pri,piti,
DERIVATIVE,zapiti,1,za,piti,
DERIVATIVE,raspiti,1,ras,piti,
BASE,setiti,51,,setiti,6
DERIVATIVE,posetiti,623,po,setiti,
DERIVATIVE,podsetiti,290,pod,setiti,
DERIVATIVE,osetiti,224,o,setiti,
DERIVATIVE,prisetiti,10,pri,setiti,
DERIVATIVE,dosetiti,5,do,setiti,
DERIVATIVE,odsetiti,2,od,setiti,
BASE,paliti,50,,paliti,6
DERIVATIVE,zapaliti,23,za,paliti,
DERIVATIVE,upaliti,15,u,paliti,
DERIVATIVE,spaliti,9,s,paliti,
DERIVATIVE,opaliti,1,o,paliti,
DERIVATIVE,pripaliti,1,pri,paliti,
DERIVATIVE,popaliti,1,po,paliti,
BASE,skočiti,48,,skočiti,6
DERIVATIVE,preskočiti,30,pre,skočiti,
DERIVATIVE,uskočiti,5,u,skočiti,
DERIVATIVE,priskočiti,3,pri,skočiti,
DERIVATIVE,zaskočiti,1,za,skočiti,
DERIVATIVE,odskočiti,1,od,skočiti,
DERIVATIVE,poskočiti,1,po,skočiti,
BASE,stojati,32,,stojati,6
DERIVATIVE,postojati,2993,po,stojati,
DERIVATIVE,sastojati,617,sa,stojati,
DERIVATIVE,nastojati,189,na,stojati,
DERIVATIVE,predstojati,29,pred,stojati,
DERIVATIVE,odstojati,15,od,stojati,
DERIVATIVE,zastojati,1,za,stojati,
BASE,gurati,25,,gurati,6
DERIVATIVE,izgurati,5,iz,gurati,
DERIVATIVE,progurati,4,pro,gurati,
DERIVATIVE,dogurati,3,do,gurati,
DERIVATIVE,pogurati,2,po,gurati,
DERIVATIVE,pregurati,2,pre,gurati,
DERIVATIVE,ugurati,1,u,gurati,
BASE,sipati,23,,sipati,6
DERIVATIVE,posipati,4,po,sipati,
DERIVATIVE,nasipati,2,na,sipati,
DERIVATIVE,zasipati,2,za,sipati,
DERIVATIVE,dosipati,1,do,sipati,
DERIVATIVE,prosipati,1,pro,sipati,
DERIVATIVE,osipati,1,o,sipati,
BASE,pišiti,19,,pišiti,6
DERIVATIVE,upišiti,36,u,pišiti,
DERIVATIVE,opišiti,6,o,pišiti,
DERIVATIVE,napišiti,6,na,pišiti,
DERIVATIVE,zapišiti,2,za,pišiti,
DERIVATIVE,podpišiti,1,pod,pišiti,
DERIVATIVE,prepišiti,1,pre,pišiti,
BASE,vučiti,19,,vučiti,6
DERIVATIVE,izvučiti,30,iz,vučiti,
DERIVATIVE,privučiti,7,pri,vučiti,
DERIVATIVE,uvučiti,5,u,vučiti,
DERIVATIVE,odvučiti,5,od,vučiti,
DERIVATIVE,razvučiti,1,raz,vučiti,
DERIVATIVE,podvučiti,1,pod,vučiti,
BASE,rušiti,17,,rušiti,6
DERIVATIVE,srušiti,29,s,rušiti,
DERIVATIVE,narušiti,27,na,rušiti,
DERIVATIVE,porušiti,6,po,rušiti,
DERIVATIVE,urušiti,6,u,rušiti,
DERIVATIVE,obrušiti,3,ob,rušiti,
DERIVATIVE,razrušiti,2,raz,rušiti,
BASE,topiti,15,,topiti,6
DERIVATIVE,rastopiti,10,ras,topiti,
DERIVATIVE,potopiti,7,po,topiti,
DERIVATIVE,utopiti,6,u,topiti,
DERIVATIVE,otopiti,3,o,topiti,
DERIVATIVE,natopiti,2,na,topiti,
DERIVATIVE,stopiti,1,s,topiti,
BASE,lepiti,9,,lepiti,6
DERIVATIVE,prelepiti,11,pre,lepiti,
DERIVATIVE,zalepiti,11,za,lepiti,
DERIVATIVE,odlepiti,7,od,lepiti,
DERIVATIVE,slepiti,5,s,lepiti,
DERIVATIVE,nalepiti,4,na,lepiti,
DERIVATIVE,izlepiti,1,iz,lepiti,
BASE,lomiti,7,,lomiti,6
DERIVATIVE,slomiti,15,s,lomiti,
DERIVATIVE,polomiti,7,po,lomiti,
DERIVATIVE,prelomiti,6,pre,lomiti,
DERIVATIVE,izlomiti,2,iz,lomiti,
DERIVATIVE,zalomiti,1,za,lomiti,
DERIVATIVE,dolomiti,1,do,lomiti,
BASE,kažiti,6,,kažiti,6
DERIVATIVE,prikažiti,24,pri,kažiti,
DERIVATIVE,zakažiti,18,za,kažiti,
DERIVATIVE,pokažiti,14,po,kažiti,
DERIVATIVE,otkažiti,11,ot,kažiti,
DERIVATIVE,ukažiti,10,u,kažiti,
DERIVATIVE,dokažiti,2,do,kažiti,
BASE,krivati,5,,krivati,6
DERIVATIVE,pokrivati,200,po,krivati,
DERIVATIVE,otkrivati,169,ot,krivati,
DERIVATIVE,skrivati,24,s,krivati,
DERIVATIVE,prikrivati,23,pri,krivati,
DERIVATIVE,prekrivati,18,pre,krivati,
DERIVATIVE,sakrivati,5,sa,krivati,
BASE,klanjati,4,,klanjati,6
DERIVATIVE,uklanjati,79,u,klanjati,
DERIVATIVE,poklanjati,36,po,klanjati,
DERIVATIVE,otklanjati,9,ot,klanjati,
DERIVATIVE,sklanjati,6,s,klanjati,
DERIVATIVE,zaklanjati,4,za,klanjati,
DERIVATIVE,priklanjati,3,pri,klanjati,
BASE,kazivati,3,,kazivati,6
DERIVATIVE,pokazivati,702,po,kazivati,
DERIVATIVE,ukazivati,490,u,kazivati,
DERIVATIVE,prikazivati,460,pri,kazivati,
DERIVATIVE,dokazivati,70,do,kazivati,
DERIVATIVE,zakazivati,16,za,kazivati,
DERIVATIVE,otkazivati,6,ot,kazivati,
BASE,miti,3,,miti,6
DERIVATIVE,primiti,426,pri,miti,
DERIVATIVE,uzmiti,95,uz,miti,
DERIVATIVE,smiti,28,s,miti,
DERIVATIVE,umiti,4,u,miti,
DERIVATIVE,premiti,2,pre,miti,
DERIVATIVE,podmiti,1,pod,miti,
BASE,premiti,2,,premiti,6
DERIVATIVE,pripremiti,358,pri,premiti,
DERIVATIVE,spremiti,82,s,premiti,
DERIVATIVE,opremiti,30,o,premiti,
DERIVATIVE,otpremiti,4,ot,premiti,
DERIVATIVE,dopremiti,3,do,premiti,
DERIVATIVE,raspremiti,1,ras,premiti,
BASE,zirati,1,,zirati,6
DERIVATIVE,nadzirati,12,nad,zirati,
DERIVATIVE,nazirati,11,na,zirati,
DERIVATIVE,dozirati,7,do,zirati,
DERIVATIVE,prezirati,6,pre,zirati,
DERIVATIVE,pozirati,3,po,zirati,
DERIVATIVE,zazirati,1,za,zirati,
BASE,vuciti,1,,vuciti,6
DERIVATIVE,povuciti,85,po,vuciti,
DERIVATIVE,prevuciti,5,pre,vuciti,
DERIVATIVE,odvuciti,5,od,vuciti,
DERIVATIVE,izvuciti,3,iz,vuciti,
DERIVATIVE,razvuciti,2,raz,vuciti,
DERIVATIVE,privuciti,1,pri,vuciti,
BASE,secati,1,,secati,6
DERIVATIVE,osecati,8,o,secati,
DERIVATIVE,odsecati,5,od,secati,
DERIVATIVE,presecati,3,pre,secati,
DERIVATIVE,podsecati,2,pod,secati,
DERIVATIVE,zasecati,2,za,secati,
DERIVATIVE,sasecati,1,sa,secati,
BASE,pustati,1,,pustati,6
DERIVATIVE,popustati,14,po,pustati,
DERIVATIVE,dopustati,4,do,pustati,
DERIVATIVE,prepustati,2,pre,pustati,
DERIVATIVE,napustati,1,na,pustati,
DERIVATIVE,otpustati,1,ot,pustati,
DERIVATIVE,spustati,1,s,pustati,
BASE,rezati,1,,rezati,6
DERIVATIVE,urezati,5,u,rezati,
DERIVATIVE,izrezati,3,iz,rezati,
DERIVATIVE,prerezati,2,pre,rezati,
DERIVATIVE,narezati,1,na,rezati,
DERIVATIVE,srezati,1,s,rezati,
DERIVATIVE,odrezati,1,od,rezati,
BASE,micati,1,,micati,6
DERIVATIVE,pomicati,13,po,micati,
DERIVATIVE,odmicati,9,od,micati,
DERIVATIVE,promicati,8,pro,micati,
DERIVATIVE,izmicati,5,iz,micati,
DERIVATIVE,primicati,3,pri,micati,
DERIVATIVE,uzmicati,2,uz,micati,
BASE,moći,17189,,moći,5
DERIVATIVE,pomoći,1279,po,moći,
DERIVATIVE,smoći,3,s,moći,
DERIVATIVE,domoći,2,do,moći,
DERIVATIVE,odmoći,1,od,moći,
DERIVATIVE,premoći,1,pre,moći,
BASE,imati,11939,,imati,5
DERIVATIVE,otimati,5,ot,imati,
DERIVATIVE,doimati,2,do,imati,
DERIVATIVE,poimati,2,po,imati,
DERIVATIVE,nadimati,1,nad,imati,
DERIVATIVE,uimati,1,u,imati,
BASE,videti,1518,,videti,5
DERIVATIVE,predvideti,67,pred,videti,
DERIVATIVE,uvideti,34,u,videti,
DERIVATIVE,svideti,24,s,videti,
DERIVATIVE,prevideti,4,pre,videti,
DERIVATIVE,zavideti,1,za,videti,
BASE,naći,816,,naći,5
DERIVATIVE,pronaći,1026,pro,naći,
DERIVATIVE,snaći,32,s,naći,
DERIVATIVE,iznaći,8,iz,naći,
DERIVATIVE,beznaći,1,bez,naći,
DERIVATIVE,ponaći,1,po,naći,
BASE,pitati,268,,pitati,5
DERIVATIVE,zapitati,37,za,pitati,
DERIVATIVE,upitati,33,u,pitati,
DERIVATIVE,raspitati,8,ras,pitati,
DERIVATIVE,propitati,2,pro,pitati,
DERIVATIVE,spitati,2,s,pitati,
BASE,slušati,222,,slušati,5
DERIVATIVE,poslušati,37,po,slušati,
DERIVATIVE,saslušati,32,sa,slušati,
DERIVATIVE,preslušati,2,pre,slušati,
DERIVATIVE,naslušati,1,na,slušati,
DERIVATIVE,odslušati,1,od,slušati,
BASE,stizati,184,,stizati,5
DERIVATIVE,postizati,191,po,stizati,
DERIVATIVE,dostizati,55,do,stizati,
DERIVATIVE,pristizati,13,pri,stizati,
DERIVATIVE,prestizati,2,pre,stizati,
DERIVATIVE,sustizati,1,su,stizati,
BASE,ležati,175,,ležati,5
DERIVATIVE,podležati,29,pod,ležati,
DERIVATIVE,zaležati,1,za,ležati,
DERIVATIVE,preležati,1,pre,ležati,
DERIVATIVE,odležati,1,od,ležati,
DERIVATIVE,naležati,1,na,ležati,
BASE,voziti,137,,voziti,5
DERIVATIVE,prevoziti,38,pre,voziti,
DERIVATIVE,izvoziti,31,iz,voziti,
DERIVATIVE,uvoziti,12,u,voziti,
DERIVATIVE,dovoziti,7,do,voziti,
DERIVATIVE,odvoziti,6,od,voziti,
BASE,braniti,99,,braniti,5
DERIVATIVE,odbraniti,83,od,braniti,
DERIVATIVE,zabraniti,35,za,braniti,
DERIVATIVE,obraniti,1,o,braniti,
DERIVATIVE,ubraniti,1,u,braniti,
DERIVATIVE,sabraniti,1,sa,braniti,
BASE,glasiti,90,,glasiti,5
DERIVATIVE,naglasiti,709,na,glasiti,
DERIVATIVE,proglasiti,112,pro,glasiti,
DERIVATIVE,oglasiti,91,o,glasiti,
DERIVATIVE,saglasiti,90,sa,glasiti,
DERIVATIVE,suglasiti,1,su,glasiti,
BASE,brojati,68,,brojati,5
DERIVATIVE,nabrojati,10,na,brojati,
DERIVATIVE,prebrojati,5,pre,brojati,
DERIVATIVE,izbrojati,5,iz,brojati,
DERIVATIVE,pobrojati,3,po,brojati,
DERIVATIVE,ubrojati,1,u,brojati,
BASE,vrediti,65,,vrediti,5
DERIVATIVE,povrediti,24,po,vrediti,
DERIVATIVE,uvrediti,5,u,vrediti,
DERIVATIVE,privrediti,3,pri,vrediti,
DERIVATIVE,obezvrediti,1,obez,vrediti,
DERIVATIVE,zavrediti,1,za,vrediti,
BASE,suditi,50,,suditi,5
DERIVATIVE,osuditi,48,o,suditi,
DERIVATIVE,presuditi,24,pre,suditi,
DERIVATIVE,usuditi,22,u,suditi,
DERIVATIVE,prosuditi,4,pro,suditi,
DERIVATIVE,posuditi,2,po,suditi,
BASE,mešati,49,,mešati,5
DERIVATIVE,pomešati,16,po,mešati,
DERIVATIVE,umešati,15,u,mešati,
DERIVATIVE,izmešati,8,iz,mešati,
DERIVATIVE,promešati,7,pro,mešati,
DERIVATIVE,smešati,4,s,mešati,
BASE,uzmeti,40,,uzmeti,5
DERIVATIVE,preuzmeti,7,pre,uzmeti,
DERIVATIVE,preduzmeti,7,pred,uzmeti,
DERIVATIVE,izuzmeti,2,iz,uzmeti,
DERIVATIVE,zauzmeti,1,za,uzmeti,
DERIVATIVE,oduzmeti,1,od,uzmeti,
BASE,čiti,39,,čiti,5
DERIVATIVE,učiti,238,u,čiti,
DERIVATIVE,pročiti,12,pro,čiti,
DERIVATIVE,očiti,5,o,čiti,
DERIVATIVE,načiti,1,na,čiti,
DERIVATIVE,začiti,1,za,čiti,
BASE,crtati,21,,crtati,5
DERIVATIVE,nacrtati,10,na,crtati,
DERIVATIVE,zacrtati,6,za,crtati,
DERIVATIVE,podcrtati,4,pod,crtati,
DERIVATIVE,ucrtati,2,u,crtati,
DERIVATIVE,precrtati,1,pre,crtati,
BASE,rastati,20,,rastati,5
DERIVATIVE,odrastati,11,od,rastati,
DERIVATIVE,narastati,1,na,rastati,
DERIVATIVE,izrastati,1,iz,rastati,
DERIVATIVE,urastati,1,u,rastati,
DERIVATIVE,srastati,1,s,rastati,
BASE,trčati,16,,trčati,5
DERIVATIVE,potrčati,4,po,trčati,
DERIVATIVE,protrčati,2,pro,trčati,
DERIVATIVE,dotrčati,2,do,trčati,
DERIVATIVE,pretrčati,2,pre,trčati,
DERIVATIVE,otrčati,1,o,trčati,
BASE,juriti,14,,juriti,5
DERIVATIVE,pojuriti,2,po,juriti,
DERIVATIVE,najuriti,2,na,juriti,
DERIVATIVE,dojuriti,1,do,juriti,
DERIVATIVE,izjuriti,1,iz,juriti,
DERIVATIVE,sjuriti,1,s,juriti,
BASE,seliti,10,,seliti,5
DERIVATIVE,preseliti,54,pre,seliti,
DERIVATIVE,naseliti,16,na,seliti,
DERIVATIVE,doseliti,8,do,seliti,
DERIVATIVE,useliti,6,u,seliti,
DERIVATIVE,odseliti,4,od,seliti,
BASE,saditi,9,,saditi,5
DERIVATIVE,zasaditi,14,za,saditi,
DERIVATIVE,posaditi,10,po,saditi,
DERIVATIVE,dosaditi,9,do,saditi,
DERIVATIVE,usaditi,5,u,saditi,
DERIVATIVE,presaditi,2,pre,saditi,
BASE,ljubiti,8,,ljubiti,5
DERIVATIVE,zaljubiti,25,za,ljubiti,
DERIVATIVE,poljubiti,8,po,ljubiti,
DERIVATIVE,sljubiti,1,s,ljubiti,
DERIVATIVE,obljubiti,1,ob,ljubiti,
DERIVATIVE,izljubiti,1,iz,ljubiti,
BASE,kucati,7,,kucati,5
DERIVATIVE,otkucati,10,ot,kucati,
DERIVATIVE,zakucati,3,za,kucati,
DERIVATIVE,pokucati,3,po,kucati,
DERIVATIVE,ukucati,2,u,kucati,
DERIVATIVE,prikucati,1,pri,kucati,
BASE,javati,5,,javati,5
DERIVATIVE,prijavati,199,pri,javati,
DERIVATIVE,najavati,31,na,javati,
DERIVATIVE,objavati,9,ob,javati,
DERIVATIVE,odjavati,5,od,javati,
DERIVATIVE,izjavati,1,iz,javati,
BASE,kloniti,4,,kloniti,5
DERIVATIVE,ukloniti,219,u,kloniti,
DERIVATIVE,otkloniti,77,ot,kloniti,
DERIVATIVE,pokloniti,65,po,kloniti,
DERIVATIVE,skloniti,22,s,kloniti,
DERIVATIVE,prikloniti,7,pri,kloniti,
BASE,visiti,4,,visiti,5
DERIVATIVE,zavisiti,420,za,visiti,
DERIVATIVE,ovisiti,29,o,visiti,
DERIVATIVE,povisiti,3,po,visiti,
DERIVATIVE,suvisiti,1,su,visiti,
DERIVATIVE,izvisiti,1,iz,visiti,
BASE,vuki,4,,vuki,5
DERIVATIVE,izvuki,7,iz,vuki,
DERIVATIVE,podvuki,2,pod,vuki,
DERIVATIVE,razvuki,1,raz,vuki,
DERIVATIVE,uvuki,1,u,vuki,
DERIVATIVE,odvuki,1,od,vuki,
BASE,premati,4,,premati,5
DERIVATIVE,pripremati,148,pri,premati,
DERIVATIVE,spremati,109,s,premati,
DERIVATIVE,dopremati,11,do,premati,
DERIVATIVE,opremati,9,o,premati,
DERIVATIVE,otpremati,8,ot,premati,
BASE,umiti,4,,umiti,5
DERIVATIVE,naumiti,3,na,umiti,
DERIVATIVE,razumiti,2,raz,umiti,
DERIVATIVE,izumiti,2,iz,umiti,
DERIVATIVE,preumiti,1,pre,umiti,
DERIVATIVE,sumiti,1,s,umiti,
BASE,sati,4,,sati,5
DERIVATIVE,dosati,8,do,sati,
DERIVATIVE,presati,4,pre,sati,
DERIVATIVE,nasati,2,na,sati,
DERIVATIVE,prsati,1,pr,sati,
DERIVATIVE,usati,1,u,sati,
BASE,brati,3,,brati,5
DERIVATIVE,sabrati,11,sa,brati,
DERIVATIVE,pobrati,6,po,brati,
DERIVATIVE,obrati,2,o,brati,
DERIVATIVE,ubrati,2,u,brati,
DERIVATIVE,pribrati,2,pri,brati,
BASE,tvoriti,2,,tvoriti,5
DERIVATIVE,otvoriti,978,o,tvoriti,
DERIVATIVE,stvoriti,479,s,tvoriti,
DERIVATIVE,pretvoriti,134,pre,tvoriti,
DERIVATIVE,zatvoriti,132,za,tvoriti,
DERIVATIVE,rastvoriti,1,ras,tvoriti,
BASE,bati,2,,bati,5
DERIVATIVE,probati,114,pro,bati,
DERIVATIVE,prebati,9,pre,bati,
DERIVATIVE,ubati,6,u,bati,
DERIVATIVE,dobati,5,do,bati,
DERIVATIVE,pobati,1,po,bati,
BASE,točiti,1,,točiti,5
DERIVATIVE,pretočiti,19,pre,točiti,
DERIVATIVE,natočiti,3,na,točiti,
DERIVATIVE,otočiti,2,o,točiti,
DERIVATIVE,stočiti,1,s,točiti,
DERIVATIVE,rastočiti,1,ras,točiti,
BASE,pirati,1,,pirati,5
DERIVATIVE,dopirati,16,do,pirati,
DERIVATIVE,opirati,7,o,pirati,
DERIVATIVE,spirati,6,s,pirati,
DERIVATIVE,upirati,3,u,pirati,
DERIVATIVE,sapirati,1,sa,pirati,
BASE,motati,1,,motati,5
DERIVATIVE,zamotati,2,za,motati,
DERIVATIVE,premotati,1,pre,motati,
DERIVATIVE,obmotati,1,ob,motati,
DERIVATIVE,umotati,1,u,motati,
DERIVATIVE,smotati,1,s,motati,
BASE,znati,1647,,znati,4
DERIVATIVE,saznati,569,sa,znati,
DERIVATIVE,priznati,213,pri,znati,
DERIVATIVE,poznati,40,po,znati,
DERIVATIVE,doznati,14,do,znati,
BASE,ostati,816,,ostati,4
DERIVATIVE,izostati,31,iz,ostati,
DERIVATIVE,uostati,4,u,ostati,
DERIVATIVE,zaostati,4,za,ostati,
DERIVATIVE,preostati,3,pre,ostati,
BASE,čuti,517,,čuti,4
DERIVATIVE,načuti,3,na,čuti,
DERIVATIVE,prečuti,1,pre,čuti,
DERIVATIVE,pročuti,1,pro,čuti,
DERIVATIVE,začuti,1,za,čuti,
BASE,služiti,443,,služiti,4
DERIVATIVE,poslužiti,144,po,služiti,
DERIVATIVE,zaslužiti,32,za,služiti,
DERIVATIVE,uslužiti,13,u,služiti,
DERIVATIVE,odslužiti,5,od,služiti,
BASE,kretati,363,,kretati,4
DERIVATIVE,pokretati,203,po,kretati,
DERIVATIVE,skretati,55,s,kretati,
DERIVATIVE,okretati,54,o,kretati,
DERIVATIVE,zakretati,4,za,kretati,
BASE,spavati,356,,spavati,4
DERIVATIVE,prespavati,3,pre,spavati,
DERIVATIVE,naspavati,3,na,spavati,
DERIVATIVE,odspavati,1,od,spavati,
DERIVATIVE,uspavati,1,u,spavati,
BASE,čekati,348,,čekati,4
DERIVATIVE,dočekati,66,do,čekati,
DERIVATIVE,sačekati,45,sa,čekati,
DERIVATIVE,pričekati,13,pri,čekati,
DERIVATIVE,počekati,1,po,čekati,
BASE,platiti,276,,platiti,4
DERIVATIVE,uplatiti,79,u,platiti,
DERIVATIVE,naplatiti,28,na,platiti,
DERIVATIVE,otplatiti,3,ot,platiti,
DERIVATIVE,doplatiti,1,do,platiti,
BASE,vraćati,253,,vraćati,4
DERIVATIVE,uzvraćati,2,uz,vraćati,
DERIVATIVE,odvraćati,2,od,vraćati,
DERIVATIVE,povraćati,1,po,vraćati,
DERIVATIVE,navraćati,1,na,vraćati,
BASE,deliti,227,,deliti,4
DERIVATIVE,podeliti,255,po,deliti,
DERIVATIVE,dodeliti,105,do,deliti,
DERIVATIVE,odeliti,2,o,deliti,
DERIVATIVE,udeliti,1,u,deliti,
BASE,buditi,154,,buditi,4
DERIVATIVE,probuditi,67,pro,buditi,
DERIVATIVE,pobuditi,10,po,buditi,
DERIVATIVE,razbuditi,2,raz,buditi,
DERIVATIVE,sbuditi,1,s,buditi,
BASE,poznavati,154,,poznavati,4
DERIVATIVE,prepoznavati,114,pre,poznavati,
DERIVATIVE,upoznavati,59,u,poznavati,
DERIVATIVE,spoznavati,6,s,poznavati,
DERIVATIVE,raspoznavati,1,ras,poznavati,
BASE,beležiti,124,,beležiti,4
DERIVATIVE,obeležiti,208,o,beležiti,
DERIVATIVE,zabeležiti,107,za,beležiti,
DERIVATIVE,ubeležiti,3,u,beležiti,
DERIVATIVE,pribeležiti,1,pri,beležiti,
BASE,uzmiti,95,,uzmiti,4
DERIVATIVE,preuzmiti,54,pre,uzmiti,
DERIVATIVE,preduzmiti,5,pred,uzmiti,
DERIVATIVE,oduzmiti,2,od,uzmiti,
DERIVATIVE,poduzmiti,2,pod,uzmiti,
BASE,brisati,68,,brisati,4
DERIVATIVE,izbrisati,72,iz,brisati,
DERIVATIVE,obrisati,43,o,brisati,
DERIVATIVE,prebrisati,5,pre,brisati,
DERIVATIVE,pobrisati,1,po,brisati,
BASE,roditi,66,,roditi,4
DERIVATIVE,izroditi,9,iz,roditi,
DERIVATIVE,poroditi,9,po,roditi,
DERIVATIVE,uroditi,4,u,roditi,
DERIVATIVE,priroditi,4,pri,roditi,
BASE,pevati,62,,pevati,4
DERIVATIVE,otpevati,8,ot,pevati,
DERIVATIVE,opevati,3,o,pevati,
DERIVATIVE,prepevati,1,pre,pevati,
DERIVATIVE,zapevati,1,za,pevati,
BASE,žaliti,55,,žaliti,4
DERIVATIVE,požaliti,9,po,žaliti,
DERIVATIVE,zažaliti,4,za,žaliti,
DERIVATIVE,sažaliti,1,sa,žaliti,
DERIVATIVE,ožaliti,1,o,žaliti,
BASE,živjeti,41,,živjeti,4
DERIVATIVE,preživjeti,19,pre,živjeti,
DERIVATIVE,doživjeti,14,do,živjeti,
DERIVATIVE,zaživjeti,2,za,živjeti,
DERIVATIVE,proživjeti,1,pro,živjeti,
BASE,poznati,40,,poznati,4
