type,verb,frequency,prefix,base_verb,derivatives_count
DERIVATIVE,izlagati,114,iz,lagati,
DERIVATIVE,polagati,53,po,lagati,
DERIVATIVE,nalagati,31,na,lagati,
DERIVATIVE,odlagati,21,od,lagati,
DERIVATIVE,prilagati,17,pri,lagati,
DERIVATIVE,razlagati,2,raz,lagati,
DERIVATIVE,vlagati,1,v,lagati,
BASE,ložiti,1,,ložiti,11
DERIVATIVE,predložiti,333,pred,ložiti,
DERIVATIVE,uložiti,204,u,ložiti,
DERIVATIVE,složiti,148,s,ložiti,
DERIVATIVE,položiti,110,po,ložiti,
DERIVATIVE,izložiti,59,iz,ložiti,
DERIVATIVE,odložiti,49,od,ložiti,
DERIVATIVE,priložiti,49,pri,ložiti,
DERIVATIVE,naložiti,25,na,ložiti,
DERIVATIVE,založiti,19,za,ložiti,
DERIVATIVE,obložiti,12,ob,ložiti,
DERIVATIVE,razložiti,4,raz,ložiti,
BASE,liti,1,,liti,11
DERIVATIVE,preliti,10,pre,liti,
DERIVATIVE,uliti,9,u,liti,
DERIVATIVE,rasliti,8,ras,liti,
DERIVATIVE,izliti,3,iz,liti,
DERIVATIVE,sliti,3,s,liti,
DERIVATIVE,politi,2,po,liti,
DERIVATIVE,naliti,1,na,liti,
DERIVATIVE,zaliti,1,za,liti,
DERIVATIVE,proliti,1,pro,liti,
DERIVATIVE,razliti,1,raz,liti,
DERIVATIVE,doliti,1,do,liti,
BASE,stajati,397,,stajati,10
DERIVATIVE,postajati,464,po,stajati,
DERIVATIVE,ostajati,453,o,stajati,
DERIVATIVE,nastajati,206,na,stajati,
DERIVATIVE,prestajati,65,pre,stajati,
DERIVATIVE,sastajati,29,sa,stajati,
DERIVATIVE,pristajati,18,pri,stajati,
DERIVATIVE,ustajati,12,u,stajati,
DERIVATIVE,zastajati,5,za,stajati,
DERIVATIVE,odstajati,1,od,stajati,
DERIVATIVE,prostajati,1,pro,stajati,
BASE,staviti,357,,staviti,10
DERIVATIVE,nastaviti,1263,na,staviti,
DERIVATIVE,predstaviti,985,pred,staviti,
DERIVATIVE,postaviti,652,po,staviti,
DERIVATIVE,ostaviti,419,o,staviti,
DERIVATIVE,dostaviti,390,do,staviti,
DERIVATIVE,sastaviti,59,sa,staviti,
DERIVATIVE,sustaviti,8,su,staviti,
DERIVATIVE,prestaviti,2,pre,staviti,
DERIVATIVE,pristaviti,1,pri,staviti,
DERIVATIVE,zastaviti,1,za,staviti,
BASE,pustiti,126,,pustiti,10
DERIVATIVE,napustiti,227,na,pustiti,
DERIVATIVE,propustiti,125,pro,pustiti,
DERIVATIVE,prepustiti,77,pre,pustiti,
DERIVATIVE,spustiti,66,s,pustiti,
DERIVATIVE,dopustiti,57,do,pustiti,
DERIVATIVE,opustiti,55,o,pustiti,
DERIVATIVE,otpustiti,25,ot,pustiti,
DERIVATIVE,upustiti,25,u,pustiti,
DERIVATIVE,popustiti,21,po,pustiti,
DERIVATIVE,raspustiti,4,ras,pustiti,
BASE,pasti,108,,pasti,10
DERIVATIVE,napasti,79,na,pasti,
DERIVATIVE,upasti,79,u,pasti,
DERIVATIVE,spasti,57,s,pasti,
DERIVATIVE,pripasti,57,pri,pasti,
DERIVATIVE,dopasti,33,do,pasti,
DERIVATIVE,opasti,28,o,pasti,
DERIVATIVE,propasti,19,pro,pasti,
DERIVATIVE,zapasti,16,za,pasti,
DERIVATIVE,raspasti,12,ras,pasti,
DERIVATIVE,otpasti,5,ot,pasti,
BASE,puštati,43,,puštati,10
DERIVATIVE,spuštati,49,s,puštati,
DERIVATIVE,napuštati,44,na,puštati,
DERIVATIVE,dopuštati,37,do,puštati,
DERIVATIVE,opuštati,23,o,puštati,
DERIVATIVE,propuštati,20,pro,puštati,
DERIVATIVE,prepuštati,12,pre,puštati,
DERIVATIVE,upuštati,8,u,puštati,
DERIVATIVE,otpuštati,6,ot,puštati,
DERIVATIVE,popuštati,4,po,puštati,
DERIVATIVE,raspuštati,1,ras,puštati,
BASE,vući,6,,vući,10
DERIVATIVE,privući,158,pri,vući,
DERIVATIVE,povući,147,po,vući,
DERIVATIVE,izvući,29,iz,vući,
DERIVATIVE,podvući,20,pod,vući,
DERIVATIVE,provući,4,pro,vući,
DERIVATIVE,dovući,3,do,vući,
DERIVATIVE,odvući,3,od,vući,
DERIVATIVE,prevući,2,pre,vući,
DERIVATIVE,razvući,2,raz,vući,
DERIVATIVE,navući,2,na,vući,
BASE,meti,2,,meti,10
DERIVATIVE,smeti,433,s,meti,
DERIVATIVE,umeti,90,u,meti,
DERIVATIVE,uzmeti,40,uz,meti,
DERIVATIVE,ometi,15,o,meti,
DERIVATIVE,primeti,13,pri,meti,
DERIVATIVE,dometi,2,do,meti,
DERIVATIVE,pometi,1,po,meti,
DERIVATIVE,premeti,1,pre,meti,
DERIVATIVE,izmeti,1,iz,meti,
DERIVATIVE,odmeti,1,od,meti,
BASE,laziti,1,,laziti,10
DERIVATIVE,nalaziti,3554,na,laziti,
DERIVATIVE,dolaziti,1044,do,laziti,
DERIVATIVE,prolaziti,275,pro,laziti,
DERIVATIVE,ulaziti,242,u,laziti,
DERIVATIVE,izlaziti,210,iz,laziti,
DERIVATIVE,prelaziti,163,pre,laziti,
DERIVATIVE,odlaziti,163,od,laziti,
DERIVATIVE,prilaziti,32,pri,laziti,
DERIVATIVE,polaziti,29,po,laziti,
DERIVATIVE,zalaziti,11,za,laziti,
BASE,raditi,4247,,raditi,9
DERIVATIVE,uraditi,696,u,raditi,
DERIVATIVE,izraditi,242,iz,raditi,
DERIVATIVE,zaraditi,56,za,raditi,
DERIVATIVE,odraditi,31,od,raditi,
DERIVATIVE,preraditi,19,pre,raditi,
DERIVATIVE,razraditi,10,raz,raditi,
DERIVATIVE,proraditi,7,pro,raditi,
DERIVATIVE,poraditi,6,po,raditi,
DERIVATIVE,doraditi,3,do,raditi,
BASE,kazati,1983,,kazati,9
