base_verb,base_frequency,derivatives_count,derivatives_examples
grešiti,17,3,po+grešiti (22); o+grešiti (2); sa+grešiti (1)
sjećati,17,3,o+sjećati (92); pod+sjećati (7); pri+sjećati (2)
pušiti,15,3,u+pušiti (1); po+pušiti (1); za+pušiti (1)
varati,14,3,ot+varati (274); pre+varati (21); za+varati (5)
udarati,14,3,pod+udarati (29); od+udarati (6); s+udarati (3)
kupati,14,3,ot+kupati (7); o+kupati (6); s+kupati (1)
sreti,13,3,pre+sreti (2); u+sreti (1); po+sreti (1)
moliti,13,3,za+moliti (40); po+moliti (2); u+moliti (1)
duvati,13,3,iz+duvati (2); o+duvati (2); na+duvati (1)
igratiti,12,3,od+igratiti (2); po+igratiti (1); za+igratiti (1)
kreniti,12,3,o+kreniti (27); po+kreniti (26); s+kreniti (8)
kopati,11,3,za+kopati (6); do+kopati (3); u+kopati (1)
periti,11,3,o+periti (11); u+periti (5); pro+periti (1)
listati,11,3,pre+listati (3); iz+listati (1); pro+listati (1)
kočiti,10,3,s+kočiti (48); za+kočiti (1); u+kočiti (1)
goniti,10,3,pro+goniti (7); po+goniti (6); na+goniti (1)
hladiti,10,3,o+hladiti (19); pro+hladiti (5); ras+hladiti (1)
bilježiti,10,3,za+bilježiti (13); o+bilježiti (12); pred+bilježiti (1)
dizati,8,3,po+dizati (120); uz+dizati (21); iz+dizati (12)
stojiti,8,3,na+stojiti (36); po+stojiti (3); od+stojiti (1)
loviti,8,3,u+loviti (4); s+loviti (2); na+loviti (1)
štetiti,7,3,o+štetiti (27); u+štetiti (7); na+štetiti (3)
dignuti,6,3,uz+dignuti (6); po+dignuti (4); iz+dignuti (1)
zati,6,3,pre+zati (3); su+zati (1); sa+zati (1)
kreneti,5,3,po+kreneti (27); s+kreneti (12); o+kreneti (10)
roniti,5,3,u+roniti (9); za+roniti (6); iz+roniti (4)
ređati,5,3,u+ređati (216); v+ređati (19); po+ređati (7)
boleti,5,3,raz+boleti (9); o+boleti (3); za+boleti (1)
drzati,4,3,sa+drzati (10); o+drzati (5); za+drzati (2)
nizati,4,3,na+nizati (3); po+nizati (2); s+nizati (2)
svetiti,4,3,po+svetiti (155); o+svetiti (4); pro+svetiti (1)
meći,4,3,uz+meći (1); u+meći (1); o+meći (1)
citi,4,3,u+citi (3); na+citi (1); pri+citi (1)
trestiti,4,3,s+trestiti (2); po+trestiti (1); o+trestiti (1)
drmati,3,3,pro+drmati (6); uz+drmati (6); raz+drmati (1)
uciti,3,3,ob+uciti (5); v+uciti (1); na+uciti (1)
rati,3,3,o+rati (4); po+rati (2); s+rati (1)
tati,3,3,s+tati (141); ras+tati (20); o+tati (12)
nići,3,3,po+nići (8); iz+nići (6); pro+nići (5)
ciniti,3,3,u+ciniti (10); po+ciniti (2); na+ciniti (2)
pomeniti,3,3,na+pomeniti (8); s+pomeniti (2); o+pomeniti (1)
uzdati,3,3,ob+uzdati (9); po+uzdati (5); za+uzdati (1)
jeći,3,3,pri+jeći (12); s+jeći (1); od+jeći (1)
moriti,2,3,od+moriti (23); u+moriti (5); za+moriti (1)
zoveti,2,3,po+zoveti (25); na+zoveti (7); do+zoveti (1)
grliti,2,3,pri+grliti (14); za+grliti (5); ob+grliti (1)
vriti,2,3,pro+vriti (8); ot+vriti (1); na+vriti (1)
režiti,2,3,na+režiti (3); iz+režiti (3); u+režiti (1)
zreti,2,3,sa+zreti (6); na+zreti (1); do+zreti (1)
istati,2,3,do+istati (10); od+istati (6); ras+istati (2)
bratiti,2,3,o+bratiti (530); iz+bratiti (1); u+bratiti (1)
ginuti,2,3,po+ginuti (60); u+ginuti (7); iz+ginuti (1)
ključati,2,3,ot+ključati (17); za+ključati (16); pro+ključati (1)
veliti,1,3,pre+veliti (1); na+veliti (1); po+veliti (1)
vjesti,1,3,s+vjesti (4); sa+vjesti (2); za+vjesti (1)
općiti,1,3,sa+općiti (10); pri+općiti (2); u+općiti (2)
viriti,1,3,iz+viriti (17); za+viriti (9); u+viriti (1)
svojiti,1,3,u+svojiti (580); o+svojiti (397); pri+svojiti (7)
matrati,1,3,s+matrati (1361); raz+matrati (349); pro+matrati (10)
redati,1,3,u+redati (2); po+redati (1); s+redati (1)
mašiti,1,3,pre+mašiti (42); nad+mašiti (17); pro+mašiti (6)
dviti,1,3,na+dviti (7); po+dviti (2); o+dviti (2)
trati,1,3,su+trati (5); po+trati (1); za+trati (1)
oći,1,3,pr+oći (475); u+oći (5); v+oći (1)
ivati,1,3,uz+ivati (7); pr+ivati (1); pred+ivati (1)
mesati,1,3,s+mesati (2); pri+mesati (1); po+mesati (1)
zoviti,1,3,po+zoviti (89); na+zoviti (29); sa+zoviti (4)
griješiti,1,3,po+griješiti (2); sa+griješiti (1); o+griješiti (1)
stavlјaju,1,3,pred+stavlјaju (9); do+stavlјaju (2); na+stavlјaju (2)
neći,1,3,po+neći (5); od+neći (1); u+neći (1)
staći,1,3,pod+staći (158); po+staći (6); pri+staći (1)
virati,1,3,s+virati (90); iz+virati (6); na+virati (1)
dvoditi,1,3,pre+dvoditi (171); o+dvoditi (15); po+dvoditi (2)
jetiti,1,3,s+jetiti (18); od+jetiti (9); pri+jetiti (2)
nalaziti,3554,2,pro+nalaziti (77); s+nalaziti (29)
morati,3422,2,pri+morati (14); po+morati (1)
želeti,2878,2,po+želeti (94); u+želeti (1)
doći,2342,2,do+doći (1); na+doći (1)
smatrati,1361,2,po+smatrati (185); o+smatrati (1)
početi,1290,2,za+početi (430); ot+početi (80)
pomoći,1279,2,pri+pomoći (2); u+pomoći (1)
trajati,700,2,po+trajati (31); do+trajati (3)
postaviti,652,2,pred+postaviti (2); za+postaviti (2)
ući,596,2,ob+ući (8); v+ući (6)
osećati,480,2,sa+osećati (6); pred+osećati (1)
počinjati,468,2,za+počinjati (99); ot+počinjati (1)
primiti,426,2,po+primiti (10); za+primiti (5)
pričati,387,2,po+pričati (14); pre+pričati (9)
čuvati,383,2,sa+čuvati (220); o+čuvati (82)
dešavati,356,2,po+dešavati (25); iz+dešavati (2)
finansirati,328,2,su+finansirati (17); pred+finansirati (1)
važiti,232,2,u+važiti (14); od+važiti (11)
primati,215,2,po+primati (8); za+primati (4)
predati,160,2,ras+predati (2); s+predati (1)
prodati,159,2,ras+prodati (4); pre+prodati (2)
hvati,141,2,po+hvati (49); za+hvati (16)
umreti,132,2,od+umreti (3); iz+umreti (2)
glasati,131,2,iz+glasati (14); o+glasati (9)
povesti,126,2,za+povesti (5); s+povesti (1)
probati,114,2,o+probati (23); s+probati (1)
stradati,106,2,na+stradati (13); po+stradati (3)
uzrokovati,104,2,pro+uzrokovati (72); pr+uzrokovati (1)
trošiti,102,2,po+trošiti (60); u+trošiti (14)
ubiti,92,2,s+ubiti (1); bez+ubiti (1)
umeti,90,2,raz+umeti (444); iz+umeti (2)
svirati,90,2,od+svirati (8); za+svirati (1)
trpeti,89,2,pre+trpeti (69); s+trpeti (1)
pamtiti,83,2,za+pamtiti (37); u+pamtiti (2)
uhvatiti,79,2,ob+uhvatiti (169); pod+uhvatiti (6)
kršiti,77,2,pre+kršiti (47); s+kršiti (1)
družiti,67,2,pri+družiti (303); u+družiti (48)
poručivati,66,2,pre+poručivati (354); pro+poručivati (1)
štediti,65,2,u+štediti (22); po+štediti (1)
voliti,65,2,za+voliti (7); iz+voliti (1)
krasiti,60,2,u+krasiti (10); s+krasiti (5)
sretati,54,2,su+sretati (125); na+sretati (1)
dijeliti,51,2,po+dijeliti (67); do+dijeliti (27)
ličiti,51,2,pri+ličiti (6); od+ličiti (1)
aviti,49,2,pr+aviti (255); s+aviti (3)
lečiti,47,2,iz+lečiti (13); za+lečiti (1)
hodati,42,2,pro+hodati (3); u+hodati (2)
svesti,42,2,o+svesti (20); po+svesti (17)
brojiti,40,2,na+brojiti (2); pre+brojiti (1)
šetati,37,2,pro+šetati (26); od+šetati (1)
udariti,36,2,s+udariti (4); pod+udariti (1)
nimati,35,2,za+nimati (214); s+nimati (115)
dobivati,35,2,za+dobivati (5); pri+dobivati (3)
počneti,34,2,za+počneti (25); ot+počneti (4)
umirati,31,2,s+umirati (20); od+umirati (1)
pucati,28,2,za+pucati (1); po+pucati (1)
kuvati,28,2,s+kuvati (6); pro+kuvati (3)
kretiti,28,2,s+kretiti (5); o+kretiti (1)
skupiti,25,2,po+skupiti (1); pre+skupiti (1)
uzmati,25,2,za+uzmati (1); pod+uzmati (1)
brineti,24,2,po+brineti (2); za+brineti (1)
sušiti,23,2,o+sušiti (18); pre+sušiti (2)
starati,22,2,po+starati (11); pre+starati (1)
graničiti,21,2,o+graničiti (67); raz+graničiti (2)
kositi,20,2,pr+kositi (13); po+kositi (1)
počniti,19,2,za+počniti (55); ot+počniti (2)
ljutiti,18,2,na+ljutiti (4); raz+ljutiti (2)
vaditi,17,2,iz+vaditi (47); za+vaditi (1)
rastiti,16,2,od+rastiti (3); iz+rastiti (1)
dižati,16,2,po+dižati (1); o+dižati (1)
porediti,16,2,u+porediti (82); ras+porediti (21)
plakati,15,2,ras+plakati (1); o+plakati (1)
ostaniti,15,2,iz+ostaniti (6); pre+ostaniti (2)
očarati,14,2,raz+očarati (9); na+očarati (4)
maštati,14,2,iz+maštati (2); raz+maštati (1)
vežiti,13,2,s+vežiti (39); po+vežiti (33)
ziveti,13,2,do+ziveti (1); po+ziveti (1)
mirisati,13,2,na+mirisati (2); za+mirisati (1)
briniti,12,2,po+briniti (12); za+briniti (2)
daviti,12,2,do+daviti (6); u+daviti (3)
sijati,12,2,za+sijati (10); pro+sijati (2)
plesati,12,2,pro+plesati (1); za+plesati (1)
gušiti,12,2,u+gušiti (9); pri+gušiti (3)
igrajtiti,11,2,po+igrajtiti (1); za+igrajtiti (1)
cvetati,11,2,pro+cvetati (5); ras+cvetati (1)
cijeniti,10,2,o+cijeniti (26); pro+cijeniti (7)
vezivati,10,2,po+vezivati (248); ob+vezivati (1)
kreći,10,2,za+kreći (1); po+kreći (1)
leći,9,2,iz+leći (3); s+leći (2)
hapsiti,9,2,u+hapsiti (23); po+hapsiti (2)
kvačiti,9,2,pri+kvačiti (3); za+kvačiti (1)
lutati,9,2,za+lutati (5); od+lutati (3)
siliti,8,2,pri+siliti (10); o+siliti (1)
slići,8,2,na+slići (16); o+slići (11)
sporiti,7,2,u+sporiti (31); o+sporiti (21)
zariti,7,2,o+zariti (3); na+zariti (1)
gati,7,2,u+gati (37); uz+gati (6)
poceti,7,2,za+poceti (3); ot+poceti (1)
mutiti,6,2,u+mutiti (7); raz+mutiti (3)
gasiti,6,2,u+gasiti (18); za+gasiti (1)
kušati,6,2,po+kušati (353); o+kušati (11)
krstiti,6,2,u+krstiti (4); pre+krstiti (2)
skakati,6,2,pre+skakati (2); u+skakati (1)
paditi,6,2,na+paditi (1); ot+paditi (1)
vići,5,2,na+vići (68); pred+vići (1)
čećati,5,2,sa+čećati (7); do+čećati (4)
retiti,5,2,s+retiti (14); v+retiti (1)
uditi,5,2,s+uditi (50); na+uditi (3)
sjesti,5,2,od+sjesti (2); su+sjesti (1)
mesiti,5,2,u+mesiti (6); za+mesiti (4)
sejati,5,2,po+sejati (3); za+sejati (1)
očiti,5,2,u+očiti (73); pred+očiti (30)
množiti,5,2,u+množiti (3); po+množiti (1)
trpiti,5,2,pre+trpiti (3); s+trpiti (1)
ravnati,4,2,po+ravnati (2); iz+ravnati (1)
srestiti,4,2,su+srestiti (9); pre+srestiti (2)
plaviti,4,2,pre+plaviti (7); po+plaviti (4)
irati,4,2,s+irati (20); v+irati (1)
nuti,4,2,na+nuti (2); pre+nuti (1)
dugati,4,2,pre+dugati (2); za+dugati (1)
vrsiti,4,2,za+vrsiti (8); po+vrsiti (1)
pomeneti,4,2,s+pomeneti (7); na+pomeneti (6)
legati,4,2,pod+legati (3); u+legati (1)
farbati,4,2,o+farbati (1); pre+farbati (1)
noći,4,2,pre+noći (6); po+noći (2)
brusiti,3,2,iz+brusiti (1); pre+brusiti (1)
miniti,3,2,za+miniti (1); pre+miniti (1)
sluziti,3,2,u+sluziti (4); za+sluziti (1)
blagati,3,2,u+blagati (9); o+blagati (4)
krčiti,3,2,pro+krčiti (2); za+krčiti (1)
padneti,3,2,pro+padneti (1); u+padneti (1)
dužati,3,2,za+dužati (2); pri+dužati (1)
knjižiti,3,2,u+knjižiti (4); pro+knjižiti (1)
prijeti,3,2,do+prijeti (2); za+prijeti (1)
grabiti,3,2,pri+grabiti (4); u+grabiti (2)
berati,3,2,pro+berati (1); sa+berati (1)
kajati,3,2,po+kajati (6); ras+kajati (1)
zidati,3,2,sa+zidati (2); za+zidati (1)
skacati,3,2,u+skacati (2); pre+skacati (1)
poriti,3,2,s+poriti (7); ot+poriti (2)
smejati,2,2,na+smejati (17); za+smejati (1)
isati,2,2,v+isati (9); s+isati (1)
sloviti,2,2,u+sloviti (37); na+sloviti (1)
štedjeti,2,2,u+štedjeti (11); po+štedjeti (1)
mići,2,2,pro+mići (4); po+mići (4)
tovariti,2,2,u+tovariti (5); na+tovariti (1)
štedeti,2,2,u+štedeti (40); po+štedeti (4)
liječiti,2,2,za+liječiti (1); iz+liječiti (1)
kuhati,2,2,pro+kuhati (1); s+kuhati (1)
časti,2,2,pri+časti (1); po+časti (1)
prskati,2,2,na+prskati (2); po+prskati (1)
stariti,2,2,za+stariti (2); o+stariti (2)
digneti,2,2,po+digneti (31); o+digneti (1)
teziti,2,2,po+teziti (1); pro+teziti (1)
kliznuti,2,2,s+kliznuti (3); o+kliznuti (1)
tržati,2,2,o+tržati (1); s+tržati (1)
bojiti,2,2,o+bojiti (12); pre+bojiti (1)
avati,2,2,iz+avati (1); ob+avati (1)
sreći,2,2,po+sreći (4); u+sreći (3)
liviti,1,2,iz+liviti (2); sa+liviti (2)
buhvatati,1,2,o+buhvatati (564); u+buhvatati (1)
tresiti,1,2,o+tresiti (1); pro+tresiti (1)
tkati,1,2,u+tkati (4); sa+tkati (1)
šarati,1,2,pro+šarati (1); su+šarati (1)
ležiti,1,2,pod+ležiti (20); s+ležiti (1)
lijepiti,1,2,za+lijepiti (6); na+lijepiti (1)
čitavati,1,2,o+čitavati (9); u+čitavati (6)
boti,1,2,o+boti (3); za+boti (2)
ndati,1,2,sa+ndati (2); na+ndati (1)
vrgnuti,1,2,s+vrgnuti (2); pod+vrgnuti (2)
eliti,1,2,s+eliti (10); v+eliti (1)
mamiti,1,2,iz+mamiti (6); pri+mamiti (1)
sevati,1,2,u+sevati (1); po+sevati (1)
buti,1,2,o+buti (6); pod+buti (1)
veseliti,1,2,raz+veseliti (2); pro+veseliti (1)
stav,1,2,su+stav (7); pod+stav (1)
blažiti,1,2,u+blažiti (37); raz+blažiti (3)
vidjati,1,2,pred+vidjati (4); s+vidjati (1)
lupati,1,2,na+lupati (1); iz+lupati (1)
grebati,1,2,iz+grebati (1); o+grebati (1)
alati,1,2,s+alati (1); v+alati (1)
kratiti,1,2,s+kratiti (25); pre+kratiti (3)
ratiti,1,2,v+ratiti (691); za+ratiti (1)
većati,1,2,po+većati (540); u+većati (54)
motriti,1,2,raz+motriti (435); pro+motriti (1)
gaditi,1,2,za+gaditi (6); o+gaditi (1)
podnevati,1,2,po+podnevati (1); pre+podnevati (1)
tazati,1,2,po+tazati (1); s+tazati (1)
giniti,1,2,po+giniti (3); u+giniti (2)
stvariti,1,2,o+stvariti (783); u+stvariti (6)
trovati,1,2,o+trovati (2); za+trovati (1)
rendati,1,2,iz+rendati (2); na+rendati (1)
snivati,1,2,za+snivati (214); o+snivati (40)
verati,1,2,uz+verati (1); pro+verati (1)
tonuti,1,2,po+tonuti (6); u+tonuti (3)
gorjeti,1,2,iz+gorjeti (2); sa+gorjeti (1)
najati,1,2,iz+najati (9); u+najati (2)
strašiti,1,2,za+strašiti (7); pre+strašiti (1)
gadjati,1,2,po+gadjati (2); do+gadjati (2)
besneti,1,2,po+besneti (1); raz+besneti (1)
jediti,1,2,s+jediti (16); ob+jediti (1)
aleti,1,2,nad+aleti (11); pred+aleti (5)
svijeti,1,2,za+svijeti (1); o+svijeti (1)
milovati,1,2,po+milovati (2); s+milovati (1)
tajiti,1,2,za+tajiti (2); u+tajiti (1)
bušiti,1,2,pro+bušiti (6); iz+bušiti (1)
trebati,4679,1,za+trebati (24)
koristiti,3908,1,o+koristiti (2)
učestvovati,1674,1,sa+učestvovati (6)
dodati,893,1,pri+dodati (13)
razgovarati,835,1,po+razgovarati (22)
dobijati,738,1,pri+dobijati (3)
verovati,644,1,po+verovati (10)
dovesti,638,1,o+dovesti (1)
uživati,624,1,na+uživati (1)
donositi,601,1,pri+donositi (11)
pozivati,592,1,o+pozivati (4)
otkriti,563,1,raz+otkriti (9)
isticati,482,1,pro+isticati (42)
menjati,440,1,pri+menjati (1)
ostaviti,419,1,iz+ostaviti (10)
delovati,416,1,su+delovati (3)
nadati,386,1,po+nadati (2)
pripremiti,358,1,pri+pripremiti (1)
boraviti,346,1,za+boraviti (214)
izaći,334,1,pro+izaći (26)
pozvati,326,1,o+pozvati (7)
poručiti,319,1,pre+poručiti (82)
funkcionisati,287,1,pro+funkcionisati (3)
analizirati,283,1,pro+analizirati (1)
okupiti,283,1,za+okupiti (3)
provesti,278,1,s+provesti (398)
izvoditi,261,1,pro+izvoditi (378)
prodavati,259,1,ras+prodavati (2)
rešiti,259,1,raz+rešiti (26)
garantovati,259,1,za+garantovati (1)
štititi,250,1,za+štititi (159)
uvesti,248,1,za+uvesti (6)
truditi,240,1,po+truditi (70)
reagovati,236,1,od+reagovati (3)
preći,233,1,u+preći (1)
dodavati,226,1,pri+dodavati (1)
izlaziti,210,1,pro+izlaziti (37)
javljati,199,1,pri+javljati (1)
izvesti,196,1,pro+izvesti (132)
okupljati,190,1,za+okupljati (7)
kontrolisati,185,1,pre+kontrolisati (1)
rešavati,175,1,raz+rešavati (11)
plaćati,174,1,ras+plaćati (1)
napredovati,174,1,uz+napredovati (2)
obići,170,1,za+obići (38)
težiti,170,1,s+težiti (2)
svedočiti,170,1,po+svedočiti (9)
provoditi,169,1,s+provoditi (734)
otkrivati,169,1,raz+otkrivati (13)
kupovati,165,1,po+kupovati (1)
širiti,163,1,pro+širiti (220)
ostavljati,156,1,iz+ostavljati (5)
složiti,148,1,po+složiti (2)
slati,134,1,po+slati (422)
snimiti,132,1,u+snimiti (1)
studirati,131,1,pro+studirati (2)
opisivati,131,1,pr+opisivati (87)
savetovati,129,1,po+savetovati (13)
ponašati,126,1,o+ponašati (10)
dominirati,125,1,pre+dominirati (1)
urediti,124,1,pre+urediti (9)
karakterisati,124,1,o+karakterisati (15)
vjerovati,122,1,po+vjerovati (4)
slaviti,118,1,pro+slaviti (92)
spajati,114,1,od+spajati (1)
uveriti,113,1,raz+uveriti (1)
diskutovati,112,1,pro+diskutovati (4)
ocenjivati,111,1,pr+ocenjivati (124)
imenovati,102,1,pre+imenovati (8)
usmeriti,101,1,pre+usmeriti (21)
obraćati,94,1,sa+obraćati (25)
oblikovati,93,1,pre+oblikovati (7)
ispitati,92,1,pre+ispitati (50)
osjećati,92,1,su+osjećati (2)
zauzeti,91,1,pre+zauzeti (1)
bazirati,91,1,o+bazirati (2)
saglasiti,90,1,u+saglasiti (26)
pretiti,90,1,za+pretiti (10)
pozoviti,89,1,o+pozoviti (3)
blokirati,88,1,od+blokirati (1)
nestati,88,1,po+nestati (5)
osuđivati,84,1,pr+osuđivati (4)
okrenuti,80,1,pre+okrenuti (13)
iditi,80,1,v+iditi (255)
parkirati,78,1,u+parkirati (1)
usmeravati,75,1,pre+usmeravati (11)
spojiti,75,1,od+spojiti (5)
uočiti,73,1,s+uočiti (130)
tumačiti,73,1,pro+tumačiti (11)
podijeliti,67,1,ras+podijeliti (1)
ignorisati,67,1,iz+ignorisati (1)
spustiti,66,1,do+spustiti (1)
sumnjati,61,1,po+sumnjati (12)
trenirati,61,1,u+trenirati (1)
spasti,57,1,za+spasti (1)
ispitovati,57,1,pre+ispitovati (18)
nestajati,56,1,po+nestajati (5)
zatvarati,54,1,po+zatvarati (1)
okretati,54,1,za+okretati (2)
polagati,53,1,ras+polagati (220)
ubijati,51,1,po+ubijati (1)
tragati,50,1,po+tragati (2)
željeti,50,1,po+željeti (5)
pati,49,1,s+pati (12)
isteći,49,1,pro+isteći (20)
bojati,48,1,o+bojati (9)
komentarisati,48,1,pro+komentarisati (16)
djelovati,48,1,su+djelovati (22)
haliti,46,1,za+haliti (1)
dopuniti,44,1,na+dopuniti (2)
štampati,44,1,od+štampati (7)
vežbati,44,1,na+vežbati (1)
ideti,44,1,v+ideti (1518)
interesovati,42,1,za+interesovati (16)
strujati,40,1,pro+strujati (3)
bacati,40,1,po+bacati (2)
bežati,40,1,raz+bežati (1)
svežiti,39,1,o+svežiti (24)
temeljati,39,1,u+temeljati (4)
okruživati,37,1,za+okruživati (15)
valjati,36,1,u+valjati (1)
rečiti,36,1,protiv+rečiti (1)
donijeti,36,1,pri+donijeti (13)
ustati,35,1,od+ustati (109)
pozovesti,35,1,o+pozovesti (7)
peći,34,1,za+peći (2)
svjedočiti,34,1,po+svjedočiti (2)
upitati,33,1,pri+upitati (1)
tužiti,33,1,ras+tužiti (1)
cena,33,1,o+cena (1)
mučiti,33,1,po+mučiti (2)
zabaviti,32,1,po+zabaviti (37)
formulisati,32,1,pre+formulisati (2)
čuditi,31,1,za+čuditi (5)
zovesti,31,1,po+zovesti (35)
idati,30,1,raz+idati (1)
izvestiti,30,1,pro+izvestiti (16)
polaziti,29,1,ras+polaziti (3)
obilaziti,28,1,za+obilaziti (13)
uočavati,28,1,s+uočavati (365)
rađati,28,1,po+rađati (2)
riješiti,28,1,raz+riješiti (1)
okreniti,27,1,pre+okreniti (4)
dopunjivati,27,1,na+dopunjivati (7)
udati,27,1,ot+udati (3)
ovladati,27,1,pre+ovladati (1)
komponovati,27,1,pre+komponovati (1)
kvalifikovati,27,1,o+kvalifikovati (1)
interesivati,26,1,za+interesivati (12)
skratiti,25,1,u+skratiti (24)
vaniti,25,1,s+vaniti (1)
hati,24,1,u+hati (1)
zimati,24,1,u+zimati (173)
padniti,23,1,na+padniti (2)
veseti,23,1,na+veseti (1)
teretiti,23,1,ras+teretiti (11)
upiti,23,1,ot+upiti (1)
jamčiti,22,1,za+jamčiti (4)
vjerivati,22,1,po+vjerivati (1)
skidati,21,1,po+skidati (2)
trčiti,21,1,po+trčiti (1)
uzmetiti,21,1,za+uzmetiti (2)
kružiti,21,1,o+kružiti (1)
užiti,20,1,pr+užiti (837)
smetati,20,1,za+smetati (2)
propasti,19,1,u+propasti (1)
diviti,19,1,za+diviti (7)
smisliti,19,1,o+smisliti (108)
zvučati,19,1,za+zvučati (3)
savjetovati,18,1,po+savjetovati (1)
uzdržati,18,1,s+uzdržati (3)
skraćivati,18,1,u+skraćivati (12)
sviti,18,1,po+sviti (19)
kriviti,17,1,o+kriviti (9)
prostiti,17,1,o+prostiti (20)
overiti,17,1,nad+overiti (1)
razbijati,17,1,po+razbijati (1)
stremiti,17,1,u+stremiti (1)
medjati,16,1,s+medjati (1)
tipkati,16,1,u+tipkati (6)
osvetljavati,16,1,pr+osvetljavati (2)
oživljavati,16,1,pr+oživljavati (15)
oglašavati,16,1,pr+oglašavati (15)
povestiti,15,1,pri+povestiti (2)
kasniti,15,1,za+kasniti (5)
remeti,15,1,po+remeti (6)
vežati,15,1,s+vežati (12)
gajiti,15,1,od+gajiti (4)
manipulisati,15,1,iz+manipulisati (1)
vrijediti,15,1,po+vrijediti (3)
posjeti,15,1,za+posjeti (1)
parirati,14,1,pre+parirati (1)
ušiti,14,1,s+ušiti (23)
sretiti,14,1,su+sretiti (8)
podjeti,13,1,ras+podjeti (7)
traziti,13,1,za+traziti (2)
patiti,13,1,pro+patiti (6)
plemeniti,13,1,o+plemeniti (10)
skladištiti,13,1,u+skladištiti (3)
okupirati,13,1,za+okupirati (1)
dopunjavati,13,1,na+dopunjavati (1)
doniti,13,1,pri+doniti (1)
kaći,12,1,do+kaći (1)
vrteti,12,1,za+vrteti (2)
ustajati,12,1,od+ustajati (41)
nađiti,12,1,pro+nađiti (55)
komplikovati,12,1,za+komplikovati (3)
istiniti,12,1,ob+istiniti (2)
pržiti,12,1,pro+pržiti (7)
sabrati,11,1,pre+sabrati (1)
bolovati,11,1,od+bolovati (1)
plačiti,11,1,za+plačiti (1)
mastiti,11,1,o+mastiti (1)
koncentrisati,11,1,s+koncentrisati (1)
ispitivati,11,1,pre+ispitivati (18)
listiti,10,1,s+listiti (1)
ovati,10,1,na+ovati (10)
okreneti,10,1,pre+okreneti (5)
citati,10,1,pro+citati (2)
ocjenjivati,10,1,pr+ocjenjivati (9)
prostirati,9,1,ras+prostirati (4)
pešačiti,9,1,pre+pešačiti (1)
žuriti,9,1,po+žuriti (9)
ispadati,9,1,po+ispadati (1)
poroditi,9,1,pre+poroditi (3)
voljeti,9,1,za+voljeti (2)
nadjati,9,1,pro+nadjati (11)
overavati,9,1,pr+overavati (64)
cirkulisati,9,1,pro+cirkulisati (1)
balansirati,9,1,iz+balansirati (4)
kuvajtiti,9,1,s+kuvajtiti (2)
gurnuti,9,1,od+gurnuti (3)
umiriti,9,1,iz+umiriti (1)
smišljati,9,1,o+smišljati (4)
pomoć,9,1,u+pomoć (1)
slutiti,8,1,na+slutiti (4)
krstariti,8,1,pro+krstariti (1)
pleniti,8,1,za+pleniti (2)
slivati,8,1,po+slivati (3)
sustaviti,8,1,za+sustaviti (1)
dinstati,8,1,pro+dinstati (1)
ljuljati,8,1,za+ljuljati (1)
prinositi,8,1,do+prinositi (534)
ograditi,8,1,nad+ograditi (33)
obući,8,1,pr+obući (1)
iznaći,8,1,pr+iznaći (1)
bujati,8,1,na+bujati (3)
šaliti,8,1,na+šaliti (2)
kiseti,7,1,na+kiseti (2)
škoditi,7,1,na+škoditi (15)
svađati,7,1,po+svađati (1)
steti,7,1,u+steti (1)
htiti,7,1,pro+htiti (1)
buniti,7,1,po+buniti (11)
gomilati,7,1,na+gomilati (3)
razumevati,7,1,pod+razumevati (605)
dejstvovati,7,1,iz+dejstvovati (9)
dirnuti,7,1,do+dirnuti (24)
kladiti,7,1,o+kladiti (2)
remetiti,7,1,po+remetiti (11)
znaciti,7,1,o+znaciti (1)
sedneti,7,1,od+sedneti (1)
izići,6,1,pro+izići (3)
usmjeriti,6,1,pre+usmjeriti (1)
recitovati,6,1,iz+recitovati (1)
slusati,6,1,po+slusati (1)
krvariti,6,1,pro+krvariti (1)
orijentisati,6,1,pre+orijentisati (2)
priličiti,6,1,u+priličiti (8)
bližiti,6,1,pri+bližiti (97)
maziti,6,1,po+maziti (1)
besniti,6,1,raz+besniti (1)
pravdati,6,1,o+pravdati (52)
provediti,6,1,s+provediti (1)
zbivati,6,1,su+zbivati (1)
kraditi,6,1,u+kraditi (13)
nervirati,6,1,iz+nervirati (2)
luditi,6,1,po+luditi (2)
zbuniti,6,1,u+zbuniti (1)
masirati,6,1,u+masirati (1)
zasti,5,1,na+zasti (2)
dosetiti,5,1,pre+dosetiti (2)
peciti,5,1,po+peciti (1)
šišati,5,1,o+šišati (1)
temeljiti,5,1,u+temeljiti (3)
otisnuti,5,1,pr+otisnuti (2)
zvoniti,5,1,za+zvoniti (8)
lediti,5,1,s+lediti (220)
zbiti,5,1,su+zbiti (10)
hrabriti,5,1,o+hrabriti (60)
raniti,5,1,po+raniti (2)
pljačkati,5,1,o+pljačkati (9)
ograđivati,5,1,nad+ograđivati (14)
pući,5,1,ras+pući (1)
dičiti,5,1,pro+dičiti (1)
imа,5,1,pr+imа (3)
planuti,4,1,pre+planuti (4)
curiti,4,1,pro+curiti (3)
mudriti,4,1,nad+mudriti (4)
tariti,4,1,s+tariti (2)
lepati,4,1,pre+lepati (13)
