base_verb,base_frequency,derivatives_count,derivatives_examples
graditi,368,8,iz+graditi (303); u+graditi (53); sa+graditi (46); na+graditi (31); o+graditi (8); raz+graditi (5); nad+graditi (1); pre+graditi (1)
stati,141,8,po+stati (1786); o+stati (816); na+stati (570); sa+stati (322); pre+stati (217); pri+stati (46); u+stati (35); za+stati (18)
teći,92,8,s+teći (421); pro+teći (95); po+teći (55); za+teći (41); pri+teći (6); pre+teći (5); o+teći (2); u+teći (1)
baciti,55,8,pre+baciti (84); od+baciti (78); u+baciti (44); iz+baciti (31); na+baciti (5); za+baciti (2); do+baciti (2); pod+baciti (1)
terati,27,8,na+terati (55); o+terati (8); pro+terati (6); pre+terati (2); do+terati (2); pri+terati (1); ras+terati (1); u+terati (1)
maći,22,8,od+maći (10); iz+maći (5); pro+maći (4); po+maći (4); pri+maći (2); za+maći (2); s+maći (1); u+maći (1)
mati,7,8,pri+mati (215); uz+mati (25); pre+mati (4); u+mati (3); s+mati (2); o+mati (2); iz+mati (1); na+mati (1)
seći,2,8,do+seći (23); o+seći (6); po+seći (4); od+seći (3); u+seći (3); pre+seći (3); sa+seći (2); pod+seći (2)
kidati,2,8,u+kidati (35); pre+kidati (24); s+kidati (21); ras+kidati (6); po+kidati (3); ot+kidati (2); do+kidati (2); o+kidati (1)
niti,1,8,do+niti (13); pod+niti (11); s+niti (3); iz+niti (3); od+niti (3); na+niti (1); pre+niti (1); raz+niti (1)
govoriti,1638,7,od+govoriti (376); do+govoriti (114); iz+govoriti (44); pro+govoriti (25); u+govoriti (23); na+govoriti (4); pri+govoriti (2)
baviti,1469,7,o+baviti (385); na+baviti (116); pri+baviti (46); za+baviti (32); iz+baviti (6); do+baviti (1); pro+baviti (1)
vršiti,770,7,za+vršiti (810); iz+vršiti (461); do+vršiti (51); na+vršiti (15); po+vršiti (3); pre+vršiti (1); sa+vršiti (1)
viditi,255,7,u+viditi (32); pred+viditi (27); s+viditi (4); iz+viditi (2); za+viditi (2); pro+viditi (1); pre+viditi (1)
praviti,255,7,na+praviti (817); po+praviti (79); pre+praviti (4); o+praviti (2); pri+praviti (2); ras+praviti (1); u+praviti (1)
zvati,247,7,po+zvati (326); sa+zvati (140); na+zvati (99); pro+zvati (7); pri+zvati (4); do+zvati (3); za+zvati (1)
učiti,238,7,na+učiti (400); ob+učiti (31); pro+učiti (29); v+učiti (19); po+učiti (4); pod+učiti (3); iz+učiti (2)
stavljati,221,7,pred+stavljati (2675); po+stavljati (386); na+stavljati (385); o+stavljati (156); do+stavljati (110); sa+stavljati (26); pre+stavljati (3)
uzimati,173,7,za+uzimati (161); pre+uzimati (139); pred+uzimati (99); od+uzimati (41); pod+uzimati (9); iz+uzimati (5); ob+uzimati (2)
meriti,121,7,po+meriti (50); iz+meriti (21); od+meriti (6); za+meriti (5); na+meriti (4); raz+meriti (2); pri+meriti (1)
stupati,48,7,na+stupati (164); za+stupati (107); po+stupati (95); pri+stupati (58); od+stupati (23); u+stupati (7); pre+stupati (1)
puniti,27,7,po+puniti (123); na+puniti (51); do+puniti (44); pre+puniti (4); sa+puniti (1); pod+puniti (1); s+puniti (1)
letiti,22,7,u+letiti (3); s+letiti (3); pre+letiti (2); na+letiti (2); od+letiti (1); pro+letiti (1); iz+letiti (1)
lažiti,16,7,od+lažiti (32); raz+lažiti (7); u+lažiti (7); iz+lažiti (5); po+lažiti (2); za+lažiti (2); v+lažiti (2)
siti,9,7,pre+siti (7); pri+siti (6); pro+siti (3); za+siti (2); do+siti (1); pr+siti (1); o+siti (1)
miriti,5,7,s+miriti (30); po+miriti (27); iz+miriti (12); u+miriti (9); pod+miriti (8); na+miriti (2); pri+miriti (1)
seti,2,7,pod+seti (17); pre+seti (10); po+seti (5); u+seti (3); do+seti (2); od+seti (1); pri+seti (1)
metati,1,7,na+metati (82); o+metati (39); s+metati (20); nad+metati (14); u+metati (3); za+metati (2); raz+metati (1)
staniti,1,7,o+staniti (15); po+staniti (13); pre+staniti (9); na+staniti (7); u+staniti (1); sa+staniti (1); pri+staniti (1)
činiti,1856,6,u+činiti (834); po+činiti (82); sa+činiti (43); na+činiti (27); za+činiti (20); pri+činiti (8)
pratiti,1050,6,pro+pratiti (8); o+pratiti (5); za+pratiti (3); po+pratiti (1); do+pratiti (1); s+pratiti (1)
vratiti,691,6,po+vratiti (56); uz+vratiti (30); s+vratiti (26); od+vratiti (14); na+vratiti (1); pre+vratiti (1)
igrati,607,6,od+igrati (144); raz+igrati (7); za+igrati (6); po+igrati (3); nad+igrati (3); iz+igrati (1)
stići,448,6,po+stići (403); do+stići (138); pri+stići (46); pod+stići (13); pre+stići (1); su+stići (1)
držati,319,6,o+držati (965); sa+držati (931); po+držati (620); za+držati (237); iz+držati (59); uz+držati (18)
javiti,165,6,ob+javiti (680); iz+javiti (624); pri+javiti (618); po+javiti (356); na+javiti (268); od+javiti (26)
stupiti,154,6,pri+stupiti (317); na+stupiti (129); po+stupiti (50); u+stupiti (36); od+stupiti (14); za+stupiti (1)
držiti,105,6,za+držiti (66); o+držiti (18); po+držiti (18); pri+držiti (1); pro+držiti (1); iz+držiti (1)
kriti,97,6,ot+kriti (563); po+kriti (86); sa+kriti (51); pre+kriti (13); pri+kriti (7); s+kriti (1)
sećati,80,6,o+sećati (480); pod+sećati (232); pri+sećati (29); sa+sećati (1); po+sećati (1); pre+sećati (1)
jesti,72,6,po+jesti (9); s+jesti (5); pre+jesti (2); u+jesti (1); ob+jesti (1); v+jesti (1)
vladati,67,6,sa+vladati (116); o+vladati (27); pre+vladati (12); nad+vladati (8); za+vladati (8); s+vladati (2)
bivati,65,6,do+bivati (35); pro+bivati (7); pre+bivati (4); raz+bivati (3); iz+bivati (1); u+bivati (1)
