base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
vući,zavući,za,6,368
risati,obrisati,ob,6,43
puštati,prepuštati,pre,43,12
rediti,urediti,u,20,124
nositi,iznositi,iz,599,693
buditi,uzbuditi,uz,154,360
hvaliti,zahvaliti,za,11,300
nositi,unositi,u,599,100
siliti,prisiliti,pri,8,10
ostati,preostati,pre,816,3
baciti,ubaciti,u,55,44
ložiti,odložiti,od,1,49
kazati,prikazati,pri,1983,294
uzimati,obuzimati,ob,173,2
maknuti,odmaknuti,od,233,1
viknuti,doviknuti,do,897,1
voditi,izvoditi,iz,1418,261
držati,uzdržati,uz,319,18
pisati,upisati,u,458,143
očarati,razočarati,raz,14,9
dirati,prodirati,pro,9,6
baviti,nabaviti,na,1469,116
javiti,prijaviti,pri,165,618
stajati,zastajati,za,397,5
reći,izreći,iz,2822,35
davati,izdavati,iz,791,150
plakati,zaplakati,za,15,323
biti,probiti,pro,197977,24
kazivati,prikazivati,pri,3,460
slušati,saslušati,sa,222,32
stajati,nastajati,na,397,206
setiti,prisetiti,pri,51,10
nuditi,prinuditi,pri,1292,2
vući,odvući,od,6,3
seći,preseći,pre,2,3
morati,primorati,pri,3422,14
gurnuti,odgurnuti,od,9,3
moriti,odmoriti,od,2,23
maknuti,primaknuti,pri,233,301
mrštiti,namrštiti,na,147,300
baciti,dobaciti,do,55,2
laziti,zalaziti,za,1,11
uzimati,zauzimati,za,173,161
vijati,razvijati,raz,2,630
kupiti,sakupiti,sa,395,41
živeti,preživeti,pre,1216,154
pamtiti,zapamtiti,za,83,37
seliti,preseliti,pre,10,54
disati,uzdisati,uz,31,288
kazivati,dokazivati,do,3,70
maknuti,izmaknuti,iz,233,1
ćutati,ućutati,u,1851,1
vršiti,dovršiti,do,770,51
hapsiti,uhapsiti,u,9,23
krstiti,prekrstiti,pre,6,2
lagati,izlagati,iz,10,114
glasiti,proglasiti,pro,90,112
držati,sadržati,sa,319,931
micati,odmicati,od,1,9
vladati,zavladati,za,67,8
ključati,zaključati,za,2,16
viđati,uviđati,u,36,15
šaputati,prošaputati,pro,4,273
ticati,uticati,u,471,849
ćutati,zaćutati,za,1851,2
micati,izmicati,iz,1,5
dahnuti,udahnuti,u,22,8
nalaziti,pronalaziti,pro,3554,77
raditi,zaraditi,za,4247,56
širiti,proširiti,pro,163,220
sticati,podsticati,pod,185,201
tumačiti,protumačiti,pro,73,11
meriti,odmeriti,od,121,6
radovati,obradovati,ob,93,35
brisati,izbrisati,iz,68,72
graditi,sagraditi,sa,368,46
pisati,zapisati,za,458,22
graditi,izgraditi,iz,368,303
padati,upadati,u,106,8
šetati,prošetati,pro,37,26
ljutiti,naljutiti,na,18,4
videti,uvideti,u,1518,34
zvoniti,zazvoniti,za,5,8
živeti,proživeti,pro,1216,11
trčati,dotrčati,do,16,2
juriti,odjuriti,od,14,247
služiti,zaslužiti,za,443,32
slediti,uslediti,u,220,155
spraviti,uspraviti,u,33,2
voleti,izvoleti,iz,483,1
viti,saviti,sa,221,3
sretati,susretati,su,54,125
ostajati,preostajati,pre,453,24
tiskati,pritiskati,pri,115,1
gledati,sagledati,sa,392,111
drhtati,zadrhtati,za,983,2
videti,zavideti,za,1518,1
beležiti,zabeležiti,za,124,107
micati,promicati,pro,1,8
stupiti,nastupiti,na,154,129
padati,napadati,na,106,22
pamtiti,upamtiti,u,83,2
nuti,prenuti,pre,4,1
vijati,savijati,sa,2,4
gledati,razgledati,raz,392,13
stati,sastati,sa,141,322
disati,udisati,u,31,17
uhvatiti,obuhvatiti,ob,79,169
tešiti,utešiti,u,3,1
oružati,naoružati,na,11,3
goniti,progoniti,pro,10,7
blažiti,ublažiti,u,1,37
voditi,prevoditi,pre,1418,39
izvoditi,proizvoditi,pro,261,378
mucati,promucati,pro,188,218
robiti,zarobiti,za,1,11
desiti,udesiti,u,338,2
desiti,zadesiti,za,338,23
umiti,naumiti,na,4,3
ticati,doticati,do,471,18
stajati,sastajati,sa,397,29
sećati,prisećati,pri,80,29
kloniti,zakloniti,za,4,212
micati,primicati,pri,1,3
saditi,dosaditi,do,9,9
počinjati,započinjati,za,468,99
goniti,nagoniti,na,10,1
gušiti,ugušiti,u,12,9
rediti,prirediti,pri,20,48
slaviti,proslaviti,pro,118,92
metati,nametati,na,1,82
puštati,propuštati,pro,43,20
turati,preturati,pre,2,1
razumevati,podrazumevati,pod,7,605
pasti,zapasti,za,108,16
činiti,sačiniti,sa,1856,43
roniti,izroniti,iz,5,4
sporiti,usporiti,u,7,31
vraćati,uzvraćati,uz,253,2
teći,proteći,pro,92,95
valiti,prevaliti,pre,29,3
žmuriti,zažmuriti,za,2,2
bledeti,prebledeti,pre,153,197
ići,razići,raz,644,9
motati,umotati,u,1,1
slikati,naslikati,na,18,5
rezati,urezati,u,1,5
gušiti,prigušiti,pri,12,3
glasiti,naglasiti,na,90,709
vesti,zavesti,za,11,6
grejati,zagrejati,za,15,10
ceniti,proceniti,pro,27,108
okupiti,zaokupiti,za,283,3
padati,propadati,pro,106,14
valiti,provaliti,pro,29,4
krasiti,ukrasiti,u,60,10
viriti,proviriti,pro,1,187
skočiti,preskočiti,pre,48,30
moriti,umoriti,u,2,5
miti,umiti,u,3,4
riti,zariti,za,75,7
čekati,pričekati,pri,348,13
ložiti,uložiti,u,1,204
raditi,izraditi,iz,4247,242
upreti,odupreti,od,164,9
nositi,zanositi,za,599,1
viti,uviti,u,221,2
piti,napiti,na,59,3
plaviti,preplaviti,pre,4,7
kloniti,nakloniti,na,4,181
domisliti,predomisliti,pre,1,10
klanjati,zaklanjati,za,4,4
žeti,prožeti,pro,1995,8
ticati,proticati,pro,471,30
nositi,prinositi,pri,599,8
trčati,pritrčati,pri,16,177
deliti,dodeliti,do,227,105
uzdati,obuzdati,ob,3,9
maknuti,promaknuti,pro,233,176
uzimati,oduzimati,od,173,41
seći,odseći,od,2,3
javiti,najaviti,na,165,268
slediti,naslediti,na,220,21
govoriti,nagovoriti,na,1638,4
kovati,prikovati,pri,2,172
interesovati,zainteresovati,za,42,16
poručiti,preporučiti,pre,319,82
mešati,izmešati,iz,49,8
ložiti,naložiti,na,1,25
moći,domoći,do,17189,2
valiti,zavaliti,za,29,1
davati,pridavati,pri,791,40
boleti,razboleti,raz,5,9
brzati,ubrzati,u,22,111
pustiti,upustiti,u,126,25
šiti,sušiti,su,1,23
pasti,pripasti,pri,108,57
dužiti,zadužiti,za,6,16
koračiti,zakoračiti,za,9,15
skakati,preskakati,pre,6,2
vraćati,odvraćati,od,253,2
zvati,dozvati,do,247,3
ljubiti,priljubiti,pri,8,162
terati,doterati,do,27,2
pevati,zapevati,za,62,1
seliti,naseliti,na,10,16
maknuti,umaknuti,u,233,159
groziti,ugroziti,u,1,79
vijati,uvijati,u,2,2
viti,izviti,iz,221,156
dati,zadati,za,1431,34
valiti,navaliti,na,29,156
plašiti,preplašiti,pre,81,3
voditi,odvoditi,od,1418,15
vući,provući,pro,6,4
davati,udavati,u,791,1
loviti,uloviti,u,8,4
kopati,zakopati,za,11,6
stupiti,pristupiti,pri,154,317
stavljati,sastavljati,sa,221,26
pomenuti,napomenuti,na,132,152
jesti,ujesti,u,72,1
pisati,prepisati,pre,458,6
pisati,pripisati,pri,458,19
puštati,upuštati,u,43,8
baciti,zabaciti,za,55,2
skratiti,uskratiti,u,25,24
kucati,zakucati,za,7,3
boleti,zaboleti,za,5,1
kačiti,zakačiti,za,1,6
davati,zadavati,za,791,4
diviti,zadiviti,za,19,7
krcati,ukrcati,u,8,9
porediti,uporediti,u,16,82
leteti,naleteti,na,3,4
baviti,zabaviti,za,1469,32
pasti,prepasti,pre,108,145
lupiti,zalupiti,za,1,144
stupati,nastupati,na,48,164
vijati,izvijati,iz,2,144
lagati,nalagati,na,10,31
hoditi,uhoditi,u,164,1
crtati,nacrtati,na,21,10
dati,uzdati,uz,1431,3
spavati,uspavati,u,356,1
lagati,odlagati,od,10,21
trebati,zatrebati,za,4679,24
učiti,proučiti,pro,238,29
vijati,zavijati,za,2,3
roniti,uroniti,u,5,9
igrati,zaigrati,za,607,6
daviti,udaviti,u,12,3
stizati,pristizati,pri,184,13
lutati,zalutati,za,9,5
tovariti,natovariti,na,2,1
ustajati,odustajati,od,12,41
lepiti,zalepiti,za,9,11
vući,razvući,raz,6,2
secati,presecati,pre,1,3
vesti,privesti,pri,11,28
obići,zaobići,za,170,38
jahati,uzjahati,uz,568,135
svući,presvući,pre,237,134
baviti,izbaviti,iz,1469,6
topiti,utopiti,u,15,6
kupiti,prikupiti,pri,395,108
udarati,zaudarati,za,14,134
bledeti,izbledeti,iz,153,9
biti,nabiti,na,197977,5
setiti,dosetiti,do,51,5
mašiti,promašiti,pro,1,6
ticati,zaticati,za,471,3
kopati,ukopati,u,11,1
čuti,pročuti,pro,517,1
skočiti,odskočiti,od,48,1
dražiti,razdražiti,raz,6,131
živiti,doživiti,do,45,31
siti,prositi,pro,9,3
voleti,zavoleti,za,483,5
teći,uteći,u,92,1
voditi,uvoditi,u,1418,149
vući,dovući,do,6,3
imati,nadimati,nad,11939,1
prineti,doprineti,do,1,730
dubiti,udubiti,u,2,1
trljati,protrljati,pro,2,129
ćutati,prećutati,pre,1851,1
gaziti,pregaziti,pre,3,4
tisnuti,utisnuti,u,7,128
strašiti,prestrašiti,pre,1,1
trpati,zatrpati,za,1,2
lečiti,izlečiti,iz,47,13
stremiti,ustremiti,u,17,1
kinuti,ukinuti,u,25,75
dobiti,zadobiti,za,2440,26
nositi,nanositi,na,599,85
zboriti,prozboriti,pro,3,2
ličiti,priličiti,pri,51,6
stupiti,ustupiti,u,154,36
činiti,pričiniti,pri,1856,8
mrgoditi,namrgoditi,na,12,123
koračiti,prekoračiti,pre,9,14
graditi,nagraditi,na,368,31
živiti,preživiti,pre,45,4
dahnuti,izdahnuti,iz,22,1
valiti,izvaliti,iz,29,122
pustiti,zapustiti,za,126,121
uzeti,izuzeti,iz,218,13
ostati,zaostati,za,816,4
mrsiti,zamrsiti,za,2,120
padati,zapadati,za,106,4
biti,zabiti,za,197977,2
drhtati,uzdrhtati,uz,983,119
udarati,odudarati,od,14,6
kopati,dokopati,do,11,3
noćiti,prenoćiti,pre,33,1
krstiti,ukrstiti,u,6,4
viriti,zaviriti,za,1,9
metati,razmetati,raz,1,1
pušiti,zapušiti,za,15,1
poručivati,preporučivati,pre,66,354
braniti,odbraniti,od,99,83
goreti,izgoreti,iz,1,9
ostati,izostati,iz,816,31
zvati,prizvati,pri,247,4
vesti,razvesti,raz,11,6
gledati,nadgledati,nad,392,51
terati,preterati,pre,27,2
vratiti,navratiti,na,691,1
izvesti,proizvesti,pro,196,132
nervirati,iznervirati,iz,6,2
kasniti,zakasniti,za,15,5
bacati,razbacati,raz,40,110
likovati,oblikovati,ob,133,93
micati,uzmicati,uz,1,2
gomilati,nagomilati,na,7,3
snovati,zasnovati,za,41,22
viti,priviti,pri,221,109
kazati,zakazati,za,1983,53
zvati,prozvati,pro,247,7
prezati,naprezati,na,3,109
manuti,obmanuti,ob,133,3
viditi,uviditi,u,255,32
tajiti,pritajiti,pri,1,108
birati,prebirati,pre,297,1
gađati,nagađati,na,10,2
srnuti,nasrnuti,na,23,4
meriti,zameriti,za,121,5
tražiti,pretražiti,pre,1086,26
uzimati,preuzimati,pre,173,139
sititi,zasititi,za,18,106
sipati,prosipati,pro,23,1
držati,pridržati,pri,319,104
letiti,izletiti,iz,22,1
važiti,odvažiti,od,232,11
pretiti,zapretiti,za,90,10
varati,zavarati,za,14,5
praviti,upraviti,u,255,1
vezati,privezati,pri,26,2
brusiti,odbrusiti,od,3,102
liti,obliti,ob,1,102
hraniti,nahraniti,na,29,7
prljati,uprljati,u,2,1
seliti,useliti,u,10,6
uzrokovati,prouzrokovati,pro,104,72
upirati,odupirati,od,3,99
drmati,prodrmati,pro,3,6
magliti,zamagliti,za,124,99
liti,uliti,u,1,9
putovati,doputovati,do,235,19
žaliti,sažaliti,sa,55,1
seliti,odseliti,od,10,4
moriti,zamoriti,za,2,1
tući,utući,u,31,97
viti,zaviti,za,221,97
kašljati,nakašljati,na,128,97
leteti,izleteti,iz,3,3
misliti,promisliti,pro,921,11
visiti,uzvisiti,uz,4,96
liti,zaliti,za,1,1
pratiti,propratiti,pro,1050,8
grliti,obgrliti,ob,2,1
računati,izračunati,iz,427,40
bivati,dobivati,do,65,35
prtiti,uprtiti,u,23,3
stupati,zastupati,za,48,107
rušiti,narušiti,na,17,27
valiti,uvaliti,u,29,2
baviti,pribaviti,pri,1469,46
maknuti,razmaknuti,raz,233,94
spavati,prespavati,pre,356,3
plašiti,zaplašiti,za,81,2
platiti,naplatiti,na,276,28
krutiti,ukrutiti,u,49,93
daviti,zadaviti,za,12,93
sipati,zasipati,za,23,2
vijati,previjati,pre,2,92
viknuti,priviknuti,pri,897,92
staviti,dostaviti,do,357,390
šaliti,našaliti,na,8,2
cediti,procediti,pro,99,1
mazati,namazati,na,1,6
dužiti,izdužiti,iz,6,91
vraćati,navraćati,na,253,1
gunđati,progunđati,pro,1,91
miriti,izmiriti,iz,5,12
roniti,zaroniti,za,5,6
poznavati,upoznavati,u,154,59
obratiti,preobratiti,pre,530,89
gledati,nagledati,na,392,2
moriti,premoriti,pre,2,89
uditi,nauditi,na,5,3
slepiti,zaslepiti,za,5,89
trpeti,pretrpeti,pre,89,69
biti,prebiti,pre,197977,1
vrteti,zavrteti,za,12,2
lagati,ulagati,u,10,208
juriti,dojuriti,do,14,1
užiti,odužiti,od,20,8
vući,podvući,pod,6,20
pečatiti,zapečatiti,za,12,87
dirati,razdirati,raz,9,87
legati,razlegati,raz,4,87
želiti,zaželiti,za,67,1
terati,proterati,pro,27,6
mučiti,namučiti,na,33,86
gurati,ugurati,u,25,1
općiti,uopćiti,u,1,2
jahati,odjahati,od,568,86
jecati,zajecati,za,1,86
taknuti,nataknuti,na,65,85
metati,premetati,pre,1,85
snivati,zasnivati,za,1,214
listati,prelistati,pre,11,3
veseliti,razveseliti,raz,1,2
roditi,izroditi,iz,66,9
manjiti,umanjiti,u,232,52
leteti,odleteti,od,3,5
točiti,zatočiti,za,1,84
