infinitive_latin,frequency
drhtati,86
uživati,86
pojavljivati,86
daviti,86
preplašiti,85
privući,85
zatražiti,85
razgledati,85
nastojati,85
osvrtati,84
izneti,84
uleteti,84
dopasti,84
ponašati,83
podneti,83
goreti,83
ispostaviti,82
dignuti,82
zapevati,82
prošaptati,82
obesiti,82
istrčati,82
stanovati,82
razmisliti,82
lečiti,82
postavljati,81
izraziti,81
skrenuti,81
gaziti,81
ukazati,81
odbijati,81
mahnuti,80
udaljiti,80
patiti,80
opisati,79
računati,79
zagrliti,79
potvrditi,79
ubijati,79
uspevati,78
uzvratiti,78
boliti,78
ćutjeti,78
kupovati,77
zatvarati,77
uvući,77
požuriti,77
nuditi,76
propustiti,76
uzviknuti,76
savetovati,76
zameniti,76
dospeti,76
izgovarati,75
varati,75
utvrditi,75
ispitivati,75
rađati,74
pričekati,74
sklopiti,74
zavladati,74
probijati,74
izbegavati,74
radovati,74
poslužiti,74
zaustavljati,74
ustajati,74
preseći,73
zamišljati,73
porazgovarati,73
ploviti,73
pominjati,73
sipati,73
podnositi,73
iščeznuti,72
saopštiti,72
peći,72
zaprepastiti,72
zadrhtati,72
beležiti,72
viriti,72
umešati,72
dopadati,72
odvajati,72
krstiti,72
interesovati,71
poveriti,71
objašnjavati,71
potražiti,71
trošiti,71
plaćati,70
šaliti,70
skupljati,70
vezivati,70
izražavati,69
viđati,69
ispisati,69
odbaciti,69
predstaviti,69
nabaviti,68
obradovati,68
položiti,68
doživeti,68
skloniti,68
bolovati,68
uzdahnuti,67
zavisiti,67
zvučiti,67
napiti,67
prodavati,66
tresti,66
osluškivati,66
privlačiti,66
nasloniti,65
duvati,65
naljutiti,65
uzvikivati,65
šapnuti,65
obećavati,65
obilaziti,65
svetlucati,64
otpočeti,64
raspitivati,64
zapaziti,64
izložiti,64
sviđati,64
urlati,64
uvesti,64
glasiti,64
lomiti,64
podeliti,64
podsećati,63
izvlačiti,63
prestajati,63
utonuti,63
pristajati,63
izvoditi,63
zapitati,63
dopuštati,63
rušiti,63
ućutati,62
povezati,62
pregledati,62
doputovati,61
trljati,61
produžiti,61
psovati,61
povlačiti,61
pritisnuti,61
delovati,61
upisati,60
sijati,60
dreknuti,60
primećivati,60
iskoristiti,60
nailaziti,60
zaurlati,60
popraviti,60
razlikovati,60
rastati,60
raniti,60
slediti,60
grditi,59
seliti,59
ispraviti,59
oterati,59
zadržavati,59
gušiti,59
polaziti,59
smisliti,59
opraštati,59
slutiti,59
pokrenuti,58
zanimati,58
dogovoriti,58
obavestiti,58
brojati,58
poštovati,58
poslušati,58
trpeti,57
pomeriti,57
namrštiti,57
čistiti,57
obrisati,57
odjeknuti,57
posetiti,57
vaditi,57
priznavati,57
micati,57
mrziti,57
doznati,57
klanjati,56
upaliti,56
zaključati,56
zaćutati,56
preživeti,56
kleti,56
žmirkati,56
prati,56
ubediti,56
prenositi,56
zabraniti,55
pridružiti,55
zaplakati,55
zavući,55
pomenuti,55
uvideti,55
ostvariti,55
sumnjati,55
urediti,55
šaptati,55
napasti,55
razići,54
ukazivati,54
jurnuti,54
ručati,54
lebdeti,54
birati,54
ukrasti,54
izmisliti,54
unositi,54
ispratiti,54
obići,54
upamtiti,54
pripremati,54
zazvoniti,53
isticati,53
trgnuti,53
letiti,53
odvući,53
progutati,53
održavati,53
pobediti,53
nagnuti,53
dovršiti,53
dograbiti,53
prevesti,52
ispunjavati,52
dokazati,52
skakati,52
mrštiti,52
proživeti,52
naređivati,52
preklinjati,52
posvetiti,52
odrediti,52
poginuti,52
dobaciti,52
upasti,51
oteti,51
iznositi,51
zvoniti,51
popustiti,51
potpisati,51
navući,51
sagraditi,51
letjeti,51
sprečiti,51
blistati,51
zamahnuti,51
dosađivati,51
praštati,51
sakupiti,51
razviti,51
podrhtavati,50
pljunuti,50
prikazati,50
dovoditi,50
maštati,50
progunđati,50
brisati,50
puniti,50
osvojiti,50
upravljati,50
ceniti,50
prevoditi,50
večerati,50
isključiti,49
lutati,49
muvati,49
penjati,49
navaliti,49
okupiti,49
premestiti,49
prisustvovati,49
dirati,49
hvaliti,49
odigrati,49
naleteti,49
dokazivati,49
pridržavati,48
otrčati,48
naslikati,48
kidati,48
ubaciti,48
opaliti,48
rešavati,48
probati,48
poigravati,48
izbijati,48
snaći,48
upadati,48
nazirati,48
vrtjeti,48
uticati,48
pokretati,48
ispiti,48
osvetljavati,48
promicati,47
ustuknuti,47
oduzeti,47
uzdržati,47
umoriti,47
zapamtiti,47
presijavati,47
vešati,47
zbunjivati,47
okačiti,47
prekrstiti,46
dopreti,46
mariti,46
zaraditi,46
povratiti,46
zahvaliti,46
nedostajati,46
topiti,46
natovariti,46
prikazivati,46
vređati,46
pritrčati,46
izleteti,46
kucati,46
ukrasiti,45
odazvati,45
grejati,45
pomiriti,45
pozdravljati,45
zgrabiti,45
otimati,45
podmetnuti,45
poverovati,45
rastajati,45
sastojati,44
sretati,44
prepustiti,44
loviti,44
izgraditi,44
savijati,44
pripremiti,44
srediti,44
jecati,44
poludeti,44
dunuti,44
dovući,44
pretiti,44
dodirnuti,44
zaći,44
odati,44
slikati,44
umirivati,44
skakutati,43
škripati,43
dodirivati,43
namignuti,43
treptati,43
udati,43
zavaliti,43
skidjeti,43
isterati,43
napuniti,43
tešiti,43
ispružiti,42
ispadati,42
izustiti,42
osmehivati,42
pevušiti,42
okružiti,42
razabrati,42
zaviriti,42
buniti,42
preteći,42
zakačiti,42
resiti,42
zakucati,42
hitati,42
udesiti,42
kupati,42
porasti,42
slegati,41
namestiti,41
počivati,41
čestitati,41
pomoliti,41
postići,41
iskočiti,41
važiti,41
izvinjavati,41
opisivati,41
ushititi,41
zalupiti,41
plivati,41
oblačiti,41
iskriviti,41
skideti,41
zaneti,41
zanositi,41
dočekivati,41
skrivati,41
opasati,40
zadovoljiti,40
uzbuđivati,40
potresti,40
razlegati,40
raspravljati,40
gunđati,40
odjuriti,40
kružiti,40
razboleti,40
