base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
gledati,izgledati,iz,38194575,82730
činiti,učiniti,u,38194575,3112
pitati,upitati,u,38194575,2190
govoriti,odgovoriti,od,38194575,881
laziti,nalaziti,na,38194575,757
laziti,dolaziti,do,38194575,493
staviti,nastaviti,na,38194575,153
gubiti,izgubiti,iz,38194575,149
biti,dobiti,do,38194575,118
laziti,odlaziti,od,1657248,9884
boraviti,zaboraviti,za,1657248,2779
laziti,prolaziti,pro,1657248,1258
vršiti,završiti,za,1657248,1339
stati,ustati,u,1657248,1054
dati,dodati,do,1657248,366
naći,pronaći,pro,1657248,530
praviti,napraviti,na,1657248,122
goditi,dogoditi,do,1501894,9023
lučiti,odlučiti,od,1501894,1468
ustaviti,zaustaviti,za,1501894,1049
gledati,ugledati,u,1501894,1270
znati,saznati,sa,1501894,222
laziti,izlaziti,iz,1501894,280
raditi,uraditi,u,1501894,104
biti,ubiti,u,1289935,709
tvoriti,zatvoriti,za,1289935,549
misliti,zamisliti,za,814165,72735
stati,prestati,pre,814165,142
pisati,napisati,na,801113,5507
vući,izvući,iz,801113,8591
čitati,pročitati,pro,801113,1772
vesti,provesti,pro,801113,2624
ići,izići,iz,801113,5045
buditi,probuditi,pro,801113,1140
vratiti,odvratiti,od,801113,219
kinuti,prekinuti,pre,801113,819
pustiti,napustiti,na,801113,698
držati,zadržati,za,801113,102
znati,priznati,pri,729950,2143
laziti,ulaziti,u,729950,2848
učiti,naučiti,na,729950,6710
miti,primiti,pri,729950,5270
vesti,dovesti,do,729950,621
padati,pripadati,pri,729950,290
putiti,uputiti,u,729950,1109
vesti,odvesti,od,729950,118
veriti,uveriti,u,729950,113
stati,zastati,za,718034,7092
stavljati,nastavljati,na,718034,698
viknuti,uzviknuti,uz,718034,1813
imati,uzimati,uz,718034,443
tvoriti,pretvoriti,pre,718034,125
teći,zateći,za,718034,219
smejati,nasmejati,na,718034,127
rediti,odrediti,od,688489,4753
dati,predati,pre,688489,1639
laziti,prelaziti,pre,688489,2414
