infinitive_latin,frequency
biti,4941
hteti,378
početi,280
reći,264
moći,223
već,214
samo,195
mnogo,183
odgovoriti,171
tako,166
znati,159
još,153
upitati,147
videti,133
odmah,125
govoriti,121
nemati,118
imati,111
sada,109
tada,106
gde,99
trebati,83
sedeti,83
doći,81
tu,81
pojaviti,79
onda,79
povikati,78
ponovo,77
tamo,75
čuti,68
dobro,67
otvoriti,67
potpuno,65
malo,64
ipak,63
morati,62
moliti,60
upravo,60
nestati,59
zašto,59
pomisliti,58
vidjeti,58
sasvim,58
razumeti,56
najednom,54
okrenuti,53
otići,53
ugledati,53
shvatiti,52
ovde,51
vratiti,49
uopšte,49
krenuti,49
stajati,48
pogledati,48
put,47
progovoriti,47
nalaziti,47
tiho,47
kazati,46
značiti,46
izvući,45
daleko,43
uspeti,43
baciti,43
shvatati,42
uzvikan,41
ostati,41
osmehnuti,40
možda,40
naći,40
dati,39
kako,39
koliko,39
nikada,38
nekako,38
raditi,38
začuti,38
nastaviti,36
postojati,36
ući,36
tačno,35
nekoliko,35
učiniti,35
gledati,35
dizati,35
brzo,35
ići,35
jednostavno,34
toliko,34
pozvati,34
želeti,33
jako,33
pričati,33
juče,33
uhvatiti,33
stići,32
veoma,32
ustati,32
iznenada,31
verovati,31
dodaditi,31
telefonirati,31
držati,30
misliti,30
nikako,29
ležati,29
postati,29
dešavati,28
pokušati,28
izviniti,28
opet,28
osećati,28
pasti,28
pokazati,28
živeti,27
posmatrati,27
odista,27
zamisliti,27
kasno,26
pisati,26
zamoliti,26
sećati,26
narediti,26
desiti,26
danas,26
željeti,25
dobiti,25
proći,25
isto,25
zapanjiti,25
pustiti,25
smiriti,24
začuditi,24
objasniti,24
ovamo,24
uzeti,24
kada,23
osetiti,23
prestati,23
zaustaviti,23
poznavati,23
stati,23
predati,23
jasno,23
izaći,23
razgovarati,22
napisati,22
teško,22
takođe,22
prošaptati,22
zaboraviti,22
odlično,22
napustiti,22
jednom,21
činiti,21
jedva,21
slušati,21
setiti,21
odakle,21
staviti,21
vikati,21
uostalom,21
očigledno,21
počinjati,20
zatvoriti,20
izgovoriti,20
međutim,20
skidati,20
zajedno,20
pola,20
izgubiti,20
posle,20
zaista,20
osvrnuti,19
nositi,19
spustiti,19
zato,19
bojati,19
lupiti,19
zbuniti,19
obratiti,19
sručiti,19
promrmljati,19
pružiti,19
truditi,19
tržati,19
uznemiriti,19
dugo,19
ispričati,19
negde,19
mrmljati,19
pokazivati,18
dopustiti,18
ostaviti,18
strpati,18
odlučiti,18
prvo,18
podizati,18
uleteti,18
zagledati,18
poslati,17
oko,17
uraditi,17
smatrati,17
praviti,17
sad,17
mirno,17
sigurno,17
voditi,17
tražiti,17
potrčati,17
skočiti,17
pažljivo,16
živjeti,16
prekinuti,16
izvoleti,16
juriti,16
svakako,16
stalno,16
prekriti,16
smestiti,16
izvesti,16
pomoći,16
odgovarati,16
lično,16
promeniti,16
neočekivano,16
razmišljati,16
poći,16
dospeti,15
uvek,15
priznati,15
potvrditi,15
voleti,15
doneti,15
objaviti,15
pronaći,15
smeškati,15
pojuriti,15
čekati,15
pokušavati,15
konačno,15
istovremeno,14
dosta,14
oprostiti,14
ponavljati,14
mučiti,14
postaviti,14
šaputati,14
dovesti,14
beh,14
padati,14
preći,14
urlati,14
piti,14
saznati,13
skinuti,13
složiti,13
stezati,13
potom,13
lako,13
dolaziti,13
pitati,13
ubiti,13
umreti,13
uistinu,13
kuda,13
kretati,13
sediti,13
odvesti,13
ulaziti,13
zvati,13
zaurlati,13
završiti,13
počesiti,12
pobeći,12
učtivo,12
varati,12
čuditi,12
preplašiti,12
smejati,12
ponoviti,12
gore,12
uputiti,12
pratiti,12
udariti,12
izlaziti,12
savladati,12
čuvati,12
odleteti,12
tužno,12
izvršiti,12
dopadati,12
gubiti,12
zaključiti,12
čitati,12
obraćati,12
ukratko,12
primiti,12
zatražiti,11
izuzetno,11
valjati,11
ticati,11
odavno,11
lagati,11
ovako,11
ponekad,11
žaliti,11
pročitati,11
prići,11
ličiti,11
visiti,11
zaprepastiti,11
ugasiti,11
nastupiti,11
približavati,11
očekivati,11
uzvikivati,11
nazad,11
uzbuditi,11
