base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
motriti,razmotriti,raz,339,513
pasti,upasti,u,19608,511
kidati,prekidati,pre,752,501
dirnuti,dodirnuti,do,241,501
gutati,progutati,pro,738,501
uzeti,oduzeti,od,24680,496
širiti,proširiti,pro,1331,488
viti,saviti,sa,2431,487
vesti,prevesti,pre,539,486
pisati,upisati,u,26386,483
staviti,dostaviti,do,15573,481
davati,izdavati,iz,22346,477
poručivati,preporučivati,pre,186,471
stupiti,pristupiti,pri,2866,470
mahnuti,odmahnuti,od,869,469
sticati,podsticati,pod,402,468
uzimati,zauzimati,za,9133,456
nositi,unositi,u,57916,456
vijati,savijati,sa,722,454
vrediti,uvrediti,u,623,449
slutiti,naslutiti,na,536,446
baviti,nabaviti,na,7505,445
živeti,preživeti,pre,17078,443
paziti,zapaziti,za,2254,442
javiti,najaviti,na,8457,442
reći,odreći,od,196862,440
tonuti,utonuti,u,319,438
taknuti,dotaknuti,do,195,436
desiti,udesiti,u,4832,434
krasti,ukrasti,u,330,429
raditi,izraditi,iz,64503,427
dizati,uzdizati,uz,3840,406
braniti,zabraniti,za,2279,404
slediti,uslediti,u,2533,401
hraniti,sahraniti,sa,1653,399
baciti,ubaciti,u,20423,397
ložiti,odložiti,od,874,397
uhvatiti,obuhvatiti,ob,5019,392
lagati,izlagati,iz,5866,392
stajati,pristajati,pri,48949,392
ložiti,uložiti,u,874,389
glasiti,proglasiti,pro,1250,389
kočiti,ukočiti,u,200,383
puštati,prepuštati,pre,4759,376
vući,navući,na,14834,375
vući,zavući,za,14834,368
piti,napiti,na,7435,367
sretati,susretati,su,778,367
reći,izreći,iz,196862,363
nositi,prinositi,pri,57916,362
buditi,uzbuditi,uz,1579,360
držati,uzdržati,uz,30029,358
stupiti,nastupiti,na,2866,357
ostati,preostati,pre,35199,357
kazivati,dokazivati,do,2838,354
gledati,sagledati,sa,135464,350
uzimati,obuzimati,ob,9133,350
očarati,razočarati,raz,130,348
maknuti,odmaknuti,od,1864,348
slušati,saslušati,sa,16590,347
viknuti,doviknuti,do,5382,346
nalaziti,pronalaziti,pro,17813,345
dirati,prodirati,pro,1149,343
beležiti,zabeležiti,za,988,343
