infinitive_latin,frequency
jevgeno,1
događati,1
pregraditi,1
deono,1
zaći,1
mesečno,1
spojiti,1
stvoriti,1
prelaziti,1
natrag,1
nailaziti,1
dirati,1
uzvratiti,1
noćas,1
navići,1
šioći,1
leći,1
zalepiti,1
nehotice,1
zaspati,1
sklopiti,1
osloboditi,1
šaletjeti,1
sjajno,1
zakaeniti,1
popravljati,1
podšišati,1
češljati,1
neosporno,1
izrecitivati,1
napamet,1
negovati,1
pohvalšni,1
oho-ho,1
drati,1
oduševljavati,1
pouzdano,1
zatražiti,1
uobraziti,1
dopadati,1
matiti,1
obožavati,1
cvet,1
podsećati,1
hodati,1
pritiskkvati,1
večito,1
ugađati,1
irogovarati,1
skupiti,1
tolerirati,1
napustiti,1
zavisiti,1
isticati,1
ukazati,1
odmeravati,1
pogađati,1
navršiti,1
neizmerno,1
uplakati,1
disati,1
zapevati,1
promisliti,1
dodaditi,1
ispuniti,1
naučiti,1
kako-tako,1
hladno,1
javljati,1
odlično,1
minuti,1
ludo,1
zaneti,1
priznati,1
sjano,1
eačuvati,1
zaljubljivati,1
vešati,1
poglavito,1
izvanredno,1
božanstveno,1
otkud,1
srozati,1
složiti,1
deklamivati,1
svraćati,1
utonuti,1
udarati,1
lebdeti,1
uspavati,1
usniti,1
nestati,1
preživljivati,1
ponovo,1
prekorno,1
jedanput,1
odjekivati,1
rađati,1
baciti,1
suditi,1
donde,1
približavati,1
metnuti,1
nazepsti,1
narušiti,1
postupati,1
zasmrdeti,1
poučiti,1
postajati,1
ispoljavati,1
odvajati,1
živo,1
počsviti,1
gristi,1
potražiti,1
ostvariti,1
dignuti,1
iskreno,1
sihurno,1
piljiti,1
zamreti,1
proleteti,1
zaćutati,1
isprati,1
rukovati,1
zaveštati,1
odati,1
prilično,1
micati,1
uzizgati,1
nuditi,1
pomeriti,1
naivno,1
šla,1
apsolutno,1
izražavati,1
zalutati,1
očajno,1
porazgovarati,1
bleštati,1
mahati,1
dvaput,1
izbeći,1
prodrmati,1
zbaciti,1
očešljati,1
sačuvati,1
zapuštati,1
podbočiti,1
šetati,1
nastavljati,1
maziti,1
gajiti,1
opsedati,1
zaljubiti,1
priladati,1
pohvaliti,1
bojažljivo,1
uzdržavati,1
sijati,1
hrkati,1
razlivati,1
odnositi,1
iići,1
herati,1
pušiti,1
utrnuti,1
učiti,1
kamo,1
divno,1
lakati,1
otkuda,1
otkazivati,1
vređati,1
otprilike,1
nalaziti,1
odbiti,1
neverovatno,1
odgurati,1
olako,1
objasniti,1
izviniti,1
kriti,1
brati,1
izbegavati,1
prodati,1
prevoditi,1
upecati,1
kartati,1
metati,1
otkad,1
loznati,1
nerazumljiv,1
glupo,1
praštati,1
spaliti,1
presušiti,1
upilo,1
dopasti,1
lupiti,1
koračati,1
rastopiti,1
neočekivano,1
ikad,1
retko,1
jasno,1
predočiti,1
nikada,1
preuveličavati,1
milo,1
zavideti,1
neprimetno,1
zgaziti,1
nervirati,1
pomalo,1
porazmisliti,1
moriti,1
neprestano,1
drukčije,1
spomenuti,1
brže-bolje,1
prekinuti,1
juriti,1
proždirati,1
skupljati,1
obmanjivati,1
prikrasti,1
zgrabiti,1
neodoljivo,1
bojiti,1
smelar,1
simpatično,1
razmaziti,1
izazivati,1
pejzažist,1
pohitati,1
goniti,1
razvijati,1
kretati,1
napred,1
zaostajati,1
slikati,1
žrtvovati,1
uzdizati,1
nasmešiti,1
lakovati,1
provesti,1
nagovoriti,1
doručkovati,1
raniti,1
odlučiti,1
udavati,1
boletjeti,1
ugušiti,1
natočiti,1
gato,1
otvoreno,1
ponašati,1
netaktično,1
pokušati,1
duriti,1
frktati,1
propovedati,1
posrediti,1
zastajati,1
poželeti,1
poželjeti,1
stisnuti,1
nepar,1
pomisliti,1
rastajati,1
urezati,1
graciozno,1
setiti,1
okakav,1
dolaz,1
istovremeno,1
zauzeti,1
omesti,1
umoriti,1
raspremati,1
uditi,1
polagati,1
doma,1
otrgnuti,1
ubuđati,1
nazebeti,1
poučavati,1
pre,1
pristojno,1
razonoditi,1
koštati,1
odlučno,1
badava,1
propadati,1
ginuti,1
crkavati,1
zanositi,1
pridržati,1
gotovo,1
prileći,1
ustručavati,1
pozajmiti,1
proživjeti,1
zarasti,1
bum-bi,1
ponoviti,1
davno,1
isprebijati,1
obilaziti,1
stanovati,1
odano,1
potpadati,1
sprečiti,1
pokazati,1
sramno,1
svađati,1
prosvećivati,1
konačno,1
ubediti,1
predati,1
smučiti,1
poricati,1
ironično,1
žderati,1
prigrabiti,1
tlačiti,1
očajavati,1
zavoleti,1
brisati,1
nadati,1
osetiti,1
bolno,1
steći,1
odmahivati,1
savladati,1
opiti,1
otrezniti,1
obuzeti,1
drhteti,1
pružiti,1
obijati,1
boriti,1
dogovoriti,1
poludeti,1
kleknuti,1
preživeti,1
ludovati,1
kaditi,1
ceniti,1
ležerno,1
protezati,1
raspitati,1
lumpovati,1
jedinstveno,1
pričekati,1
poslovati,1
donositi,1
provirivati,1
hoji,1
zasladiti,1
ispratiti,1
usrećiti,1
definitivno,1
odsesti,1
neizrecivo,1
gorjeti,1
šumiti,1
zavijati,1
pojačavati,1
srušiti,1
kloparati,1
nahraniti,1
nervozno,1
pomilovati,1
