base_verb,prefixed_verb,prefix,cos_global_own_fasttext,cos_prefix_own_fasttext,cos_global_own_word2vec_lemmas,cos_prefix_own_word2vec_lemmas,cos_global_own_fasttext_lemmas,cos_prefix_own_fasttext_lemmas,word2vec_minus_fasttext_global_cos,word2vec_minus_fasttext_prefix_cos,fasttext_lemmas_minus_fasttext_global_cos,fasttext_lemmas_minus_fasttext_prefix_cos,fasttext_lemmas_minus_word2vec_lemmas_global_cos,fasttext_lemmas_minus_word2vec_lemmas_prefix_cos
biti,dobiti,do,0.8506764769554138,0.9365352392196656,0.8559372425079346,0.8994384407997131,0.9688169360160828,0.9832836389541626,0.005260765552520752,-0.037096798419952504,0.11814045906066895,0.04674839973449696,0.1128796935081482,0.08384519815444946
biti,izbiti,iz,0.9070680141448976,0.9488059878349304,0.9056605696678162,0.9145582914352416,0.9689958095550536,0.9606629610061646,-0.0014074444770814099,-0.03424769639968883,0.06192779541015603,0.01185697317123413,0.06333523988723744,0.04610466957092296
biti,probiti,pro,0.8787025213241577,0.939641296863556,0.9056177139282228,0.9298422932624816,0.9580032825469972,0.9818971157073976,0.026915192604065052,-0.00979900360107444,0.07930076122283947,0.04225581884384155,0.052385568618774414,0.052054822444915994
biti,razbiti,raz,0.9027225971221924,0.9596534967422484,0.9606148600578308,0.9736011028289796,0.96623432636261,0.9705952405929564,0.05789226293563843,0.013947606086731179,0.06351172924041759,0.010941743850708008,0.005619466304779164,-0.0030058622360231713
biti,ubiti,u,0.9334876537322998,0.9655547142028807,0.9442098736763,0.9580317139625548,0.9672675132751464,0.9766276478767396,0.010722219944000244,-0.007523000240325928,0.03377985954284657,0.011072933673858865,0.023057639598846325,0.018595933914184792
biti,zabiti,za,0.9473949670791626,0.9228249788284302,0.9777560234069824,0.9859195947647096,0.9810887575149536,0.9839544892311096,0.030361056327819824,0.06309461593627941,0.033693790435791016,0.06112951040267944,0.0033327341079711914,-0.0019651055335999645
biti,prebiti,pre,0.9060819149017334,0.9413527250289916,0.9948842525482178,0.9941402673721312,0.9858472943305968,0.9961690306663512,0.08880233764648438,0.05278754234313965,0.07976537942886341,0.05481630563735962,-0.00903695821762096,0.0020287632942199707
biti,nabiti,na,0.9505245685577391,0.9652063250541688,0.9628633856773376,0.9577358961105348,0.9697065353393556,0.9713337421417236,0.0123388171195985,-0.007470428943634033,0.019181966781616433,0.006127417087554821,0.006843149662017933,0.013597846031188854
biti,odbiti,od,0.8558018803596497,0.9326062202453612,0.9405530095100404,0.9640628695487976,0.989881992340088,0.9890016317367554,0.08475112915039074,0.03145664930343639,0.13408011198043834,0.056395411491394154,0.04932898283004761,0.024938762187957764
biti,sabiti,sa,0.9431176781654358,0.9632543921470642,0.9834377765655518,0.9908863306045532,0.9800177812576294,0.986684262752533,0.04032009840011597,0.027631938457489014,0.036900103092193604,0.02342987060546875,-0.0034199953079223633,-0.004202067852020264
biti,obiti,o,0.9054511785507202,0.9497727751731871,0.9918496012687684,0.9950043559074402,0.9852493405342102,0.985670804977417,0.0863984227180482,0.04523158073425304,0.07979816198348999,0.03589802980422985,-0.0066002607345582165,-0.009333550930023193
biti,pobiti,po,0.943789839744568,0.9567064642906188,0.9869182109832764,0.978522002696991,0.988690197467804,0.9895457029342652,0.043128371238708385,0.02181553840637218,0.04490035772323597,0.03283923864364646,0.0017719864845275879,0.011023700237274281
gledati,izgledati,iz,0.9160622954368592,0.9400430917739868,0.9149545431137084,0.9170221090316772,0.9691458344459534,0.974327564239502,-0.0011077523231508568,-0.02302098274230957,0.05308353900909413,0.03428447246551514,0.054191291332244984,0.05730545520782471
gledati,pregledati,pre,0.8625123500823975,0.8937051296234131,0.9808681011199952,0.9758265018463136,0.9793503284454346,0.9916651844978333,0.11835575103759777,0.0821213722229005,0.11683797836303711,0.09796005487442017,-0.001517772674560658,0.015838682651519664
gledati,ugledati,u,0.9328008890151978,0.950690984725952,0.8412182927131653,0.8637006878852844,0.9807265996932985,0.9778883457183838,-0.09158259630203247,-0.08699029684066761,0.0479257106781007,0.02719736099243175,0.13950830698013317,0.11418765783309937
gledati,razgledati,raz,0.7840155959129333,0.8959024548530579,0.9728681445121764,0.975936472415924,0.9869379997253418,0.9850742816925048,0.18885254859924305,0.0800340175628661,0.20292240381240845,0.08917182683944691,0.014069855213165394,0.00913780927658081
gledati,zagledati,za,0.9534620642662048,0.9527615308761596,0.910359025001526,0.9215400218963624,0.9905487298965454,0.985746681690216,-0.043103039264678844,-0.03122150897979714,0.037086665630340576,0.032985150814056396,0.08018970489501942,0.06420665979385354
