verb,dim_001,dim_002,dim_003,dim_004,dim_005,dim_006,dim_007,dim_008,dim_009,dim_010,dim_011,dim_012,dim_013,dim_014,dim_015,dim_016,dim_017,dim_018,dim_019,dim_020,dim_021,dim_022,dim_023,dim_024,dim_025,dim_026,dim_027,dim_028,dim_029,dim_030,dim_031,dim_032,dim_033,dim_034,dim_035,dim_036,dim_037,dim_038,dim_039,dim_040,dim_041,dim_042,dim_043,dim_044,dim_045,dim_046,dim_047,dim_048,dim_049,dim_050
birati,0.08840133,0.9797909,-0.0061014933,-0.0025483014,-0.002690903,0.00064369396,-0.0024059433,0.0005068139,-0.0007017201,0.0033933502,-0.00084054563,0.0057236184,-0.07802016,0.08484268,-0.0027889851,-0.03404612,0.107430205,-0.049648613,0.036013264,-0.008520055,-0.007502108,0.0083689885,-0.017930405,0.001048683,-2.1057089e-05,0.004683211,0.011300545,0.0010077802,0.0017493601,-0.006933295,0.013188301,-0.0035441518,-0.018847711,0.0031140684,0.0053956956,0.0036951883,-0.0012429089,0.029700378,-0.002965521,0.004728222,-0.00072735664,0.002497852,0.00084907905,0.000285741,0.0008944737,0.002088826,0.0070779645,-0.004043984,0.004234186,-0.0026777585
bistriti,0.062430758,0.69589335,-0.0039823926,0.0005824689,-0.0027202845,6.696058e-06,-0.0024775818,0.00076780457,-0.0039669983,0.004626093,-0.0019564568,0.0027677882,-0.024856504,0.033048548,-0.0043699737,0.10551706,-0.035522394,0.022326088,-0.014470258,0.12478805,0.00017169087,0.039635614,-0.3947253,0.1069949,-0.03096331,0.5301571,-0.13428527,-0.0013709576,-0.010254667,0.026828552,-0.051862776,0.014592325,0.059850678,-0.0075496254,-0.017512307,-0.009696871,0.0026831536,-0.066801675,0.0069874483,-0.011459263,0.0019023616,-0.00044185924,-0.0020779518,-0.0002990334,-5.0067407e-05,0.00079265836,-0.0041142176,0.0033591853,-0.0028936865,0.0013469177
biti,0.08912378,0.9893025,-0.0062142904,-0.0021556031,-0.002977051,0.0005826455,-0.0023790924,0.00025633659,-0.0033530872,0.0045343395,-0.0016576864,0.0030209615,-0.027951522,0.034672968,-0.0031634893,0.05412095,-0.020191168,0.00077960076,-0.00360962,0.021696644,-0.0012698686,0.012701962,-0.053732045,0.012757988,-0.0028342507,1.702314e-05,0.02507213,0.0010946397,0.010450392,-0.018362667,0.021007188,0.002056928,-0.043369837,0.01642341,-0.004167761,0.008207046,-0.00030802595,0.019057041,-0.0044396035,0.0072812424,-0.00061283447,-0.0016920373,9.5360316e-05,1.0080345e-05,-0.00027111382,0.00023827319,0.0010414697,0.0013481876,0.0007136925,-0.0004169483
bivati,0.08336067,0.9216504,-0.005305971,-0.0018973905,-0.0022361926,0.0003488948,-0.0021241405,0.00034801147,0.00030933507,0.0031936627,-0.0014066148,0.0016886477,-0.041422665,0.04932304,-0.008543246,0.12751932,0.1764919,-0.049722638,0.044334967,-0.032732308,-0.012126485,-0.009262747,-0.01709426,-0.0018746124,-0.0016601313,0.0075518196,0.074625485,0.0024148333,0.06433291,-0.093896404,0.086811095,0.01199672,-0.18730433,0.079450086,-0.053263273,0.027663501,0.0056247097,-0.11893923,0.008505701,-0.016418105,0.008476164,0.0022225438,0.0022595075,-0.0003210704,-0.00041525188,-0.00081001705,-0.0024484529,0.0006271236,-0.00077459624,-0.0027312844
blagati,0.06686625,0.74225533,-0.004900829,-0.0029274665,-0.0011196982,-0.000493708,-0.002346872,0.0006599592,-0.0030283476,0.0040133544,-0.0035918087,0.0077880393,-0.038444575,0.02276966,-0.014307212,0.1202108,-0.050756186,0.074874416,-0.030870738,0.094609655,-0.07650711,0.5973009,0.20031954,-0.041251455,0.009849481,0.015564735,-0.059323322,0.0012444318,0.0047553834,0.0032226646,-0.026676632,0.021099186,0.00019713749,0.010394687,0.00073630095,-0.0019124419,-0.00089753437,-0.0033588908,-0.0031610944,0.0060391896,-0.0010744021,0.0012056842,-9.434274e-05,-0.0007464355,-0.00093834265,-0.004332208,-0.0026890407,0.0019018217,-0.0018152635,-5.774596e-06
blažiti,0.062438317,0.6993874,-0.0061765066,-0.0047777663,-0.0028057927,0.0021576432,-0.001815334,0.00013123863,0.004603798,0.0068514952,0.002733095,0.020311693,-0.2437406,0.24468184,0.012607068,-0.61439186,0.013543339,-0.064494744,0.038426913,0.0037075584,0.004530169,0.011625003,0.023585025,-0.0059283576,0.0015721981,0.017520009,-0.04343778,-0.00061842264,-0.00029228273,0.005643929,-0.017600104,0.007316888,0.0111454185,0.0031208778,-0.0096265115,-0.00092417863,-0.000319092,-0.007759075,-0.0020833334,0.002945591,-0.00027589753,0.001733635,0.0009753184,-0.00018800244,0.00016727265,0.00015185107,-0.00095729856,-3.425223e-05,-0.00020346358,0.0007876383
bledeti,0.0815861,0.90063506,-0.0049611283,-0.0015554675,-0.0021080235,0.00025865663,-0.0022020692,0.0003434985,0.0006581691,-0.0025330165,0.0016814385,-0.00025748217,-0.04446574,0.05690385,-0.009430775,0.1571581,0.2383271,-0.06603433,0.058043346,-0.04051317,-0.017878316,0.007865921,-0.15245295,0.03137197,-0.009760831,-0.20464338,-0.112270825,-0.0033687942,-0.0048549226,0.01792542,-0.041069705,0.013016504,0.039064243,-0.0017275925,-0.017594261,-0.0073352885,0.001741395,-0.0507299,0.005355849,-0.007737402,0.00014374033,0.0017295191,-0.0033672208,-0.00018030434,6.0819766e-05,-0.00044842093,-0.0020764375,-0.0014462138,6.467373e-05,-0.0017545514
blistati,0.07452251,0.82453483,-0.004458342,-0.0043532536,0.0004980537,-0.004844011,-0.0030526072,0.0066743763,-0.0061037974,-0.014021648,0.0016856435,-0.02207507,0.37219274,-0.38132048,0.03452675,-0.15847643,0.008835343,-0.0049699456,0.0026470136,-0.018333262,-0.0020325165,-0.022192748,0.030340808,-0.008046035,-0.0019337607,0.012041615,-0.031768814,-0.00045581395,0.0023472882,0.0018511422,-0.0063907704,0.0050873044,0.0038130092,0.0032503724,-0.0073484425,-0.0002570448,0.0009075277,-0.015421708,0.0010123344,-0.00048611997,0.0007265548,-0.00029878604,-0.00042305232,-2.890264e-05,-0.0025128184,0.0020246739,-0.0011237479,-0.0017272178,-0.0034999638,0.00042113464
bližiti,0.05122111,0.5700995,-0.003887767,-0.0023325686,-0.0028957848,0.00050579844,-0.0014229786,0.00043784763,-0.0010344799,0.0004261453,-0.011298239,-0.0019180226,-0.015354003,0.024116198,-0.0031299086,0.053043175,-0.016142441,0.024987843,-0.008795937,0.04647409,-0.0055482923,0.020296056,-0.08148493,0.019524062,-0.0020382223,-0.03153835,0.67348254,0.02596983,-0.081916615,0.15081765,-0.27147785,0.16970731,0.22577828,0.041794557,-0.10287919,-0.013392633,-0.00078990235,-0.058470286,-0.014788362,0.026657602,-0.002110006,-0.008247078,-0.05272765,-0.002882376,0.0023658744,0.0011183823,-0.003528017,0.00421493,-0.005350371,0.001323605
bojati,0.06538588,0.7258601,-0.004812125,-0.0029347104,-0.0010441131,-0.0005236334,-0.002323233,0.0006527972,-0.0029744979,0.0039666686,-0.0036170005,0.007904676,-0.038722068,0.022392625,-0.014573232,0.12084307,-0.051618043,0.07686351,-0.03159683,0.09603897,-0.078550525,0.6131659,0.20796603,-0.042865194,0.0101740025,0.016200213,-0.06258525,0.0012378864,0.00475508,0.0038633838,-0.028684044,0.02216111,0.0015088292,0.010644144,0.00020884899,-0.0021933345,-0.0008662231,-0.0052153473,-0.0031457576,0.0060389847,-0.0010806222,0.0011534173,-0.0002391035,-0.00078656484,-0.00097499567,-0.004415681,-0.0030577383,0.0021300376,-0.0020303577,0.00010112884
boleti,0.08401206,0.93223053,-0.0053125327,-0.0021869743,-0.0017555882,-0.0019407115,-0.0030209853,0.0033761621,-0.005328082,-0.0028672465,-0.00064871745,-0.00757128,0.1428297,-0.1414686,0.012011604,-0.0035330588,-0.014882796,0.007411139,-0.005701362,0.05231582,-0.0013187958,0.011674545,-0.16339058,0.043582305,-0.013717037,0.21735136,-0.054984957,-0.00041245666,-0.0020465038,0.00721449,-0.013799301,0.004492812,0.01526266,-0.0012042735,-0.0057518976,-0.0022164267,0.0009875996,-0.019205712,0.002308591,-0.0032958316,0.00084027566,0.00037518796,8.6869026e-05,2.0428624e-06,-0.000985268,0.00075767527,9.159815e-05,-0.0006734835,-0.0013521612,-0.00010876901
boliti,0.07524955,0.8369283,-0.005143804,-0.0012791614,-0.002283272,-0.00024944573,-0.002784455,0.00082516874,-0.0040617865,0.004991181,-0.003130958,0.0058735907,-0.035787094,0.032370396,-0.010325806,0.12830053,-0.048358552,0.053165197,-0.025073132,0.12441473,-0.040752206,0.34213454,-0.12512673,0.04078487,-0.01284133,0.31672347,-0.108319,-0.00010592949,-0.0033190316,0.01679482,-0.043122414,0.019227965,0.033673935,0.0011715031,-0.00930201,-0.0064230864,0.0010283124,-0.03884018,0.0022637497,-0.0032625014,0.00050590927,0.0004403194,-0.0011385819,-0.0005491029,-0.00051374576,-0.0018466372,-0.003550498,0.0027879877,-0.0024831821,0.00068803213
boraviti,0.07094154,0.78467584,-0.004172078,-0.004506997,0.0008589379,-0.005303318,-0.003050028,0.007163337,-0.006213069,-0.015675763,0.0020425166,-0.024229884,0.40620178,-0.41682935,0.037831746,-0.17995676,0.011167493,-0.005547599,0.0032233763,-0.023466544,-0.0020067703,-0.026052125,0.03931001,-0.010167819,-0.001957407,0.013718882,-0.039417107,-0.0006253699,0.002145345,0.0036799852,-0.010703782,0.00690457,0.00812768,0.003382918,-0.009704102,-0.00096076034,0.0011692082,-0.02221155,0.0014445895,-0.0010855127,0.0008763024,-0.00059690676,-0.0008939261,-8.411289e-05,-0.0027814722,0.0023738013,-0.0020999436,-0.0013826911,-0.004325503,0.0007872794
boriti,0.078297645,0.8696482,-0.005632626,-0.0025234164,-0.0023090406,0.00034291492,-0.0023775958,0.00058696384,-0.0024802617,0.0011017362,0.00039530575,0.004370566,-0.03716009,0.036182866,-0.010205883,0.12338019,-0.04416162,0.06323589,-0.028286632,0.079221845,-0.041571878,0.3323527,-0.10026076,0.028312022,-0.007179624,-0.23841888,-0.13596463,-0.0037329001,-0.00073323975,0.01719239,-0.049163073,0.02204449,0.034391157,0.003912143,-0.01588478,-0.0070751295,0.0015091082,-0.056812666,0.0047893934,-0.006876329,0.0013800247,0.001839051,0.00081821595,-0.0004172502,-0.0005556377,-0.002234425,-0.0038816005,3.7305104e-05,-0.0009909068,0.0005254248
braniti,0.08195041,0.90754545,-0.004733158,-0.001872103,-0.0012632054,-0.002863742,-0.003181391,0.0043065893,-0.0055823014,-0.0058777966,3.5671397e-05,-0.011553574,0.20551755,-0.2072523,0.018294299,-0.052600715,-5.2362975e-05,-0.0024641724,0.00011709408,0.01529535,-0.0022638193,-0.0062686545,-0.042407565,0.008863024,-0.0028369583,-0.008775959,0.024051866,0.002079021,0.007545226,-0.027392445,0.054157633,-0.0111342175,-0.077430636,0.017461225,0.021706233,0.021067137,-0.005908399,0.23485656,-0.046638414,0.080451116,-0.018548489,-0.032798883,-0.014400579,-0.00071482395,-0.004568678,0.006784061,-0.018749828,0.03259154,-0.01189124,0.009517764
